language,form,measure,lexical_category,lexical_class,uni_lemma,words,aoa
English,WG,understands,function_words,function_words,all,all,18.8279264649752
English,WG,understands,function_words,function_words,another,another,18.8293255649689
English,WG,understands,function_words,function_words,away,away,19.734077025247
English,WG,understands,function_words,function_words,back,back,18.0375824614924
English,WG,understands,function_words,function_words,down,down,12.8551330399385
English,WG,understands,function_words,function_words,her,her,21.5157562393429
English,WG,understands,function_words,function_words,his,his,20.8356473138949
English,WG,understands,function_words,function_words,how,how,22.7535476193458
English,WG,understands,function_words,function_words,i,i,18.9536039496942
English,WG,understands,function_words,function_words,in,in,14.8985774199824
English,WG,understands,function_words,function_words,inside,inside,16.3743849147964
English,WG,understands,function_words,function_words,it,it,19.2442332111227
English,WG,understands,function_words,function_words,me,me,16.9167445831629
English,WG,understands,function_words,function_words,mine,mine,16.4828526138543
English,WG,understands,function_words,function_words,more,more,12.8075433708239
English,WG,understands,function_words,function_words,my,my,18.7151222842849
English,WG,understands,function_words,function_words,none,none,20.0535882865926
English,WG,understands,function_words,function_words,not,not,19.9993679495582
English,WG,understands,function_words,function_words,off,off,14.5369562818651
English,WG,understands,function_words,function_words,on,on,14.8037332821685
English,WG,understands,function_words,function_words,other,other,20.4652455198601
English,WG,understands,function_words,function_words,out,out,14.8165288136541
English,WG,understands,function_words,function_words,same,same,21.6632852991469
English,WG,understands,function_words,function_words,some,some,18.9430715558455
English,WG,understands,function_words,function_words,that,that,17.0071740813903
English,WG,understands,function_words,function_words,there,there,16.7432042190859
English,WG,understands,function_words,function_words,this,this,17.7497889708551
English,WG,understands,function_words,function_words,under,under,17.0276070971633
English,WG,understands,function_words,function_words,up,up,13.0140175587326
English,WG,understands,function_words,function_words,what,what,16.4786634071692
English,WG,understands,function_words,function_words,when (question),when,21.7937012900853
English,WG,understands,function_words,function_words,where (question),where,14.6716689861862
English,WG,understands,function_words,function_words,who,who,17.7876209997682
English,WG,understands,function_words,function_words,why,why,22.4517637940085
English,WG,understands,function_words,function_words,you,you,16.8856654378847
English,WG,understands,function_words,function_words,your,your,18.8338890654865
English,WG,understands,nouns,nouns,airplane,airplane,14.3458210309668
English,WG,understands,nouns,nouns,animal,animal,16.8772539744735
English,WG,understands,nouns,nouns,apple,apple,14.0210420757543
English,WG,understands,nouns,nouns,arm,arm,15.6384638551136
English,WG,understands,nouns,nouns,ball,ball,9.50518350305209
English,WG,understands,nouns,nouns,balloon,balloon,12.0063207344854
English,WG,understands,nouns,nouns,banana,banana,11.4507272531869
English,WG,understands,nouns,nouns,bathroom,bathroom,13.7730221356685
English,WG,understands,nouns,nouns,bathtub,bathtub,11.8067474893983
English,WG,understands,nouns,nouns,beach,beach,21.8870969515309
English,WG,understands,nouns,nouns,beads,beads,22.1791685658733
English,WG,understands,nouns,nouns,bear,bear,14.300027358817
English,WG,understands,nouns,nouns,bed,bed,12.9208942333763
English,WG,understands,nouns,nouns,bedroom,bedroom,15.0801748044339
English,WG,understands,nouns,nouns,bee,bee,17.2395904177298
English,WG,understands,nouns,nouns,belly button,belly button,13.8672106418272
English,WG,understands,nouns,nouns,bib,bib,14.1971506227097
English,WG,understands,nouns,nouns,bicycle,bicycle,16.2728370951053
English,WG,understands,nouns,nouns,bird,bird,12.4474283415357
English,WG,understands,nouns,nouns,blanket,blanket,12.7486996777806
English,WG,understands,nouns,nouns,block,block,14.1134403495523
English,WG,understands,nouns,nouns,book,book,9.95822492270958
English,WG,understands,nouns,nouns,boots,boots,17.862680922435
English,WG,understands,nouns,nouns,bottle,bottle,6.55223022761668
