vocab,prop,lexical_category,language,panel
0,0,Function Words,English,English (models)
0.01,0.00553463972589308,Function Words,English,English (models)
0.02,0.0109011182211298,Function Words,English,English (models)
0.03,0.0161073447876222,Function Words,English,English (models)
0.04,0.021161228727282,Function Words,English,English (models)
0.05,0.0260706793420214,Function Words,English,English (models)
0.06,0.0308436059337521,Function Words,English,English (models)
0.07,0.0354879178043862,Function Words,English,English (models)
0.08,0.0400115242558355,Function Words,English,English (models)
0.09,0.044422334590012,Function Words,English,English (models)
0.1,0.0487282581088277,Function Words,English,English (models)
0.11,0.0529372041141944,Function Words,English,English (models)
0.12,0.0570570819080241,Function Words,English,English (models)
0.13,0.0610958007922288,Function Words,English,English (models)
0.14,0.0650612700687203,Function Words,English,English (models)
0.15,0.0689613990394106,Function Words,English,English (models)
0.16,0.0728040970062116,Function Words,English,English (models)
0.17,0.0765972732710353,Function Words,English,English (models)
0.18,0.0803488371357935,Function Words,English,English (models)
0.19,0.0840666979023983,Function Words,English,English (models)
0.2,0.0877587648727616,Function Words,English,English (models)
0.21,0.0914329473487952,Function Words,English,English (models)
0.22,0.0950971546324112,Function Words,English,English (models)
0.23,0.0987592960255214,Function Words,English,English (models)
0.24,0.102427280830038,Function Words,English,English (models)
0.25,0.106109018347872,Function Words,English,English (models)
0.26,0.109812417880937,Function Words,English,English (models)
0.27,0.113545388731144,Function Words,English,English (models)
0.28,0.117315840200404,Function Words,English,English (models)
0.29,0.12113168159063,Function Words,English,English (models)
0.3,0.125000822203735,Function Words,English,English (models)
0.31,0.128931171341628,Function Words,English,English (models)
0.32,0.132930638306224,Function Words,English,English (models)
0.33,0.137007132399433,Function Words,English,English (models)
0.34,0.141168562923168,Function Words,English,English (models)
0.35,0.14542283917934,Function Words,English,English (models)
0.36,0.149777870469861,Function Words,English,English (models)
0.37,0.154241566096644,Function Words,English,English (models)
0.38,0.1588218353616,Function Words,English,English (models)
0.39,0.163526587566641,Function Words,English,English (models)
0.4,0.168363732013679,Function Words,English,English (models)
0.41,0.173341178004627,Function Words,English,English (models)
0.42,0.178466834841395,Function Words,English,English (models)
0.43,0.183748611825896,Function Words,English,English (models)
0.44,0.189194418260042,Function Words,English,English (models)
0.45,0.194812163445745,Function Words,English,English (models)
0.46,0.200609756684917,Function Words,English,English (models)
0.47,0.206595107279469,Function Words,English,English (models)
0.48,0.212776124531314,Function Words,English,English (models)
0.49,0.219160717742363,Function Words,English,English (models)
0.5,0.225756796214529,Function Words,English,English (models)
0.51,0.232572269249723,Function Words,English,English (models)
0.52,0.239615046149858,Function Words,English,English (models)
0.53,0.246893036216844,Function Words,English,English (models)
0.54,0.254414148752595,Function Words,English,English (models)
0.55,0.262186293059022,Function Words,English,English (models)
0.56,0.270217378438037,Function Words,English,English (models)
0.57,0.278515314191552,Function Words,English,English (models)
0.58,0.287088009621479,Function Words,English,English (models)
0.59,0.29594337402973,Function Words,English,English (models)
0.6,0.305089316718216,Function Words,English,English (models)
0.61,0.314533746988851,Function Words,English,English (models)
0.62,0.324284574143545,Function Words,English,English (models)
0.63,0.33434970748421,Function Words,English,English (models)
0.64,0.344737056312759,Function Words,English,English (models)
0.65,0.355454529931103,Function Words,English,English (models)
0.66,0.366510037641155,Function Words,English,English (models)
0.67,0.377911488744826,Function Words,English,English (models)
0.68,0.389666792544028,Function Words,English,English (models)
0.69,0.401783858340674,Function Words,English,English (models)
0.7,0.414270595436674,Function Words,English,English (models)
0.71,0.427134913133942,Function Words,English,English (models)
0.72,0.440384720734389,Function Words,English,English (models)
0.73,0.454027927539926,Function Words,English,English (models)
0.74,0.468072442852466,Function Words,English,English (models)
0.75,0.482526175973921,Function Words,English,English (models)
0.76,0.497397036206203,Function Words,English,English (models)
0.77,0.512692932851223,Function Words,English,English (models)
0.78,0.528421775210894,Function Words,English,English (models)
0.79,0.544591472587128,Function Words,English,English (models)
0.8,0.561209934281836,Function Words,English,English (models)
0.81,0.57828506959693,Function Words,English,English (models)
0.82,0.595824787834323,Function Words,English,English (models)
0.83,0.613836998295925,Function Words,English,English (models)
0.84,0.63232961028365,Function Words,English,English (models)
0.85,0.651310533099409,Function Words,English,English (models)
0.86,0.670787676045114,Function Words,English,English (models)
0.87,0.690768948422677,Function Words,English,English (models)
0.88,0.71126225953401,Function Words,English,English (models)
0.89,0.732275518681025,Function Words,English,English (models)
0.9,0.753816635165633,Function Words,English,English (models)
0.91,0.775893518289748,Function Words,English,English (models)
0.92,0.798514077355279,Function Words,English,English (models)
0.93,0.821686221664141,Function Words,English,English (models)
0.94,0.845417860518243,Function Words,English,English (models)
0.95,0.8697169032195,Function Words,English,English (models)
0.96,0.894591259069821,Function Words,English,English (models)
0.97,0.92004883737112,Function Words,English,English (models)
0.98,0.946097547425308,Function Words,English,English (models)
0.99,0.972745298534298,Function Words,English,English (models)
1,1,Function Words,English,English (models)
0,0,Nouns,English,English (models)
0.01,0.0153122462895059,Nouns,English,English (models)
0.02,0.0304777523572278,Nouns,English,English (models)
0.03,0.0454977250026023,Nouns,English,English (models)
0.04,0.0603733710250657,Nouns,English,English (models)
0.05,0.0751058972240547,Nouns,English,English (models)
0.06,0.0896965103990056,Nouns,English,English (models)
0.07,0.104146417349355,Nouns,English,English (models)
0.08,0.118456824874539,Nouns,English,English (models)
0.09,0.132628939773995,Nouns,English,English (models)
0.1,0.146663968847159,Nouns,English,English (models)
0.11,0.160563118893467,Nouns,English,English (models)
0.12,0.174327596712356,Nouns,English,English (models)
0.13,0.187958609103262,Nouns,English,English (models)
0.14,0.201457362865623,Nouns,English,English (models)
0.15,0.214825064798873,Nouns,English,English (models)
0.16,0.228062921702451,Nouns,English,English (models)
0.17,0.241172140375792,Nouns,English,English (models)
0.18,0.254153927618333,Nouns,English,English (models)
0.19,0.26700949022951,Nouns,English,English (models)
0.2,0.27974003500876,Nouns,English,English (models)
0.21,0.292346768755519,Nouns,English,English (models)
0.22,0.304830898269224,Nouns,English,English (models)
0.23,0.317193630349311,Nouns,English,English (models)
0.24,0.329436171795217,Nouns,English,English (models)
0.25,0.341559729406378,Nouns,English,English (models)
0.26,0.353565509982231,Nouns,English,English (models)
0.27,0.365454720322212,Nouns,English,English (models)
0.28,0.377228567225758,Nouns,English,English (models)
0.29,0.388888257492305,Nouns,English,English (models)
0.3,0.40043499792129,Nouns,English,English (models)
0.31,0.411869995312149,Nouns,English,English (models)
0.32,0.423194456464318,Nouns,English,English (models)
0.33,0.434409588177235,Nouns,English,English (models)
0.34,0.445516597250335,Nouns,English,English (models)
0.35,0.456516690483056,Nouns,English,English (models)
0.36,0.467411074674833,Nouns,English,English (models)
0.37,0.478200956625103,Nouns,English,English (models)
0.38,0.488887543133303,Nouns,English,English (models)
0.39,0.499472040998869,Nouns,English,English (models)
0.4,0.509955657021237,Nouns,English,English (models)
0.41,0.520339597999845,Nouns,English,English (models)
0.42,0.530625070734128,Nouns,English,English (models)
0.43,0.540813282023523,Nouns,English,English (models)
0.44,0.550905438667466,Nouns,English,English (models)
0.45,0.560902747465395,Nouns,English,English (models)
0.46,0.570806415216745,Nouns,English,English (models)
