"uni_lemma","replacement"
"baa baa","baa"
"choo choo","choo-choo"
"grrr","grr"
"quack quack","quack"
"woof woof","woof"
"yum yum","yum"
"butterfly",
"chicken (animal)",
"fish (animal)",
"teddybear","toy"
"airplane",
"bicycle",
"firetruck","truck"
"motorcycle",
"toy (object)","toy"
"chicken (food)",
"drink (beverage)",
"fish (food)",
"ice cream",
"orange (food)",
"water (beverage)",
"necklace","beads"
"belly button",
"foot","feet"
"bathroom",
"bathtub","bath"
"bedroom","room"
"high chair",
"living room","room"
"play pen",
"rocking chair",
"tv","TV"
"comb (object)","comb"
"telephone",
"toothbrush","brush"
"watch (object)",
"outside",
"slide (object)",
"swing (object)",
"water (not beverage)",
"work (place)",
"babysitter",
"babysitter's name",
"grandma",
"grandpa",
"child's own name",
"don't",
"good night",
"pattycake",
"thank you","thanks"
"clean (action)",
"drink (action)",
"swing (action)",
"watch (action)",
"all gone",
"careful",
"clean (description)",
"dry (description)",
"little (description)","little"
"i","I"
"when (question)","when"
"where (question)","where"
"down","down "
