word,word_count,mean_sent_length,final_count,solo_count
bottone,3.0,4.66666666667,0.0,0.0
bottoni,4.0,11.75,1.0,0.0
portiamo,27.0,8.44444444444,3.0,0.0
Pongo,58.0,8.94827586207,22.0,2.0
farselo,1.0,7.0,0.0,0.0
attimo,16.0,7.4375,6.0,0.0
zampe,6.0,9.5,2.0,0.0
loro,86.0,9.91860465116,15.0,1.0
zampa,1.0,8.0,1.0,0.0
pulirgliela,1.0,8.0,1.0,0.0
Natale,109.0,8.67889908257,55.0,2.0
tolgo,1.0,9.0,0.0,0.0
miele,4.0,16.75,1.0,0.0
bavagliolino,4.0,7.25,3.0,0.0
fermaglino,1.0,7.0,0.0,0.0
mettiamoli,16.0,9.9375,0.0,0.0
fermaglini,1.0,5.0,1.0,0.0
mettiamolo,12.0,6.5,1.0,0.0
mettiamola,4.0,5.5,0.0,0.0
buchi,11.0,7.0,6.0,0.0
mettiamole,3.0,7.33333333333,0.0,0.0
appesi,2.0,5.5,1.0,0.0
oooh,3.0,9.66666666667,1.0,1.0
appesa,1.0,3.0,1.0,0.0
chiasso,5.0,12.6,3.0,0.0
jamjam,1.0,2.0,1.0,0.0
impacchino,1.0,12.0,1.0,0.0
antipatico,4.0,4.25,3.0,0.0
fece,3.0,16.0,1.0,0.0
salsicce,8.0,8.0,3.0,0.0
dacci,4.0,11.25,1.0,0.0
avranno,1.0,22.0,0.0,0.0
cocchi,6.0,2.16666666667,6.0,0.0
sganciato,2.0,12.0,0.0,0.0
ciucciato,11.0,10.6363636364,3.0,0.0
salire,6.0,11.5,2.0,0.0
undici,1.0,5.0,0.0,0.0
sugo,3.0,7.33333333333,2.0,0.0
culo,6.0,7.66666666667,4.0,0.0
succedendo,1.0,4.0,1.0,0.0
sciarpa,2.0,6.0,1.0,0.0
avere,8.0,10.5,1.0,0.0
cerniera,2.0,9.0,0.0,0.0
porterà,3.0,7.33333333333,1.0,0.0
ciao+ciao,7.0,2.42857142857,6.0,4.0
pensiamo,1.0,10.0,0.0,0.0
dovuta,1.0,8.0,0.0,0.0
dovuto,1.0,6.0,0.0,0.0
cercarlo,1.0,7.0,0.0,0.0
nulla,80.0,8.2375,41.0,3.0
profumata,5.0,5.0,4.0,0.0
momentino,3.0,18.0,0.0,0.0
attenta,90.0,5.37777777778,23.0,8.0
attento,32.0,6.4375,7.0,1.0
attenti,7.0,10.2857142857,2.0,0.0
discorsone,2.0,3.0,2.0,0.0
soffia,21.0,3.33333333333,11.0,5.0
Mauriglio,3.0,7.33333333333,1.0,0.0
Puchettino,1.0,15.0,0.0,0.0
fasciata,1.0,17.0,0.0,0.0
fasciato,2.0,12.5,0.0,0.0
soffio,3.0,6.0,0.0,0.0
levargli,1.0,11.0,0.0,0.0
Twity,1.0,6.0,1.0,0.0
cinquantamila,1.0,1.0,1.0,1.0
iammeiamme,1.0,5.0,1.0,0.0
asciugate,1.0,14.0,0.0,0.0
cadono,7.0,10.1428571429,1.0,1.0
giunti,1.0,1.0,1.0,1.0
malventi,2.0,2.0,1.0,1.0
asciugato,1.0,10.0,0.0,0.0
asciugati,2.0,11.0,0.0,0.0
tegamini,1.0,6.0,1.0,0.0
tegamino,2.0,10.5,1.0,0.0
tirala,1.0,4.0,0.0,0.0
carrellino,1.0,2.0,1.0,0.0
tappalo,1.0,8.0,0.0,0.0
Pecci,1.0,7.0,0.0,0.0
credenza,1.0,4.0,1.0,0.0
mettimelo,2.0,7.5,0.0,0.0
dragoni,12.0,11.8333333333,9.0,0.0
furbona,1.0,19.0,0.0,0.0
meloni,1.0,12.0,0.0,0.0
dragone,2.0,6.5,2.0,0.0
riposare,4.0,12.0,2.0,0.0
hh,1.0,1.0,1.0,1.0
suoni,4.0,6.0,2.0,1.0
cielo,17.0,6.94117647059,13.0,0.0
ioeh,1.0,13.0,0.0,0.0
suona,20.0,6.25,6.0,1.0
chiacchierata,1.0,17.0,0.0,0.0
trecento,1.0,5.0,0.0,0.0
senti',3.0,10.0,0.0,0.0
hop,3.0,9.33333333333,1.0,0.0
A,5.0,6.6,4.0,2.0
caldo,18.0,9.33333333333,10.0,0.0
rimbecillito,1.0,24.0,0.0,0.0
prendiamo,45.0,6.66666666667,9.0,1.0
calda,13.0,9.61538461538,3.0,0.0
Napoleone,1.0,18.0,0.0,0.0
presepe,2.0,11.0,1.0,0.0
diritto,1.0,4.0,1.0,0.0
diritti,2.0,7.5,1.0,0.0
pompieri,7.0,6.28571428571,4.0,0.0
Nilla,2.0,21.0,1.0,0.0
codeste,1.0,3.0,0.0,0.0
spiritosa,1.0,4.0,1.0,0.0
codesta,3.0,7.33333333333,1.0,0.0
codesto,23.0,6.78260869565,7.0,1.0
codesti,5.0,5.6,1.0,0.0
spiritoso,2.0,6.5,1.0,0.0
piuma,1.0,5.0,1.0,0.0
piume,3.0,9.66666666667,1.0,0.0
qiuella,1.0,15.0,0.0,0.0
vivono,2.0,19.0,0.0,0.0
ormai,13.0,8.0,2.0,0.0
qualcosa,71.0,10.1830985915,21.0,0.0
fia,1.0,2.0,1.0,0.0
frusta,1.0,4.0,0.0,0.0
l'uovo,5.0,9.2,2.0,0.0
fim,1.0,32.0,0.0,0.0
Giovannino,1.0,6.0,1.0,0.0
conciato,2.0,8.0,0.0,0.0
arancio,6.0,3.33333333333,3.0,1.0
cacciatore,9.0,6.66666666667,5.0,0.0
mangiar,5.0,12.6,0.0,0.0
cacciatori,1.0,20.0,0.0,0.0
barattolo,6.0,8.83333333333,3.0,0.0
giusto,11.0,8.09090909091,5.0,1.0
l'ultima,1.0,6.0,0.0,0.0
qualcos',1.0,5.0,0.0,0.0
regalate,2.0,11.5,2.0,0.0
scrivuta,3.0,2.33333333333,3.0,0.0
piaciono,1.0,6.0,0.0,0.0
sfoglialo,1.0,5.0,0.0,0.0
rinocero,2.0,3.0,1.0,0.0
scaldato,1.0,3.0,1.0,0.0
buffe,1.0,3.0,1.0,0.0
poteva,1.0,11.0,0.0,0.0
ceccia,15.0,6.86666666667,5.0,1.0
ceccio,1.0,3.0,0.0,0.0
angolo,4.0,5.0,2.0,0.0
cuffia,1.0,14.0,0.0,0.0
puzzetta,1.0,6.0,1.0,0.0
ghiotta,2.0,6.5,0.0,0.0
fió,1.0,20.0,0.0,0.0
sembrano,8.0,7.25,1.0,0.0
ombi,2.0,3.5,2.0,1.0
croste,1.0,3.0,1.0,0.0
re,6.0,5.66666666667,4.0,1.0
ra,3.0,4.33333333333,3.0,1.0
ro,3.0,7.33333333333,2.0,0.0
ri,2.0,7.5,0.0,0.0
sma,1.0,6.0,1.0,0.0
silenziosa,1.0,11.0,1.0,0.0
Aleessandro,1.0,21.0,0.0,0.0
rientra,1.0,27.0,0.0,0.0
stampini,1.0,29.0,0.0,0.0
siediti,16.0,6.6875,3.0,2.0
chiari,1.0,5.0,0.0,0.0
sorso,1.0,5.0,0.0,0.0
chiaro,3.0,3.33333333333,2.0,0.0
lucina,1.0,8.0,0.0,0.0
lucine,2.0,4.5,1.0,0.0
chiare,1.0,4.0,1.0,0.0
querce,2.0,17.5,0.0,0.0
pennarello,1.0,7.0,1.0,0.0
pennarelli,9.0,5.55555555556,4.0,1.0
orecchini,7.0,5.71428571429,4.0,0.0
bigliettai,1.0,5.0,0.0,0.0
avrebbe,2.0,8.5,0.0,0.0
wash,1.0,10.0,0.0,0.0
giuro,2.0,19.0,0.0,0.0
tiella,1.0,4.0,0.0,0.0
sbatteva,1.0,29.0,0.0,0.0
birilli,2.0,8.0,1.0,0.0
Sonia,7.0,10.7142857143,3.0,0.0
lego,4.0,5.75,2.0,0.0
lega,1.0,11.0,0.0,0.0
ronf,4.0,8.5,1.0,0.0
ragione,26.0,9.30769230769,6.0,0.0
dirgli,1.0,6.0,0.0,0.0
ragiona,1.0,19.0,1.0,0.0
ganza,1.0,2.0,1.0,0.0
gilelo,1.0,3.0,0.0,0.0
ganzo,3.0,8.66666666667,0.0,0.0
sbatacchiala,1.0,5.0,0.0,0.0
lampadario,2.0,3.0,2.0,0.0
autista,3.0,4.0,3.0,0.0
dirmi,2.0,11.5,0.0,0.0
nzu,3.0,3.0,1.0,0.0
mercato,4.0,6.0,2.0,0.0
ancora,216.0,6.33796296296,72.0,21.0
fctf,1.0,1.0,1.0,1.0
ritrovati,1.0,10.0,0.0,0.0
ritrovato,2.0,11.0,0.0,0.0
corno,1.0,21.0,1.0,0.0
