word,word_count,mean_sent_length,final_count,solo_count
znaju,17.0,6.05882352941,5.0,0.0
svete,5.0,7.4,4.0,0.0
pozhalet',1.0,6.0,0.0,0.0
lavochke,1.0,3.0,0.0,0.0
vezet,2.0,12.0,1.0,0.0
interesno,10.0,5.4,4.0,1.0
kerchief,1.0,6.0,1.0,0.0
privychnoe,1.0,7.0,0.0,0.0
shtuchka,4.0,5.75,3.0,0.0
pol'zovat'sja,2.0,11.0,1.0,0.0
odejalom,2.0,2.5,1.0,0.0
nego,57.0,7.82456140351,9.0,0.0
posidet',2.0,8.5,1.0,0.0
pridumala,2.0,8.5,1.0,0.0
shtuchki,2.0,9.0,1.0,0.0
smeetsja,2.0,3.5,2.0,0.0
voz'mesh',2.0,7.5,1.0,0.0
krokodil'chik,1.0,5.0,0.0,0.0
storonu,2.0,19.0,0.0,0.0
reshila,2.0,8.5,0.0,0.0
cypochkax,1.0,2.0,1.0,0.0
prozrachnogo,1.0,14.0,0.0,0.0
pen'ke,1.0,9.0,0.0,0.0
rozovom,1.0,5.0,0.0,0.0
botinki,16.0,5.5,9.0,0.0
druzhochek,1.0,9.0,0.0,0.0
kiski,2.0,9.0,0.0,0.0
krasivoe,4.0,7.5,2.0,0.0
grebeshochkom,1.0,4.0,1.0,0.0
muravej,1.0,1.0,1.0,1.0
rotik,5.0,3.8,2.0,0.0
bike,1.0,3.0,0.0,0.0
kosym,1.0,10.0,0.0,0.0
zakleim,1.0,9.0,0.0,0.0
Kubik,13.0,7.07692307692,1.0,0.0
uzhe,98.0,7.5612244898,12.0,1.0
bednaja,1.0,6.0,0.0,0.0
xodi,1.0,9.0,0.0,0.0
videt',2.0,5.5,0.0,0.0
dela,2.0,7.5,1.0,0.0
zakroj,4.0,10.0,0.0,0.0
soshju,1.0,9.0,1.0,0.0
kudo,1.0,4.0,0.0,0.0
dele,3.0,15.3333333333,1.0,0.0
poigratsja,6.0,4.33333333333,5.0,0.0
otnesla,2.0,5.0,2.0,0.0
Spokojnoj,1.0,5.0,0.0,0.0
kude,1.0,6.0,0.0,0.0
ploxaja,3.0,5.66666666667,3.0,0.0
shchelkunchik,2.0,1.0,2.0,2.0
pokazyvaesh',2.0,10.0,1.0,0.0
kuda,54.0,5.01851851852,9.0,6.0
naprimer,3.0,9.66666666667,0.0,0.0
prochim,4.0,7.75,1.0,0.0
medom,1.0,6.0,1.0,0.0
delu,1.0,4.0,0.0,0.0
tapki,2.0,4.5,2.0,0.0
razreshish',1.0,7.0,1.0,0.0
chisten'kix,1.0,10.0,0.0,0.0
nosom,2.0,5.5,1.0,0.0
ljubimym,1.0,6.0,1.0,0.0
ljubimyj,4.0,5.75,0.0,0.0
spat'to,2.0,3.0,1.0,0.0
nosok,1.0,2.0,0.0,0.0
mnogimi,2.0,18.0,0.0,0.0
zerkalo,1.0,11.0,0.0,0.0
cheloveka,2.0,5.0,1.0,0.0
shosse,1.0,3.0,0.0,0.0
narisovany,5.0,1.4,5.0,4.0
stranicu,1.0,5.0,1.0,0.0
pomogala,3.0,6.33333333333,1.0,0.0
