word,word_count,mean_sent_length,final_count,solo_count
Pampú,2.0,7.5,0.0,0.0
gai,1.0,2.0,0.0,0.0
estona,1.0,2.0,1.0,0.0
dejábamos,3.0,9.0,0.0,0.0
querrías,1.0,5.0,0.0,0.0
trotar,3.0,4.33333333333,2.0,0.0
praza,2.0,9.0,2.0,0.0
montarnos,2.0,14.0,2.0,0.0
igual,765.0,6.92941176471,263.0,23.0
ciudades,4.0,9.5,2.0,0.0
tía,278.0,7.05035971223,105.0,3.0
hermana,324.0,9.2962962963,119.0,0.0
trotan,8.0,10.125,4.0,0.0
hermano,394.0,9.0152284264,142.0,0.0
tín,1.0,2.0,1.0,0.0
tío,289.0,6.75778546713,94.0,14.0
jeriniguillita,1.0,11.0,0.0,0.0
Valle,3.0,3.0,0.0,0.0
dictado,9.0,8.44444444444,6.0,0.0
menos+cuarto,1.0,4.0,0.0,0.0
ijoles,1.0,7.0,0.0,0.0
compuesta,1.0,11.0,0.0,0.0
no+o+o+o,1.0,1.0,1.0,1.0
compuesto,2.0,6.0,2.0,0.0
espumaderas,1.0,8.0,0.0,0.0
guardámelos,1.0,4.0,0.0,0.0
asomarte,1.0,3.0,1.0,0.0
Cocinas,1.0,5.0,0.0,0.0
dóeche,1.0,2.0,1.0,0.0
caramelo,104.0,5.39423076923,67.0,3.0
fuera,411.0,7.21411192214,163.0,15.0
amorcito,1.0,2.0,1.0,0.0
batiendo,1.0,5.0,0.0,0.0
patinete,121.0,6.27272727273,73.0,3.0
patineta,2.0,3.5,2.0,0.0
entretenidos,1.0,14.0,0.0,0.0
conexiño,2.0,5.5,1.0,0.0
guardados,8.0,6.125,4.0,0.0
catarrín,3.0,7.0,3.0,0.0
chiquitinas,3.0,10.0,1.0,0.0
apelidos,1.0,4.0,1.0,0.0
dáselos,1.0,1.0,1.0,1.0
espumita,5.0,3.6,4.0,1.0
ándate,2.0,9.5,0.0,0.0
china,10.0,6.0,6.0,1.0
legañita,2.0,3.0,2.0,0.0
sillón,67.0,8.16417910448,28.0,0.0
chino,36.0,6.77777777778,11.0,0.0
Piedad,1.0,23.0,0.0,0.0
teniéndolo,1.0,1.0,1.0,1.0
acertar,13.0,7.76923076923,1.0,0.0
pódenos,2.0,10.0,0.0,0.0
volador,6.0,6.66666666667,5.0,0.0
cruasán,5.0,6.0,5.0,0.0
pintó,41.0,6.31707317073,8.0,1.0
frótalas,1.0,1.0,1.0,1.0
rrrrr,3.0,6.66666666667,3.0,1.0
pintá,13.0,4.69230769231,5.0,0.0
ta'i,1.0,3.0,0.0,0.0
enfermito,8.0,5.875,4.0,0.0
Luismi,7.0,1.71428571429,7.0,4.0
enfermita,9.0,6.22222222222,6.0,0.0
sacapuntes,1.0,7.0,0.0,0.0
juegues,25.0,8.44,6.0,0.0
