"uni_lemma","replacement"
"a lot","many"
"all gone","gone"
"atole","chocolate"
"awoo","woof"
"baa baa","woof"
"baby food","food"
"be opened","open"
"be scared","scared"
"beads","bead"
"beans","bean"
"beep beep","beep"
"belly button","bellybutton"
"bidet","potty"
"bless you","bless"
"bubbles","bubble"
"bzzz","woof"
"cacao","chocolate"
"carrots","carrot"
"caw","woof"
"cheerios","cheerio"
"chicken (animal)","chicken"
"chicken (food)","chicken"
"choo choo","woof"
"clean (action)","clean"
"clean (description)","clean"
"clop clop","woof"
"cockadoodledoo","woof"
"comb (object)","comb"
"come on","come"
"compote","dessert"
"cottage cheese","cheese"
"cuddles","cuddle"
"cut it out","stop"
"don't","do"
"drink (action)","dry"
"drink (beverage)","drink"
"drip drop","woof"
"dry (description)","dry"
"earrings","earring"
"eat breakfast","eat"
"eat dinner","eat"
"feet","foot"
"fish (animal)","fish"
"fish (food)","fish"
"ga ga","woof"
"get hungry","hungry"
"get off","get"
"get on","get"
"gloves","glove"
"go around the house","go"
"go out","go"
"go potty","potty"
"gobble gobble","woof"
"good boy/girl","boy"
"good boy/girl","girl"
"good boy/girl","good"
"good morning","morning"
"good night","goodnight"
"grapes","grape"
"great grandma","grandmother"
"great grandpa","grandfather"
"grrr","woof"
"hands up","up"
"have hands","have"
"hee haw","woof"
"here you go","here"
"hide and seek","game"
"high chair","highchair"
"honk honk","woof"
"i","I"
"in front","front"
"keys","key"
"kid's song","song"
"knock knock","woof"
"lah lah","woof"
"like this","this"
"little (description)","little"
"look at me","look"
"look for","look"
"mittens","mitten"
"nails","nail"
"no more","none"
"one two three","one"
"one two three","two"
"one two three","three"
"orange (food)","orange"
"out of","out"
"owie","hurt"
"pattycake","game"
"peas","pea"
"pen/pencil","pen"
"pen/pencil","pencil"
"photos","photo"
"pick up","pick"
"play pen","playpen"
"put in","put"
"put on","put"
"put out","put"
"quack quack","quack"
"ring around the rosie","song"
"ring ring","woof"
"run after","run"
"sandals","shoe"
"semolina","wheat"
"shh","woof"
"slide (object)","slide"
"sss","woof"
"stomp stomp","woof"
"swing (action)","swing"
"swing (object)","swing"
"take in arms","take"
"tarhana","soup"
"teddybear","teddy bear"
"thank you","thanks"
"tick tock","woof"
"to slap","slap"
"to there","there"
"to you","you"
"toy (object)","toy"
"tram","train"
"tweet tweet","woof"
"voice recorder","recorder"
"vroom","woof"
"wanna","want"
"watch (action)","watch"
"watch (object)","watch"
"water (beverage)","water"
"water (not beverage)","water"
"wee","woof"
"weee","woof"
"when (question)","when"
"where (question)","where"
"who's there","there"
"woof woof","woof"
"work (place)","work"
"yogurt drink","yogurt"
"yum yum","yummy"
