ID_CDI_II;ID_CDI_I;Word_NW;Word_CDI;Translation;Homonymous;In_NW;Word_class;Lex_cat;Broad_lex;Imageability;Phon_neighbours;Phonemes;Syllables
i_5_1;#N/A;'ei brødskive';'(brød)skive';'slice (of bread)';n;y;noun;common nouns;nominals;6,89;#N/A;7;3
i_5_2;#N/A;'en agurk';'agurk';'cucumber';n;y;noun;common nouns;nominals;6,95;0;5;2
i_3_1;#N/A;'et akebrett';'akebrett';'sled';n;y;noun;common nouns;nominals;6,7;3;7;3
i_2_2;i_5_1;'ei and';'and';'duck';n;y;noun;common nouns;nominals;6,92;9;3;1
i_7_1;#N/A;'en ankel';'ankel';'ankle';n;y;noun;common nouns;nominals;6,83;6;5;2
i_7_2;i_10_1;'et ansikt';'ansikt';'face';n;y;noun;common nouns;nominals;6,45;3;6;2
i_2_3;i_5_3;'en ape';'apekatt';'monkey';n;y;noun;common nouns;nominals;6,71;18;3;2
i_5_3;i_8_1;'en appelsin';'appelsin';'orange';n;y;noun;common nouns;nominals;6,96;0;7;3
i_7_3;i_10_2;'en arm';'arm';'arm';n;y;noun;common nouns;nominals;6,64;21;3;1
i_12_1;i_15_1;'en baby';'baby';'baby';n;y;noun;people;nominals;6,76;0;4;2
i_13_2;i_16_1;'å bade';'bade';'bathe';n;y;verb;games & routines;games & routines;6,72;20;4;2
i_9_2;i_12_2;'et badekar';'badekar';'bathtub';n;y;noun;common nouns;nominals;7,14;2;7;3
i_9_3;#N/A;'en balkong';'balkong';'balcony';n;y;noun;common nouns;nominals;6,2;0;6;2
i_4_1;i_7_1;'en ball';'ball';'ball';n;y;noun;common nouns;nominals;6,65;23;3;1
i_4_2;i_7_2;'en ballong';'ballong';'balloon';n;y;noun;common nouns;nominals;6,83;3;5;2
i_5_4;i_8_2;'en banan';'banan';'banana';n;y;noun;common nouns;nominals;6,86;1;5;2
i_12_2;i_15_2;'et barn';'barn';'child';n;y;noun;people;nominals;6,56;12;3;1
i_9_4;#N/A;'ei barneseng';'barneseng';'cot';n;y;noun;common nouns;nominals;6,25;#N/A;7;3
i_3_2;i_6_1;'ei barnevogn';'barnevogn';'stroller';n;y;noun;common nouns;nominals;6,93;1;8;3
i_7_4;i_10_3;'et bein (kroppsdel)';'bein';'leg';n;y;noun;common nouns;nominals;6,74;18;3;1
i_6_1;#N/A;'et belte';'belte';'belt';n;y;noun;common nouns;nominals;6,68;16;5;2
i_11_1;#N/A;'en bensinstasjon';'bensinstasjon';'gas station';n;y;noun;places to go;nominals;6,8;0;12;4
i_12_5;i_15_4;'en bestefar';'bestefar';'grandfather';n;y;noun;people;nominals;6,35;0;8;3
i_12_6;i_15_5;'ei bestemor';'bestemor';'grandmother';n;y;noun;people;nominals;6,56;0;8;3
i_3_3;i_6_2;'en bil';'bil';'car';n;y;noun;common nouns;nominals;6,56;19;3;1
i_8_1;i_11_1;'et bilde';'bilde';'picture';n;y;noun;common nouns;nominals;6,04;10;5;2
i_14_2;i_17_1;'å bite';'bite';'bite';n;y;verb;action words;predicates;6;21;4;2
i_2_4;i_5_4;'en bjørn';'bjørn';'bear';n;y;noun;common nouns;nominals;6,78;0;4;1
i_6_2;i_9_1;'ei bleie';'bleie';'diaper';n;y;noun;common nouns;nominals;6,54;11;4;2
i_21_1;#N/A;'å bli';'bli';'be(come)';n;y;verb;closed-class items;closed-class;3,41;18;3;1
i_10_3;i_13_1;'en blomst';'blomst';'flower';n;y;noun;places to go;nominals;6,69;2;6;1
i_4_3;i_7_7;'en blyant';'blyant';'pencil';n;y;noun;common nouns;nominals;6,94;1;6;2
i_15_2;i_18_1;'blå';'blå';'blue';n;y;adjective;descriptive words;predicates;6,47;15;3;1
i_14_3;i_17_2;'å blåse';'blåse';'blow';n;y;verb;action words;predicates;6,26;11;5;2
i_4_4;i_7_3;'ei bok';'bok';'book';n;y;noun;common nouns;nominals;6,66;20;3;1
i_12_7;#N/A;'en bonde';'bonde';'farmer';n;y;noun;people;nominals;6,54;16;4;2
i_11_2;#N/A;'en bondegård';'bondegård';'farm';n;y;noun;places to go;nominals;6,52;1;7;3
i_9_6;i_12_4;'et bord';'bord';'table';n;y;noun;common nouns;nominals;6,79;33;3;1
i_15_5;i_18_3;'bra';'bra';'good';n;y;adjective;descriptive words;predicates;3,73;19;3;1
i_3_4;i_6_3;'en brannbil';'brannbil';'firetruck';n;y;noun;common nouns;nominals;7,02;0;7;2
i_12_8;#N/A;'en brannmann';'brannmann';'fireman';n;y;noun;people;nominals;6,46;1;7;2
i_8_5;#N/A;'et brett';'brett';'tray';n;y;noun;common nouns;nominals;6,13;20;4;1
i_8_6;i_11_3;'briller';'briller';'glasses';n;y;noun;common nouns;nominals;7,08;14;6;2
i_12_9;i_15_6;'en bror';'bror';'brother';n;y;noun;people;nominals;6,39;11;4;1
i_15_7;#N/A;'brun';'brun';'brown';n;y;adjective;descriptive words;predicates;6,15;13;4;1
i_5_7;i_8_4;'et brød';'brød';'bread';n;y;noun;common nouns;nominals;6,96;21;3;1
i_14_4;#N/A;'å bråke';'bråke';'brawl';n;y;verb;action words;predicates;5,44;16;5;2
i_15_6;#N/A;'bråkete';'bråkete';'noisy';n;y;adjective;descriptive words;predicates;5,01;9;7;3
i_6_3;i_9_2;'ei bukse';'bukse';'pants';n;y;noun;common nouns;nominals;6,55;13;5;2
i_21_3;#N/A;'å burde';'burde';'should';n;y;verb;closed-class items;closed-class;2,49;10;4;2
i_3_6;i_6_4;'en buss';'buss';'bus';n;y;noun;common nouns;nominals;6,77;19;3;1
i_11_3;i_14_1;'en butikk';'butikk';'store';n;y;noun;places to go;nominals;6,19;1;5;2
i_11_4;#N/A;'en by';'byen';'downtown';n;y;noun;places to go;nominals;5,79;26;2;1
i_14_5;#N/A;'å bygge';'bygge';'build';n;y;verb;action words;predicates;5,86;14;4;2
i_14_6;#N/A;'å bære';'bære';'carry';n;y;verb;action words;predicates;6,09;21;4;2
i_5_6;#N/A;'en bønne';'bønner';'beans';n;y;noun;common nouns;nominals;6,06;18;4;2
i_8_3;i_11_2;'en børste';'børste';'brush';n;y;noun;common nouns;nominals;6,42;10;5;2
i_8_4;#N/A;'ei bøtte';'bøtte';'bucket';n;y;noun;common nouns;nominals;6,83;22;4;2
i_3_5;#N/A;'en båt';'båt';'boat';n;y;noun;common nouns;nominals;6,7;20;3;1
i_11_5;#N/A;'en campingplass';'campingplass';'camping site';n;y;noun;places to go;nominals;6,83;0;10;3
i_5_9;#N/A;'cola';'cola';'coke';n;y;noun;common nouns;nominals;6,7;#N/A;4;2
i_16_1;i_19_1;'en dag';'dag';'day';n;y;noun;words about time;#N/A;3,9;17;3;1
i_12_11;i_15_7;'ei dame';'dame';'lady';n;y;noun;people;nominals;6,69;8;4;2
i_14_7;i_17_3;'å danse';'danse';'dance';n;y;verb;action words;predicates;6,65;8;5;2
i_14_8;#N/A;'å dele';'dele';'share';n;y;verb;action words;predicates;5,16;16;4;2
i_5_11;#N/A;'dessert';'dessert';'dessert';n;y;noun;common nouns;nominals;6,12;0;5;2
