word,word_count,mean_sent_length,final_count,solo_count
puknemo,1.0,10.0,0.0,0.0
pušeš,1.0,7.0,0.0,0.0
očuhovu,1.0,17.0,0.0,0.0
pišao,1.0,3.0,1.0,0.0
sonja,2.0,3.5,1.0,0.0
potjeraj,2.0,3.0,1.0,0.0
potjerao,2.0,6.0,1.0,0.0
njemu,48.0,8.75,9.0,0.0
odveze,2.0,6.5,0.0,0.0
odvezo,1.0,10.0,0.0,0.0
vrtuljkom,1.0,7.0,0.0,0.0
bezveze,2.0,4.5,1.0,0.0
pardon,3.0,6.33333333333,1.0,1.0
trebao,5.0,6.6,0.0,0.0
trebam,7.0,6.0,3.0,0.0
predstaviš,1.0,16.0,0.0,0.0
poduplala,1.0,5.0,0.0,0.0
popni,18.0,5.94444444444,6.0,0.0
čekamo,1.0,8.0,0.0,0.0
popne,3.0,11.3333333333,0.0,0.0
jesam,52.0,3.96153846154,14.0,9.0
dela,1.0,3.0,1.0,0.0
eki,1.0,2.0,0.0,0.0
potinić,2.0,3.5,1.0,1.0
suha,3.0,6.66666666667,1.0,0.0
pješčaniku,3.0,11.3333333333,3.0,0.0
protrlja,1.0,9.0,0.0,0.0
hvatamo,1.0,10.0,0.0,0.0
znate,4.0,6.5,1.0,0.0
kupimo,3.0,6.66666666667,1.0,0.0
skidaš,5.0,5.8,0.0,0.0
ispast,3.0,7.0,1.0,0.0
soba,1.0,9.0,0.0,0.0
ostaviš,3.0,8.0,1.0,0.0
izgubile,1.0,3.0,0.0,0.0
pivu,1.0,4.0,1.0,0.0
izgubila,14.0,8.92857142857,6.0,0.0
izgubilo,1.0,2.0,0.0,0.0
nekakav,22.0,7.95454545455,2.0,0.0
izvučemo,1.0,4.0,0.0,0.0
iziđe,1.0,5.0,1.0,0.0
izgubili,7.0,8.71428571429,3.0,0.0
oooo,5.0,1.6,4.0,2.0
bilo,210.0,6.7380952381,71.0,0.0
piva,1.0,3.0,0.0,0.0
tak,14.0,6.85714285714,6.0,0.0
povuć,1.0,13.0,0.0,0.0
pive,2.0,13.0,0.0,0.0
zzzzzz,2.0,1.0,2.0,2.0
šegrtu,1.0,7.0,0.0,0.0
vjenčanje,1.0,10.0,0.0,0.0
sumrak,1.0,2.0,1.0,0.0
ovakvu,5.0,6.8,2.0,0.0
pogodit,1.0,5.0,0.0,0.0
raspitao,1.0,12.0,0.0,0.0
niknuti,1.0,7.0,0.0,0.0
smetlarima,1.0,5.0,0.0,0.0
skidaju,1.0,3.0,0.0,0.0
šapće,3.0,5.33333333333,1.0,0.0
helenica,1.0,5.0,0.0,0.0
bubani,11.0,5.63636363636,7.0,0.0
ovakve,1.0,5.0,0.0,0.0
helenice,1.0,4.0,1.0,0.0
zgodnoga,2.0,9.5,2.0,0.0
pogodio,12.0,5.75,9.0,0.0
bubana,4.0,3.25,3.0,1.0
jastog,2.0,2.0,1.0,0.0
loptu,87.0,5.88505747126,46.0,1.0
otuširali,1.0,11.0,0.0,0.0
semaforu,4.0,5.5,3.0,0.0
sliku,6.0,6.33333333333,4.0,1.0
mogu,216.0,6.2037037037,28.0,6.0
kravom,1.0,7.0,0.0,0.0
mogo,2.0,10.0,0.0,0.0
sliki,1.0,8.0,0.0,0.0
moga,1.0,24.0,0.0,0.0
slike,14.0,7.07142857143,7.0,0.0
polako,88.0,4.02272727273,44.0,15.0
slika,21.0,4.47619047619,13.0,4.0
remen,1.0,4.0,1.0,0.0
pisati,25.0,4.52,14.0,3.0
smjeli,1.0,10.0,0.0,0.0
podsjeti,1.0,4.0,1.0,0.0
pročitati,4.0,14.0,0.0,0.0
smjela,2.0,6.5,1.0,0.0
dora,6.0,7.0,1.0,0.0
zaboljeti,1.0,6.0,0.0,0.0
snimati,19.0,6.84210526316,13.0,0.0
španjolske,2.0,4.5,2.0,0.0
k,59.0,7.49152542373,2.0,0.0
snimate,1.0,6.0,0.0,0.0
spremištu,3.0,4.33333333333,2.0,0.0
prerano,1.0,4.0,1.0,0.0
spremišta,3.0,5.33333333333,3.0,0.0
snimio,1.0,4.0,0.0,0.0
spremište,4.0,6.5,2.0,0.0
koje,251.0,4.50597609562,66.0,57.0
koja,223.0,6.51569506726,11.0,9.0
isplati,1.0,23.0,0.0,0.0
pužić,1.0,3.0,1.0,0.0
koji,290.0,6.22068965517,21.0,15.0
patak+dača,1.0,4.0,0.0,0.0
koju,154.0,5.42207792208,29.0,18.0
lopti,4.0,8.0,2.0,0.0
jakne,1.0,13.0,0.0,0.0
vatrogasci,13.0,8.61538461538,4.0,0.0
trebaš,29.0,6.41379310345,6.0,0.0
legne,1.0,4.0,0.0,0.0
četvrti,6.0,6.0,4.0,2.0
tješeći,1.0,9.0,0.0,0.0
igora,2.0,5.0,0.0,0.0
vanesa,4.0,9.25,2.0,0.0
striko,1.0,4.0,0.0,0.0
kompleksiće,1.0,8.0,0.0,0.0
vanesu,1.0,7.0,1.0,0.0
legni,3.0,5.0,0.0,0.0
međimurskoga,1.0,3.0,0.0,0.0
otkad,1.0,1.0,1.0,1.0
glasa,3.0,5.33333333333,0.0,0.0
objasnim,2.0,4.5,2.0,0.0
telefonira,5.0,2.0,5.0,3.0
neidentificiran,1.0,10.0,0.0,0.0
pobrkao,1.0,7.0,0.0,0.0
probudile,1.0,7.0,1.0,0.0
skidam,1.0,7.0,0.0,0.0
glasu,1.0,5.0,1.0,0.0
placu,2.0,2.0,2.0,0.0
rikardova,2.0,6.0,0.0,0.0
pogurni,2.0,2.0,2.0,0.0
pujik,1.0,7.0,0.0,0.0
rikardove,3.0,4.66666666667,2.0,1.0
probudili,7.0,4.0,4.0,0.0
kompjuterom,1.0,15.0,1.0,0.0
zagreba,4.0,7.75,1.0,0.0
popravi,6.0,3.83333333333,5.0,1.0
ostavio,15.0,5.46666666667,6.0,0.0
ostavim,3.0,6.33333333333,0.0,0.0
ostavil,1.0,11.0,0.0,0.0
zagrebu,25.0,6.32,15.0,0.0
ostavit,3.0,6.66666666667,1.0,0.0
turu,6.0,8.83333333333,4.0,0.0
ljuljati,12.0,5.58333333333,6.0,0.0
peglica,10.0,4.7,6.0,1.0
stanovnike,1.0,5.0,0.0,0.0
antonijina,1.0,3.0,0.0,0.0
pijesak,100.0,5.62,60.0,9.0
gusto,1.0,7.0,0.0,0.0
pogodiš,3.0,8.33333333333,1.0,0.0
want,1.0,3.0,0.0,0.0
odrezala,1.0,8.0,0.0,0.0
trinaestić,4.0,11.5,1.0,1.0
pemunja,2.0,1.5,1.0,1.0
prolaziti,3.0,20.0,0.0,0.0
htjeti,1.0,6.0,1.0,0.0
hoa,1.0,5.0,0.0,0.0
hoj,3.0,8.0,0.0,0.0
kristinom,1.0,5.0,1.0,0.0
ručnikom,4.0,5.25,2.0,0.0
suncokreta,1.0,4.0,0.0,0.0
hop,285.0,3.82807017544,185.0,140.0
pipaca,1.0,17.0,0.0,0.0
gužva,2.0,4.0,1.0,0.0
maškarama,1.0,19.0,0.0,0.0
nastavlja,2.0,6.5,1.0,0.0
šuku,1.0,24.0,1.0,0.0
sarom,1.0,6.0,0.0,0.0
ispuhati,2.0,2.5,2.0,1.0
gužvu,3.0,6.33333333333,2.0,0.0
zemlju,7.0,6.42857142857,1.0,1.0
skupljaju,2.0,1.5,2.0,1.0
izvuć,6.0,7.5,2.0,0.0
razbijemo,1.0,8.0,1.0,0.0
igranje,4.0,6.25,3.0,0.0
opće,14.0,7.85714285714,3.0,0.0
zubeki,2.0,5.5,1.0,0.0
opća,1.0,12.0,0.0,0.0
zemlji,11.0,6.0,6.0,0.0
zubeka,1.0,3.0,1.0,0.0
bolesnoj,1.0,9.0,1.0,0.0
zubeke,5.0,2.4,3.0,2.0
delaju,1.0,9.0,0.0,0.0
organizirat,1.0,8.0,0.0,0.0
ormar,10.0,6.7,6.0,2.0
knjigicom,1.0,2.0,1.0,0.0
nestao,1.0,9.0,0.0,0.0
bicikl,64.0,6.078125,38.0,7.0
šlapica,11.0,4.63636363636,7.0,1.0
poslovima,1.0,6.0,1.0,0.0
skrenuo,2.0,4.0,1.0,0.0
tenis,26.0,5.96153846154,19.0,0.0
popiškala,1.0,6.0,0.0,0.0
domagoj,1.0,8.0,0.0,0.0
ružne,5.0,9.4,0.0,0.0
čovjek,5.0,6.8,1.0,1.0
ružna,1.0,4.0,0.0,0.0
miševa,1.0,3.0,0.0,0.0
ružno,18.0,6.94444444444,10.0,1.0
prosipa,1.0,8.0,1.0,0.0
ružnu,2.0,4.0,0.0,0.0
doskočit,1.0,8.0,0.0,0.0
pomoćnika,2.0,7.0,0.0,0.0
fin,4.0,4.25,1.0,0.0
odmotao,1.0,5.0,1.0,0.0
nakloni,3.0,7.0,1.0,0.0
grožđeka,1.0,1.0,1.0,1.0
sedmom,2.0,6.5,0.0,0.0
sedmoj,3.0,9.0,0.0,0.0
sedmog,2.0,8.0,0.0,0.0
plesala,6.0,4.16666666667,5.0,0.0
plesale,2.0,9.5,1.0,0.0
zanovijetalo,1.0,1.0,1.0,1.0
medekom,1.0,10.0,1.0,0.0
sedamnaesti,3.0,2.66666666667,1.0,1.0
raznježen,1.0,6.0,0.0,0.0
kažeš,75.0,5.26666666667,37.0,0.0
zadat,1.0,4.0,0.0,0.0
torta,8.0,6.375,4.0,0.0
ugrizla,1.0,9.0,1.0,0.0
ježića,1.0,11.0,0.0,0.0
kokoda,3.0,4.33333333333,2.0,1.0
čašu,7.0,8.0,4.0,0.0
dopala,1.0,25.0,0.0,0.0
čaši,5.0,7.0,3.0,0.0
obučem,11.0,6.54545454545,4.0,0.0
čaše,7.0,5.0,3.0,2.0
proreći,1.0,12.0,0.0,0.0
čaša,5.0,4.6,1.0,0.0
dopalo,1.0,7.0,0.0,0.0
kiper,46.0,5.10869565217,26.0,5.0
grbe,1.0,6.0,1.0,0.0
svijeće,1.0,2.0,0.0,0.0
uhvatiti,8.0,9.625,3.0,0.0
vozit,47.0,6.68085106383,11.0,0.0
osip,2.0,2.5,1.0,1.0
podne,3.0,7.66666666667,1.0,0.0
vozio,22.0,7.68181818182,10.0,0.0
smirite,1.0,11.0,0.0,0.0
vozim,5.0,4.0,2.0,0.0
ispišite,3.0,2.66666666667,1.0,0.0
svijet,5.0,10.0,3.0,1.0
ljuljaš,4.0,8.25,3.0,0.0
odmaknuti,1.0,4.0,1.0,0.0
odaberi,1.0,14.0,0.0,0.0
borne,1.0,6.0,0.0,0.0
oprao,1.0,11.0,0.0,0.0
pepelju,1.0,1.0,1.0,1.0
promiješaš,1.0,17.0,1.0,0.0
lakše,19.0,7.94736842105,5.0,0.0
sjele,1.0,6.0,0.0,0.0
frižideru,3.0,6.0,1.0,0.0
smiri,11.0,6.72727272727,1.0,0.0
sjela,6.0,7.5,0.0,0.0
sirovo,4.0,6.25,2.0,0.0
smo,397.0,7.90428211587,17.0,0.0
re,2.0,1.0,2.0,2.0
ra,6.0,7.33333333333,3.0,1.0
počeli,1.0,6.0,0.0,0.0
dlake,5.0,3.4,4.0,1.0
sme,4.0,3.5,3.0,1.0
oprat,11.0,6.63636363636,1.0,0.0
dlaka,3.0,7.0,2.0,0.0
ri,1.0,2.0,1.0,0.0
počela,11.0,7.18181818182,1.0,0.0
natrpali,1.0,10.0,0.0,0.0
djeteta,1.0,4.0,0.0,0.0
svemir,1.0,2.0,1.0,0.0
knin,2.0,2.5,2.0,0.0
grepsti,2.0,5.0,1.0,0.0
skinuo,13.0,5.53846153846,4.0,0.0
djetetu,2.0,4.5,1.0,0.0
skinut,11.0,6.36363636364,1.0,0.0
zaplakala,1.0,3.0,1.0,0.0
duga,5.0,4.6,2.0,1.0
spretni,1.0,7.0,0.0,0.0
spretno,2.0,5.0,1.0,1.0
duge,2.0,7.5,0.0,0.0
donest,3.0,4.66666666667,0.0,0.0
dugi,4.0,10.5,1.0,0.0
izvadit,11.0,9.18181818182,4.0,0.0
šešir,5.0,9.0,0.0,0.0
tortici,2.0,4.0,1.0,0.0
dugo,26.0,8.34615384615,2.0,0.0
torticu,5.0,5.0,4.0,0.0
izvadim,3.0,9.0,1.0,0.0
dugu,13.0,7.15384615385,2.0,1.0
cendrao,1.0,3.0,1.0,0.0
stojadin,3.0,2.66666666667,3.0,0.0
stolca,2.0,3.5,1.0,1.0
zezati,7.0,3.85714285714,6.0,0.0
dioni,1.0,9.0,1.0,0.0
ručali,1.0,5.0,0.0,0.0
odemo,3.0,11.3333333333,1.0,1.0
pretvori,3.0,7.33333333333,0.0,0.0
izgubi,4.0,9.0,0.0,0.0
izgube,5.0,7.6,4.0,0.0
bojom,3.0,6.0,2.0,0.0
rozica,1.0,3.0,1.0,0.0
previsoko,3.0,5.0,3.0,0.0
roni,1.0,12.0,0.0,0.0
shoping,1.0,12.0,0.0,0.0
tenisa,1.0,4.0,1.0,0.0
mcdonaldsu,1.0,7.0,1.0,0.0
bebač,3.0,3.66666666667,1.0,0.0
oslobodio,1.0,11.0,0.0,0.0
postigla,1.0,9.0,0.0,0.0
skačeš,3.0,6.66666666667,0.0,0.0
obučene,1.0,4.0,1.0,0.0
master,2.0,1.5,1.0,1.0
obučena,4.0,5.5,2.0,0.0
krave,2.0,6.0,1.0,0.0
zabavljen,1.0,18.0,0.0,0.0
krava,40.0,5.3,17.0,0.0
darijana,1.0,10.0,0.0,0.0
slatkicom,1.0,3.0,1.0,0.0
lupi,11.0,5.63636363636,4.0,0.0
kažem,21.0,6.80952380952,11.0,0.0
trgaš,5.0,9.0,1.0,0.0
sandalicama,1.0,7.0,1.0,0.0
cisterna,3.0,12.0,1.0,0.0
kolača,6.0,3.5,3.0,1.0
pritiskat,7.0,5.42857142857,4.0,0.0
pokisnut,2.0,4.0,0.0,0.0
špricati,1.0,4.0,1.0,0.0
uozbiljio,1.0,12.0,1.0,0.0
pokisnuo,1.0,7.0,0.0,0.0
obučeš,2.0,7.0,0.0,0.0
kolače,19.0,5.15789473684,10.0,1.0
volje,1.0,5.0,1.0,0.0
bubanj,15.0,3.2,7.0,4.0
knjigom,2.0,8.5,1.0,0.0
igračkama,4.0,5.5,4.0,0.0
ljuljat,5.0,6.2,3.0,0.0
bogat,1.0,4.0,1.0,0.0
naučio,27.0,6.74074074074,11.0,0.0
ljuljaj,1.0,4.0,1.0,0.0
jučer,93.0,7.89247311828,23.0,2.0
ljuljao,1.0,11.0,0.0,0.0
voziš,29.0,5.13793103448,10.0,0.0
zmazanom,1.0,9.0,0.0,0.0
