"weee","а-а-а","aaa","aa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"woof woof","ав","av","gav",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yum yum","ам-ам/ням-ням","am","mmm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"thump","бух/бах/бам","bux","buxbax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"honk honk","га-га","ga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bzzz","жж","zh","zhzhzh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"caw","кар","kar","karrr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"croak","ква","kva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cluck","ко-ко","ko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lah lah","ля-ля-ля","lja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"baa baa","ме","me","mme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"moo","му","mu","muu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tick tock","тик-так","tik","tiktak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stomp stomp","топ-топ","toptop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"knock knock","тук-тук","tuk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"choo choo","ту-ту/чух-чух","chu","chox",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"awoo","уу","u","uuu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"yucky","фу","fu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"oink","хрр/хрю","xrju",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sss","шш","sh","psht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"butterfly","бабочка","babochek","babochekto","babochka","babochki","babochku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hippopotamus","бегемот","begemot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"squirrel","белка","belka","belochka","belochki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wolf","волк","volk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sparrow","воробей","vorobej","vorobushka","vorobyshek","vorobyshki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"crow","ворона","vorona","vorony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pigeon","голубь","golubi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"goose","гусь","gusi","gusja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hedgehog","ёж","ezh","ezhik","ezhika","ezhiki","ezhikom","ezhikov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"giraffe","жираф","zhiraf","zhirafy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bug","жук","zhuka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bunny","заяц","zajac","zajchenysh","zajchik","zajchika","zajchika","zajchiki","zajchikom","zajchishka","zajchishkoj","zajchonok","zajcy","zajka","zajku",,,,,,,,,,,,,,,,,,,,,,,
"animal","звери","zverej","zveri","zverjushka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"snake","змея","zmeja","zmeju",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"goat","коза","koza","kozlik","kozlom","kozochka","kozochke","kozoj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mosquito","комар","komar","komary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stallion","конь","kon'","konik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cow","корова","korova","korovka","korovu","korovy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cat","кошка","koshka","koshke","koshki","koshku","kosichki","kot","kotik","kotika","kotjatami","kotjatki","kotjatok",,,,,,,,,,,,,,,,,,,,,,,,,
"alligator","крокодил","krokodil","krokodil'chik","krokodil'chikov","krokodila","krokodily",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chicken (animal)","курица (animal)","kurice","kuricu","kurochka","kurochki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fox","лиса","lisa","lisenka","lisichka","lisjata","lisjatki","lisjatochki","lisoj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"horse","лошадь","loshad'","loshadej","loshadi","loshadka","loshadkax","loshadke","loshadki","loshadkoj","loshadku","loshadok",,,,,,,,,,,,,,,,,,,,,,,,,,
"frog","лягушка","kvakushka","ljagushka","ljagushke","ljagushki","ljagushku","kosichku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bear","медведь","medved'","medvedja","medvedju","medvezhonka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fly (animal)","муха","mux","muxa","muxi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mouse","мышка","myshek","myshka","myshke","myshki","myshkoj","myshomok","myshonka","myshonkom","myshonok",,,,,,,,,,,,,,,,,,,,,,,,,,,
"monkey","обезьяна","obes'jana","obez'jana","obez'jane","obez'janka","obez'janke","obez'janki","obez'jankin","obez'jankoj","obez'janku","obez'janu","obez'jany",,,,,,,,,,,,,,,,,,,,,,,,,
"donkey","ослик","oslik","oslika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rooster","петух","petushka","petushok","petuxa","petuxom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"piglet","поросенок","porosenka","porosenke","porosenkov","porosenok","porosjat","porosjata","porosjonok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bird","птичка","ptica","ptichek","ptichka","ptichki","ptichkiny","ptichku","ptici","pticu",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fish (animal)","рыбка","ryb","ryba","rybka","rybki","rybkov","rybku","rybu","ryby",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pig","свинка","svinjusha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"elephant","слон","slon","slona","slonik","slonika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dog","собака","sobachek","sobachka","sobachkam","sobachke","sobachki","sobachkina","sobachkoj","sobachku","sobak","sobaka","sobake","sobaki","sobakina","sobakoj","sobaku","dog","dogo","doginy",,,,,,,,,,,,,,,,,,
"tiger","тигр","tigr","tigra","tigry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"duck","утка","utjata","utjatki","utka","utkiny","utku","utochka","utochke","utochki","utochku",,,,,,,,,,,,,,,,,,,,,,,,,,,
"chick","цыпленок","cypljatki","cypljonok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bus","автобус","avtobus","trollejbuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bicycle","велосипед","velosiped","velosipede","siped","sipede","sipedik","sipedike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"helicopter","вертолет","vertolet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"truck","грузовик","gruzovika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stroller","коляска","koljaska","koljaskbe","koljaske","koljaskoj","koljasku","koljasochke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boat","кораблик","korablik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"car","машина","mashin","mashina","mashine","mashinka","mashinke","mashinu","mashiny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"locomotive","паровоз","paravozik","parovozik","parovozike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"train","поезд","poezd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"airplane","самолет","samolete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sled","санки","sankax","sanke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"album","альбом","al'bom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bucket","ведро","vedryshko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toy (object)","игрушка","igrushek","igrushka","igrushkami","igrushki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pen/pencil","карандаш","karandash","karandasha","karandashik","karandashikom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"glue","клей","kleem","klej","kleja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"book","книга","knig","kniga","knige","knigi","knigu","knishka","knishku","knizhechka","knizhechku","knizhek","knizhka","knizhkami","knizhke","knizhki","knizhku","knizsku",,,,,,,,,,,,,,,,,,,,
"paint (object)","краски","kraski",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"block","кубики","kubik","kubika","kubiki","kubikov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"doll","кукла","kukla","kuklam","kukle","kukloj","kuklu","kukly","kukol","kukolka","kukolkam","kukolki","kukolkoj",,,,,,,,,,,,,,,,,,,,,,,,,
"shovel","лопатка","lopatka","lopatku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"puzzle","мозаика/пазл","mozaika","mozaiku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ball","мяч","mjachik","mjachikami","mjachikom","mjachom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"song","песенка","pesenku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"play dough","пластилин","plastelin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pen/pencil","ручка","ruchek","ruchka","ruchkami","ruchkax","ruchke","ruchki","ruchkoj","ruchku",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"spade","совок","sovochek","sovochkom","sovok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"story","сказка","skazku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"picture","фотографии","fotografii","fotografija","fotografijami","fotografiu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"balloon","шарик","sharik","sharike","shariki","sharkika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"orange (food)","апельсин","apel'sinom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"banana","банан","banan","bananom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jam","варенье","varen'icem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vitamins","витамины","vitaminy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"water (beverage)","вода","voda","vode","vodichka","vodichke","vodichkoj","vodichku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pear","груша","grushi","grushu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"peas","горох","goroxa","goroxu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mushrooms","грибы","gribami","gribochki","gribochkom","griby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"raisin","изюм","izjuma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cabbage","капуста","kapusta","kapustka","kapustku","kapustnic","kapustu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"potato","картошка","kartofel'","kartoshechku","kartoshka","kartoshki","kartoshkoj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cereal","каша","kasha","kashi","kashka","kashku","kashu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
