"а-а-а","aaa","aa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ав","av","gav",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"алё","allo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ам-ам/ням-ням","am","mmm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"бе","be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"биби","bibi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"бл-бл","bl-bl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"брр/ввв и т.п.","brr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"бух/бах/бам","bux","buxbax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"га-га","ga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"динь-динь","dindin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"жж","zh","zhzhzh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"иа","eeya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"иго-го/цока-ющий звук","eegogo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кап-кап","kap-kap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кар","kar","karrr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ква","kva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ко-ко","ko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кря","krja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кукареку","kukareku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ля-ля-ля","lja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ме","me","mme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"му","mu","muu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"мяу","mjau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"пи-пи","pi-pi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"прыг","pryg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ррр","rrr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"тик-так","tik","tiktak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"топ-топ","toptop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"тсс","tss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"тук-тук","tuk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ту-ту/чух-чух","chu","chox",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
