item,frequency
all,0.00371414033366
dance,0.000176134224579
ouch,6.5792828041e-05
yellow,0.000386645523693
windy,1.37765804313e-05
skate,3.01282226254e-05
sleep,0.000491193031265
dish,0.00012064164359
chair,0.000599603131481
hate,6.46340502477e-05
milk,0.000551063217251
hurry,0.000108023840952
tv,0.000148838569893
tickle,0.000193773397655
to,0.0160325920417
does,0.00197120977947
present,0.000155919989741
under,0.000325616559913
melon,9.27022234628e-06
smile,7.8410630679e-05
brown,0.000166992755321
garden,6.88829021564e-05
blanket,0.00013377445858
kitty,0.000599603131481
none,4.18447536464e-05
spoon,0.000275789114802
buttocks/bottom*,0.000153602434154
every,0.000162743903413
fall,0.000439434289831
cook,0.000198151002652
bubbles,0.000144975977249
wipe,0.000146521014307
school,0.000708141984786
tricycle,1.69954076349e-05
tear,5.35612846674e-05
button,0.000224159126457
brother,0.000171370360318
gum,5.72951242236e-05
woods,8.3818260381e-05
crayon,0.00018579070619
sidewalk,1.72529138111e-05
bicycle,0.000143688446367
tired,0.00029947968302
boots,9.01271617e-05
jump,0.000385229239723
go,0.00901786629352
street,0.000141885903133
pour,0.000146778520483
spaghetti,6.38615317188e-05
blue,0.000546170599902
chalk,2.17592718961e-05
what,0.0200474995893
hide,0.000194545916184
clock,8.72945937608e-05
sun,0.000176134224579
applesauce,2.36905682183e-05
above,3.64371239444e-05
new,0.000503810833903
nurse,6.83678898038e-05
bird,0.000443168129388
full,0.000140469619164
leg,0.000227764212925
here,0.00754248465649
snack,9.36034950798e-05
them,0.00208760257115
sink,5.80676427524e-05
pancake,7.14579639193e-05
hers,0.0021412926089
sing,0.000357161066508
teacher,0.000145748495778
wait,0.00098650616135
box,0.00060732831677
boy,0.00118620220106
my,0.00326994217956
pick,0.00054771563696
popcorn,2.98707164491e-05
climb,0.000151671137832
pillow,9.56635444901e-05
shovel,4.12009882057e-05
love,0.000563423513713
apple,0.000343126979901
duck,0.000335273041524
hamburger,5.16299883453e-05
cloud,5.52350748133e-05
eye,0.000444198154093
would,0.00168241660276
alligator,4.84111611417e-05
sweater,4.90549265824e-05
frog,0.000149482335334
throw,0.000480377771861
splash,5.74238773117e-05
teddybear,0.000111886433596
black,0.000230210521599
today,0.000816809591178
more,0.00196554464359
pencil,0.000128109322702
door,0.000463639870402
porch,1.41628396957e-05
sister,0.000176262977668
hurt,0.000437116734245
downtown,6.95266675971e-06
flag,2.29180496894e-05
train,0.000404928462209
stick,0.000298192152139
baby,0.00201575834796
hold,0.000725523651685
me,0.00548668409812
peekaboo,0.000168795298555
room,0.00053934668623
this,0.00979077108164
car,0.0011097228667
ride,0.00041316865985
pretend,0.000294715818759
roof,5.07287167283e-05
cat,0.000602564452508
thank you,0.000638229057924
donut,1.13302717566e-05
about,0.00205296799044
potato chip,6.28315070137e-05
pickle,6.27027539256e-05
pony,4.67373709958e-05
thirsty,6.15439761323e-05
give,0.00127465557261
share,9.75948408123e-05
soup,0.000118710347268
high,0.000162357644148
drawer,6.24452477493e-05
chin,3.61796177681e-05
airplane,0.000240253262475
dress,0.000238836978505
lamb,6.308901319e-05
sit,0.00136735779608
nuts,6.56640749528e-05
write,0.000476643932305
how,0.00351560307174
lamp,1.99567286621e-05
animal,0.000432224116895
elephant,0.000369135103705
wolf,4.85399142298e-05
chase,5.36900377556e-05
beach,0.000105320026101
pizza,6.95266675971e-05
plant,8.99984086118e-05
sandwich,0.000111242668155
farm,9.25734703747e-05
ladder,5.17587414334e-05
after,0.000493768093028
mad,9.57922975783e-05
daddy*,0.000437631746597
backyard,1.48066051364e-05
man,0.000464669895107
a,0.0221500375186
light,0.000351753436806
sandbox,2.09867533673e-05
so,0.00342405962607
basket,0.000106350050806
