item,frequency
плохой,0.000339527131304
кран,0.000216062719921
творог,3.08661028459e-05
нос,0.000339527131304
краски,6.17322056917e-05
небо,0.000185196617075
книга,0.00302487807889
медведь,0.00052472374838
крокодил,0.000308661028459
пол,0.00052472374838
подруга,1.54330514229e-05
шапка,0.000555589851225
и,0.0127785665782
сапоги,0.000123464411383
под,0.00010803135996
летать/лететь,0.000709920365455
рисовать,0.000709920365455
парк,0.000154330514229
сюда,0.00192913142787
шарик,0.000154330514229
бросать,0.000586455954071
настоящий,0.000185196617075
штаны,0.000740786468301
человек,0.000246928822767
вкусный,0.000154330514229
ломать,0.000432125439842
друг,0.000385826285573
корзина,0.000308661028459
оттуда,3.08661028459e-05
соска,0.000123464411383
палка,0.000123464411383
плакать,0.000771652571146
смотреть,0.00848817828261
чистить,0.000154330514229
огурец,0.000154330514229
куртка,0.000154330514229
кефир,3.08661028459e-05
идти/пойти,0.00382739675289
живот,9.25983085376e-05
грязно,3.08661028459e-05
голый,6.17322056917e-05
открыть,0.000771652571146
волосы,0.000493857645534
зеленый,0.00052472374838
нам,0.000709920365455
много,0.00151243903945
гараж,0.000216062719921
любить,0.00185196617075
грязный,0.000802518673992
гвоздь,3.08661028459e-05
воробей,0.000246928822767
несколько,3.08661028459e-05
на (возьми),0.00512377307241
спасибо,0.000154330514229
тик-так,6.17322056917e-05
куда?,0.00172850175937
у,0.00705290450028
ту-ту/чух-чух,9.25983085376e-05
залезть,0.000246928822767
чистый,0.000432125439842
одевать,0.000493857645534
я,0.0105253410704
таз,0.000123464411383
обезьяна,0.00191369837644
горка,0.000123464411383
там,0.00398172726712
наш,0.000493857645534
тигр,9.25983085376e-05
подушка,3.08661028459e-05
четыре,9.25983085376e-05
кукла,0.000617322056917
сахар,6.17322056917e-05
мясо,9.25983085376e-05
мне,0.00189312097455
кукуруза,0.000154330514229
язык,9.25983085376e-05
что,0.0226402864374
в (напр./в ведро),0.00608062226063
слон,0.000462991542688
громкий,9.25983085376e-05
холодный,0.000154330514229
тут,0.00216062719921
одеть,0.000493857645534
желтый,0.000740786468301
далеко,0.000308661028459
искать,0.000401259336996
мама,0.00435212050127
где,0.00348786962158
кислый,3.08661028459e-05
бусы,0.000216062719921
красный,0.00101858139391
памперс,0.000216062719921
строить,0.000432125439842
тапки,0.000123464411383
сильный,6.17322056917e-05
плита,0.000154330514229
полдник,6.17322056917e-05
кровать,0.00135810852522
вперед/впереди,6.17322056917e-05
двор,3.08661028459e-05
снег,3.08661028459e-05
нельзя,0.00151243903945
вечером,3.08661028459e-05
лекарство/таблетка,0.000169763565652
стоять,0.00175936786221
куст,0.000123464411383
санки,6.17322056917e-05
груша,9.25983085376e-05
прыгать,0.00037039323415
пылесос,3.08661028459e-05
подметать,3.08661028459e-05
муха,0.000308661028459
их,0.00123464411383
река,9.25983085376e-05
большой,0.0037039323415
паровоз,0.000308661028459
люди,3.08661028459e-05
ботинки,0.00111117970245
помидор,0.000185196617075
молоток,9.25983085376e-05
мяч,0.000555589851225
по,0.00117291190814
мазать,0.000462991542688
хлопать,0.000123464411383
говорить,0.00287054756466
корова,0.00037039323415
витамины,3.08661028459e-05
фрукт,0.000123464411383
когда?,0.00141984073091
варежки/рукавицы,6.17322056917e-05
колбаса,6.17322056917e-05
цыпленок,9.25983085376e-05
лестница,6.17322056917e-05
ягода,0.000123464411383
ножницы,0.000123464411383
падать,0.000216062719921
резать,0.000277794925613
скоро,0.000308661028459
один,0.00195999753071
варить,0.0010803135996
лоб,9.25983085376e-05
стучать/стучаться,0.000339527131304
пряник,6.17322056917e-05
маленький,0.0037039323415
лекарство,0.000154330514229
тряпка,0.000123464411383
вытирать,0.000308661028459
рот,0.000555589851225
рано,6.17322056917e-05
дверь,0.000277794925613
тук-тук,0.000154330514229
надо/нужно,0.00490771035249
ребенок,0.000401259336996
обед,0.000586455954071
красить,6.17322056917e-05
клей,0.000401259336996
голубь,3.08661028459e-05
вниз/внизу,6.17322056917e-05
смеяться,0.000123464411383
взять,0.00111117970245
вы,0.000277794925613
никак,3.08661028459e-05
какой,0.00412062472992
кофе,9.25983085376e-05
девочка,0.00250015433051
ложка,0.000648188159763
ждать,0.00089511698253
грибы,0.000277794925613
его,0.00268535094759
ведро,3.08661028459e-05
обнимать,9.25983085376e-05
длинный,3.08661028459e-05
жираф,9.25983085376e-05
кораблик,3.08661028459e-05
им,0.000185196617075
дети,0.000709920365455
из,0.0018828322736
палец,0.000586455954071
вставать,0.000555589851225
потом,0.00132724242237
рядом,0.000216062719921
кошелек,3.08661028459e-05
два,0.000941416136799
бутылочка,0.000925983085376
печенье,0.000617322056917
достать,0.000277794925613
вчера,0.000586455954071
рыба,0.00052472374838
улыбаться,9.25983085376e-05
купать/купаться,0.00101858139391
трава,0.000308661028459
чисто,6.17322056917e-05
горшок,0.00052472374838
вилка,0.000216062719921
чуть-чуть,0.000123464411383
апельсин,3.08661028459e-05
бумага,0.000462991542688
коляска,0.000740786468301
совсем,0.000802518673992
рыбка,0.00052472374838
масло,3.08661028459e-05
кушать,0.0011420458053
сад/садик,0.000123464411383
полотенце,0.000123464411383
каша,0.000432125439842
часы,0.000123464411383
больно,0.000617322056917
поросенок,0.00037039323415
писáть,0.000771652571146
мокрый,0.000246928822767
ванна,0.000339527131304
красивый,0.000864250879684
а-а-а,0.000154330514229
гости,0.00010803135996
береза,6.17322056917e-05
мороженое,0.000123464411383
хороший,0.000771652571146
ужин,3.08661028459e-05
к,0.000617322056917
помогать,0.000679054262609
собака,0.00388912895858
сейчас,0.00577196123217
гость,0.00010803135996
причесать/причесаться,0.00037039323415
машина,0.000956849188221
