item,frequency
oss,0.000352175686993
katt,0.0013356907153
ost,0.000160340150176
telefon,0.000133139588985
vill,0.00305791572121
gullig,0.000233352182845
andra,0.000725825501242
spik,6.01275563159e-05
häst,0.00179810025554
tv,5.72643393485e-06
där,0.0187912929572
öga,8.58965090227e-05
under,0.000355038903961
gör,0.00946865851127
vem,0.00307795823998
tröja,9.87809853761e-05
ta,0.00270001360028
dela,0.000137434414436
kasta,0.000131707980501
tanka,5.44011223811e-05
rädd,0.000551169266229
dagis,0.000130276372018
törstig,2.57689527068e-05
skinka,8.58965090227e-06
trappa,3.14953866417e-05
vass,4.29482545114e-05
nötter,2.0042518772e-05
din,0.00155759003028
choklad,0.00017751945198
tre,0.000370786597281
ge,0.000257689527068
börs,2.86321696742e-06
sand,0.000203288404687
kittla,5.72643393485e-06
golv,8.58965090227e-06
upp,0.00328554147012
bygga,0.000714372633372
jordgubbe,5.72643393485e-06
lärare,4.58114714788e-05
hitta,0.000645655426154
tittut,0.000130276372018
också,0.00462552701087
gå,0.00155902163876
farmor,5.72643393485e-06
bakom,0.000193267145301
någon,0.000146024065339
folk,7.15804241856e-06
hjul,0.000174656235013
försöka,0.00021617288104
nej,0.000608433605578
lampa,0.000110233853246
hår,0.00023907861678
välling,8.73281175064e-05
axel,1.71793018045e-05
måne,6.29907732833e-05
tå,3.72218205765e-05
ner,0.00171649857197
med,0.000173224626529
full,6.01275563159e-05
prata,0.000310659040965
kyrka,4.29482545114e-05
näsa,0.000153182107757
boll,0.000429482545114
hungrig,7.15804241856e-06
blöja,3.72218205765e-05
lera,1.43160848371e-05
mer,0.00167068710049
människor,7.15804241856e-05
pingvin,2.0042518772e-05
varenda,2.57689527068e-05
honom,0.0006943301146
pärlor,1.71793018045e-05
vänta,0.000635634166768
hälla,0.000476725625076
bassäng,7.4443641153e-05
röra,0.000125981546567
dra,0.000213309664073
ponny,4.86746884462e-05
tofflor,4.58114714788e-05
medicin,3.14953866417e-05
riva,1.71793018045e-05
vid,6.87172072182e-05
hennes,0.000734415152144
brr,2.86321696742e-06
bajsa,4.86746884462e-05
vit,0.000171793018045
bulle,0.000375081422733
apa,8.87597259901e-05
läsa,0.000757320887884
