WORD,BFRQ,CNC,FAM,IMG,NPHN,NSYL
A,5006,201,632,217,1,1
ABOUT,970,227,593,225,4,2
ABOVE,6,,607,346,4,2
AFTER,198,242,575,217,4,2
AIRPLANE,,,,,,2
ALL,1044,267,582,332,2,1
ALLIGATOR,,624,442,627,7,4
AM,45,259,603,247,2,1
AN,468,217,595,195,2,1
AND,5453,220,620,226,3,1
ANIMAL,,587,620,575,6,3
ANKLE,,608,543,613,4,2
ANOTHER,122,,,,5,3
ANT,,604,511,613,3,1
ANY,354,222,542,206,3,2
APPLE,3,620,598,637,,1
APPLE,3,620,598,637,3,2
ARE,816,195,564,262,1,1
ARM,3,592,608,593,2,1
AROUND,65,,,,5,2
ASLEEP,2,,,,5,2
AT,1031,194,615,225,,1
AUNT,6,564,554,567,3,1
AWAKE,1,,,,4,2
AWAY,85,257,573,272,3,2
BABY,10,589,597,608,4,2
BACK,221,540,587,483,3,1
BAD,64,308,592,388,3,1
BALL,1,615,575,622,3,1
BALLOON,,623,520,583,5,2
BANANA,2,633,576,644,6,3
BASEMENT,,585,522,571,,3
BASEMENT,,585,522,571,7,2
BASKET,2,606,485,560,6,2
BAT,1,564,514,586,3,1
BATH,3,600,599,601,3,1
BATHROOM,,,,,6,2
BATHTUB,,,,,,
BE,1119,225,613,274,2,1
BEACH,1,612,553,667,4,1
BEADS,,,,,,
BEANS,1,,,,,
BEAR,9,585,526,572,2,1
BECAUSE,616,196,604,244,5,2
BED,18,635,636,635,3,1
BEDROOM,7,615,646,629,6,2
BEE,1,597,554,623,2,1
BEFORE,179,261,583,255,4,2
BEHIND,20,,603,371,6,2
BELT,3,602,550,494,4,1
BENCH,,614,488,555,5,1
BESIDE,3,,,,5,2
BETTER,95,,633,274,4,2
BIB,,548,380,488,3,1
BICYCLE,1,,,,6,3
BIG,75,,640,463,3,1
BIRD,,602,592,614,3,1
BITE,1,509,593,553,3,1
BLACK,12,470,603,589,,1
BLANKET,3,622,563,582,7,2
BLOCK,7,558,544,483,4,1
BLOW,4,397,528,458,3,1
BLUE,7,459,593,569,3,1
BOAT,9,637,584,631,3,1
BOOK,108,609,643,591,3,1
BOOTS,,,,,3,1
BOTTLE,24,591,591,619,,1
BOTTLE,24,591,591,619,4,2
BOWL,2,575,557,579,3,1
BOX,15,597,599,591,4,1
BOY,15,609,606,618,2,1
BREAD,,622,611,619,4,1
BREAK,10,360,529,398,4,1
BREAKFAST,8,576,657,586,8,2
BRING,28,,,,4,1
BROKEN,4,383,576,469,6,2
BROOM,,613,547,608,4,1
BROTHER,10,585,598,589,5,2
BROWN,2,,,,4,1
BRUSH,,589,579,570,4,1
BUBBLES,,,,,,
BUCKET,,594,506,586,5,2
BUG,,,,,3,1
BUILD,4,402,554,399,4,1
BUMP,3,525,541,476,4,1
BUNNY,,,471,585,4,2
BUS,5,,,,3,1
BUT,1652,227,603,206,3,1
BUTTER,1,618,615,603,4,2
BUTTERFLY,,593,481,624,7,3
BUTTOCKS,,,,,,
BUTTON,2,613,573,580,4,2
BUY,38,370,575,397,2,1
BY,338,208,598,229,2,1
BYE,10,,,,2,1
CAKE,2,624,594,624,3,1
CALL,48,389,599,424,3,1
CAMERA,2,627,550,576,6,3
CAMPING,3,,,,,2
CAN,501,365,620,369,3,1
CANDY,,602,559,601,5,2
CAR,29,622,634,638,2,1
CAREFUL,7,,605,346,,3
CARROTS,,,,,,
CARRY,11,364,554,393,4,2
CAT,,615,582,617,3,1
CATCH,3,,,,4,1
CEREAL,,637,543,576,6,2
CHAIR,10,606,617,610,3,1
CHALK,,634,560,601,4,1
CHASE,,,,,4,1
CHEEK,,565,533,561,4,1
CHEESE,1,624,588,592,,1
CHICKEN,,614,544,619,6,2
CHILD,22,581,585,619,5,1
CHIN,,592,545,608,4,1
CHOCOLATE,1,576,560,611,8,3
CHURCH,10,587,560,616,5,1
CIRCUS,,535,489,586,5,2
CLAP,,,,,4,1
CLEAN,2,392,610,454,4,1
CLIMB,1,,,,4,1
CLOCK,,591,608,614,4,1
CLOSE,18,391,587,420,4,1
CLOSET,3,599,540,525,6,2
CLOUD,,554,553,595,4,1
CLOWN,,627,511,589,4,1
COAT,5,601,610,572,3,1
COCKADOODLEDOO,,,,,,5
COFFEE,44,613,625,618,4,2
COKE,,580,585,623,3,1
COLD,32,457,626,531,4,1
COMB,,,,,3,1
COOK,1,502,568,504,3,1
COOKIE,,634,585,600,,2
CORN,,576,548,601,3,1
COUCH,,578,521,536,4,1
COULD,322,,622,210,3,1
COUNTRY,50,465,592,539,6,2
COVER,9,502,597,443,4,2
COW,1,621,529,632,2,1
COWBOY,,,521,,4,2
CRACKER,,,,,5,2
CRAYON,,,,,,1
CRAYON,,,,,5,2
CRIB,1,,,,4,1
CRY,,436,566,478,3,1
