word,word_count,mean_sent_length,final_count,solo_count
fordi,31.0,7.58064516129,1.0,1.0
laaaaang,1.0,25.0,0.0,0.0
stengt,19.0,6.57894736842,9.0,0.0
Harald,2.0,1.5,1.0,1.0
sushiris,1.0,7.0,1.0,0.0
elve,3.0,11.0,1.0,0.0
stenge,1.0,4.0,1.0,0.0
gidder,1.0,28.0,0.0,0.0
mimimimi,1.0,1.0,1.0,1.0
bieleke,1.0,5.0,1.0,0.0
øre,14.0,7.5,5.0,2.0
lort,1.0,6.0,1.0,0.0
bobobobobob,2.0,1.0,2.0,2.0
piggen,1.0,1.0,1.0,1.0
taustige,1.0,3.0,1.0,0.0
svingen,3.0,3.66666666667,3.0,0.0
dela,1.0,10.0,0.0,0.0
dele,13.0,6.0,3.0,0.0
regle,2.0,5.0,1.0,0.0
deln,2.0,9.0,0.0,0.0
ekje,87.0,8.08045977011,3.0,0.0
delt,3.0,8.0,0.0,0.0
spisebordet,1.0,20.0,1.0,0.0
apekattn,4.0,3.5,2.0,0.0
dyreparken,3.0,8.0,1.0,0.0
gråspurv,1.0,3.0,1.0,0.0
oooo,9.0,2.11111111111,7.0,6.0
tatatatatata,1.0,1.0,1.0,1.0
oooi,1.0,2.0,0.0,0.0
inus,1.0,2.0,1.0,0.0
ooog,1.0,4.0,0.0,0.0
tegnebrilla,1.0,4.0,1.0,0.0
laaaaangt,1.0,5.0,0.0,0.0
smultring,1.0,1.0,1.0,1.0
noensinne,1.0,9.0,0.0,0.0
mannemann,1.0,9.0,0.0,0.0
regelen,1.0,2.0,1.0,0.0
fornufti,1.0,24.0,0.0,0.0
lystige,2.0,6.0,0.0,0.0
Fosen,1.0,1.0,1.0,1.0
elva,23.0,6.0,17.0,2.0
tøysegråting,1.0,5.0,1.0,0.0
farmor,1.0,1.0,1.0,1.0
glassa,2.0,7.5,0.0,0.0
sukre,4.0,6.75,4.0,0.0
glasse,50.0,6.68,28.0,2.0
heldig,1.0,2.0,0.0,0.0
skjønner,15.0,10.8666666667,0.0,0.0
rabarbasuppe,1.0,2.0,1.0,0.0
centimeter,2.0,18.0,1.0,0.0
slikt,1.0,29.0,0.0,0.0
vil'n,1.0,7.0,0.0,0.0
skinkekjøtt,1.0,7.0,0.0,0.0
fingern,38.0,6.07894736842,12.0,0.0
jevne,1.0,6.0,0.0,0.0
melkesjokolade,3.0,2.66666666667,2.0,2.0
nomann,2.0,4.0,1.0,0.0
lillefingern,5.0,4.8,4.0,1.0
herk,1.0,10.0,0.0,0.0
ingri,13.0,3.30769230769,4.0,2.0
dors,1.0,4.0,0.0,0.0
dorr,7.0,4.57142857143,2.0,0.0
alpene,4.0,13.0,0.0,0.0
lekegrinda,1.0,5.0,1.0,0.0
ødlagt,17.0,8.29411764706,9.0,0.0
herr,1.0,10.0,0.0,0.0
pexxx,1.0,1.0,1.0,1.0
bâlln,20.0,7.7,3.0,1.0
neeeeiii,1.0,1.0,1.0,1.0
regntøy,1.0,7.0,0.0,0.0
telysjakta,1.0,4.0,0.0,0.0
sløfye,1.0,4.0,1.0,0.0
k,16.0,5.75,12.0,1.0
borettslage,1.0,10.0,0.0,0.0
ååææblink,1.0,1.0,1.0,1.0
fiiir,1.0,1.0,1.0,1.0
snekkera,1.0,15.0,0.0,0.0
brannmânn,2.0,3.0,2.0,0.0
norsk,4.0,3.25,2.0,1.0
sovesangen,1.0,6.0,0.0,0.0
kanel,32.0,5.90625,16.0,6.0
øra,6.0,8.5,4.0,0.0
snekkern,23.0,7.91304347826,0.0,0.0
sterk,24.0,7.54166666667,10.0,0.0
barne-tvn,1.0,7.0,0.0,0.0
flyplassen,7.0,7.57142857143,6.0,0.0
ta'n,2.0,7.0,0.0,0.0
eplejoggert,1.0,1.0,1.0,1.0
dne,1.0,6.0,0.0,0.0
tånn,48.0,3.4375,34.0,13.0
ettepå,1.0,8.0,1.0,0.0
batteripakken,1.0,6.0,1.0,0.0
Karius,199.0,6.76381909548,11.0,2.0
skjorta,2.0,5.5,0.0,0.0
behovsprøvd,1.0,11.0,1.0,0.0
