word,word_count,mean_sent_length,final_count,solo_count
Pampú,2.0,7.5,0.0,0.0
estona,1.0,2.0,1.0,0.0
dejábamos,2.0,7.0,0.0,0.0
trotar,1.0,4.0,0.0,0.0
praza,4.0,9.0,4.0,0.0
montarnos,1.0,24.0,1.0,0.0
igual,477.0,7.11320754717,179.0,18.0
ciudades,2.0,8.0,0.0,0.0
tía,222.0,6.90990990991,86.0,3.0
hermana,270.0,9.97777777778,89.0,0.0
trotan,6.0,11.3333333333,2.0,0.0
hermano,333.0,9.35735735736,121.0,0.0
tío,208.0,6.48076923077,69.0,15.0
jeriniguillita,2.0,11.0,0.0,0.0
Valle,2.0,3.0,0.0,0.0
llanaa,2.0,5.0,2.0,0.0
menos+cuarto,2.0,4.0,0.0,0.0
ijoles,1.0,7.0,0.0,0.0
cachorritos,4.0,4.0,4.0,0.0
no+o+o+o,1.0,1.0,1.0,1.0
guardámelos,1.0,4.0,0.0,0.0
Cocinas,1.0,5.0,0.0,0.0
dóeche,2.0,2.0,2.0,0.0
caramelo,124.0,5.16935483871,75.0,4.0
fuera,284.0,7.21830985915,109.0,11.0
patinete,22.0,4.27272727273,17.0,0.0
entretenidos,1.0,14.0,0.0,0.0
conexiño,4.0,5.25,2.0,0.0
helba,2.0,3.0,2.0,0.0
guardados,6.0,5.66666666667,4.0,0.0
catarrín,3.0,7.0,3.0,0.0
chiquitinas,3.0,10.0,1.0,0.0
apelidos,2.0,4.0,2.0,0.0
dáselos,1.0,1.0,1.0,1.0
espumita,2.0,3.0,2.0,0.0
china,12.0,6.08333333333,6.0,0.0
sillón,19.0,10.2631578947,5.0,0.0
chino,57.0,6.29824561404,17.0,0.0
Piedad,1.0,23.0,0.0,0.0
acertar,19.0,7.78947368421,1.0,0.0
pódenos,4.0,10.0,0.0,0.0
volador,3.0,7.0,3.0,0.0
pintó,59.0,6.27118644068,15.0,2.0
frótalas,1.0,1.0,1.0,1.0
rrrrr,3.0,6.66666666667,3.0,1.0
pintá,25.0,4.72,9.0,0.0
pinté,21.0,6.57142857143,7.0,0.0
enfermito,14.0,6.42857142857,6.0,0.0
Luismi,7.0,1.71428571429,7.0,4.0
enfermita,12.0,6.25,9.0,0.0
sacapuntes,1.0,7.0,0.0,0.0
bandereira,2.0,3.0,2.0,0.0
Canarias,9.0,7.55555555556,3.0,0.0
destruir,1.0,79.0,0.0,0.0
orinalito,4.0,4.0,2.0,0.0
dijió,1.0,6.0,0.0,0.0
busca,186.0,5.95161290323,21.0,4.0
Colombia,11.0,4.27272727273,9.0,0.0
Euro,2.0,9.0,0.0,0.0
yupijei,2.0,10.0,2.0,0.0
La,54.0,6.40740740741,0.0,0.0
Li,4.0,3.0,4.0,2.0
pinte,17.0,5.11764705882,9.0,0.0
etiqueta,10.0,6.4,4.0,0.0
Lu,380.0,3.6,380.0,16.0
vistiendo,1.0,4.0,0.0,0.0
absoluto,2.0,14.0,0.0,0.0
want,10.0,7.5,0.0,0.0
absoluta,4.0,9.25,0.0,0.0
sígueme,4.0,7.75,0.0,0.0
saturday,1.0,4.0,0.0,0.0
separalo,1.0,1.0,1.0,1.0
perrocalientes,1.0,1.0,1.0,1.0
busco,24.0,7.20833333333,5.0,0.0
fosen,2.0,11.0,0.0,0.0
aprendió,9.0,5.33333333333,0.0,0.0
caldo,15.0,3.53333333333,13.0,2.0
anotado,3.0,10.0,0.0,0.0
dictado,9.0,8.44444444444,6.0,0.0
añito,5.0,4.8,4.0,0.0
ordenar,6.0,7.16666666667,0.0,0.0
ordenas,1.0,17.0,0.0,0.0
seda,17.0,7.82352941176,10.0,0.0
crecía,4.0,12.5,0.0,0.0
sería,27.0,9.7037037037,2.0,0.0
remolinos,1.0,10.0,0.0,0.0
rompen,30.0,6.3,12.0,0.0
bailaste,4.0,3.0,1.0,0.0
amaya,1.0,15.0,0.0,0.0
muesca,2.0,3.0,2.0,0.0
tuburones,2.0,7.0,2.0,0.0
rompeu,19.0,6.78947368421,7.0,1.0
rompes,47.0,7.14893617021,24.0,0.0
romper,191.0,10.6178010471,88.0,0.0
Willy,5.0,5.0,3.0,1.0
cerrada,51.0,7.1568627451,30.0,1.0
compuesta,1.0,11.0,0.0,0.0
squites,2.0,4.0,2.0,0.0
consiéndo,2.0,9.0,0.0,0.0
cerrado,40.0,5.275,23.0,0.0
expaxial,6.0,5.66666666667,2.0,0.0
nuevecitos,1.0,1.0,1.0,1.0
uop,1.0,3.0,0.0,0.0
La_Sirentia,2.0,4.0,2.0,0.0
fit,3.0,18.6666666667,0.0,0.0
fiu,5.0,2.8,4.0,4.0
fix,3.0,7.66666666667,0.0,0.0
