word,word_count,mean_sent_length,final_count,solo_count
Andreas,110.0,8.52727272727,18.0,0.0
nallen,83.0,5.02409638554,47.0,6.0
gnaga,4.0,10.5,0.0,0.0
åran,14.0,7.85714285714,10.0,0.0
ovan+på,34.0,7.29411764706,6.0,0.0
påsk+elden,2.0,4.0,0.0,0.0
läske+dryck,2.0,7.0,0.0,0.0
elva,4.0,2.0,4.0,2.0
nalles,6.0,4.0,0.0,0.0
ligg+sitta,2.0,6.0,0.0,0.0
piggen,2.0,7.0,0.0,0.0
albumet,6.0,10.3333333333,0.0,0.0
såg+spån,10.0,3.8,6.0,4.0
fiske+bil,2.0,6.0,0.0,0.0
dela,58.0,7.72413793103,2.0,0.0
under+lägget,6.0,8.66666666667,0.0,0.0
volymen,2.0,1.0,2.0,2.0
far+bor,4.0,10.0,0.0,0.0
fantastist,4.0,4.5,2.0,2.0
sov+säck,2.0,4.0,2.0,0.0
oooj,2.0,6.0,0.0,0.0
ögat,85.0,6.42352941176,54.0,8.0
flyr,2.0,5.0,2.0,0.0
bogserade,2.0,24.0,0.0,0.0
strålar,2.0,5.0,2.0,0.0
sätter,298.0,8.19463087248,2.0,2.0
sättet,6.0,10.0,4.0,0.0
sport+bil,6.0,8.0,4.0,2.0
skölja,10.0,9.8,2.0,0.0
Max,150.0,5.81333333333,34.0,4.0
närmre,16.0,9.625,0.0,0.0
puzzel+biten,2.0,3.0,0.0,0.0
jojomensan,4.0,1.0,4.0,4.0
upprörd,4.0,3.5,4.0,0.0
Tinna,2.0,3.0,2.0,0.0
barn+stol,10.0,9.2,10.0,0.0
kamma,52.0,5.53846153846,4.0,0.0
baby+gröt,2.0,7.0,0.0,0.0
mystjej,1.0,7.0,0.0,0.0
gotte+gris,6.0,4.0,4.0,0.0
kaffe+kokaren,2.0,6.0,0.0,0.0
aja,18.0,3.22222222222,12.0,6.0
suga,12.0,6.66666666667,4.0,0.0
skjöljt,2.0,11.0,0.0,0.0
ankerna,4.0,6.0,2.0,0.0
kröp,2.0,4.0,2.0,0.0
herr,10.0,5.2,2.0,2.0
skjölja,2.0,10.0,0.0,0.0
javisst,54.0,2.59259259259,42.0,42.0
glömde,30.0,5.0,0.0,0.0
spotta,22.0,5.09090909091,2.0,0.0
tåddit,2.0,3.0,0.0,0.0
Piff,4.0,5.0,0.0,0.0
väder+kvarnen,14.0,7.14285714286,4.0,0.0
