word,subjCode,infinitiveForm,conjugatedForm,task,rating,english,lexicalCategory,X30mos,phonemes,morphemes,logFreq
1,con17,a,a,conjugated,0,at,function,75.4,1,1,5.7241931
1,con18,a,a,conjugated,5,at,function,75.4,1,1,5.7241931
1,con19,a,a,conjugated,-2,at,function,75.4,1,1,5.7241931
1,con29,a,a,conjugated,2,at,function,75.4,1,1,5.7241931
1,con28,a,a,conjugated,2,at,function,75.4,1,1,5.7241931
1,con45,a,a,conjugated,3,at,function,75.4,1,1,5.7241931
1,con10,a,a,conjugated,-5,at,function,75.4,1,1,5.7241931
1,con30,a,a,conjugated,0,at,function,75.4,1,1,5.7241931
1,con43,a,a,conjugated,-5,at,function,75.4,1,1,5.7241931
1,con54,a,a,conjugated,0,at,function,75.4,1,1,5.7241931
2,con71,abeja,abeja,conjugated,4,bee,noun,49.2,5,1,2.442479769
2,con52,abeja,abeja,conjugated,5,bee,noun,49.2,5,1,2.442479769
2,con26,abeja,abeja,conjugated,1,bee,noun,49.2,5,1,2.442479769
2,con66,abeja,abeja,conjugated,0,bee,noun,49.2,5,1,2.442479769
2,con61,abeja,abeja,conjugated,1,bee,noun,49.2,5,1,2.442479769
2,con56,abeja,abeja,conjugated,1,bee,noun,49.2,5,1,2.442479769
2,con68,abeja,abeja,conjugated,1,bee,noun,49.2,5,1,2.442479769
2,con39,abeja,abeja,conjugated,0,bee,noun,49.2,5,1,2.442479769
2,con65,abeja,abeja,conjugated,1,bee,noun,49.2,5,1,2.442479769
2,con57,abeja,abeja,conjugated,-4,bee,noun,49.2,5,1,2.442479769
2,con67,abeja,abeja,conjugated,3,bee,noun,49.2,5,1,2.442479769
2,con70,abeja,abeja,conjugated,2,bee,noun,49.2,5,1,2.442479769
2,con72,abeja,abeja,conjugated,1,bee,noun,49.2,5,1,2.442479769
2,con69,abeja,abeja,conjugated,0,bee,noun,49.2,5,1,2.442479769
2,con51,abeja,abeja,conjugated,0,bee,noun,49.2,5,1,2.442479769
2,con8,abeja,abeja,conjugated,3,bee,noun,49.2,5,1,2.442479769
3,con0,abrir,abre,conjugated,-2,open,verb,80,5,1,3.802773725
