"uni_lemma","word","iconicity","babiness"
"baa baa","baa",19.5952,5.6875
"choo choo","choo-choo",27.3514,8.45455
"cockadoodledoo","cockadoodledoo",18.2683,2.91667
"grrr","grr",22.8947,3.25
"meow","meow",14.7714,1.81818
"moo","moo",19.2619,4.07692
"ouch","ouch",16.2857,5.25
"quack quack","quack",20,2.5
"uh oh","uh oh",17.4167,7.08333
"vroom","vroom",26.6857,5.5
"woof woof","woof",24.561,2.7
"yum yum","yum",25,4.33333
"animal","animal",12.3947,4.88889
"bear","bear",10.3333,4.8
"bee","bee",18.0303,1.8
"bird","bird",14.0541,2.375
"bug","bug",19.5897,3.07692
"bunny","bunny",12.6053,2.8
"butterfly","butterfly",NA,NA
"cat","cat",12.8684,2
"chicken (animal)","chicken (animal)",NA,NA
"cow","cow",18.1176,2.2
"deer","deer",13.9556,2.07143
"dog","dog",10.0857,3.1
"donkey","donkey",9.70455,1
"duck","duck",13.5405,4.1
"elephant","elephant",8.33333,2.81818
"fish (animal)","fish (animal)",NA,NA
"frog","frog",12.9091,2.90909
"giraffe","giraffe",8.41818,4.5
"goose","goose",7.78378,3.41667
"horse","horse",12.6875,2
"kitty","kitty",22.2619,4.1
"lamb","lamb",8.32353,5
"lion","lion",14.2683,2.25
"monkey","monkey",7.31429,2.23077
"mouse","mouse",14.45,1.81818
"owl","owl",12.3056,2.41667
"penguin","penguin",5.81081,1.3
"pig","pig",14.4722,1.41667
"pony","pony",14.8293,3
"puppy","puppy",13.2973,4.25
"sheep","sheep",15,3.4
"squirrel","squirrel",9.78571,1.5
"teddybear","toy",10.9062,8.26667
"tiger","tiger",14.4118,2
"turkey","turkey",16.0652,2.63636
"turtle","turtle",6.44737,2.08333
"airplane","airplane",NA,NA
"bicycle","bicycle",NA,NA
"bus","bus",6.52632,2.28571
"car","car",9.97297,2.08333
"firetruck","truck",12.1389,3.18182
"motorcycle","motorcycle",NA,NA
"stroller","stroller",18.381,8.53846
"train","train",10.0526,3.54545
"truck","truck",12.1389,3.18182
"ball","ball",17.5882,6
"balloon","balloon",12.2162,6.54545
"block","block",10.9118,4.47368
