item,count
,40760
fawn,17
hoppity_hors,1
auggi,1
woodi,107
foun,12
poplar,1
foul,8
interchang,3
four,3904
wannau,1
uhptuh,1
cherrio,3
nuires,2
cyprus,1
bengi,1
lalalalalalala,1
yobabi,16
chatter,14
clowini,1
scold,23
iguan,2
gab,23
nealea,1
remco_babi,1
sputter,9
meanchi,2
vann,5
newli,1
codein,3
r_c_a,1
callin,58
chlorophyl,2
aweee,1
diesha,1
ieyayi,1
whooboobooboo,1
dreene,1
fantas,1
crackin,3
bumbabumbabumbabum,1
ignit,2
mothra,13
elvi,20
disturb,49
diwentca,1
squeaksqueak,1
unstitch,1
fous,1
wooden,111
showcas,2
wednesday,435
ruffruff,3
crotch,2
jujuga,1
unpronounc,1
cheeto,18
suzann,22
doesn',1
p_m,3
p_j,2
mr_mwww,1
achusett,1
p_g,2
frederick,61
the_easter_bunny_los,1
duhdi,1
sooth,2
sooti,1
valiant,1
melvin,6
p_r,1
chatty_baby_broth,3
bicyc,3
dialogu,2
kebump,1
dankner,4
thunder,94
fossit,1
fossil,25
roddi,4
dooin,2
teecur,1
poo_poo,3
superduck,4
crouch,5
googeyagayagagog,1
aten,7
whiteish,1
evilin,2
dieffenbachia,2
china,63
chini,3
henriette_the_teacup,1
di_di_di_di_di_di_di_di_di,1
maukey,4
k,536
spotti,14
pastur,20
kidd,1
bregg,1
karin,5
carn,1
pullin,67
karic,1
climber,24
controversi,2
golden,96
chanterell,1
propad,1
orangish,4
garter,2
cranium,2
sterl,3
stern,5
symphoni,9
aliza,7
umuma,1
prospector,2
music,945
com'er,41
strike,72
magdelen,1
yiyiyiyiyi,2
nebul,1
jimson,1
excu,3
paperwork,2
smolay,1
blabbermouth,1
big_and_small_short_and_tal,2
hawuba,1
notif,1
eeau,1
yahoo,11
notic,364
eeai,1
eeah,3
missus_c,1
aunt_matilda,1
missus_k,1
rancor,5
unpack,22
benedryl,1
taisha,3
exci,1
listenin,33
offirson,1
whea,1
samtha,1
phant,1
kaplonk,3
locker,27
locket,5
dadadaeda,1
lockey,3
plunger,5
zazzer,3
matilda,15
mrs_twww,1
omelett,19
kaboomp,10
wand,76
wane,1
wizards_world,2
wank,9
i_d,4
wann,11
swivel,3
ballgam,6
book_boy,6
pooper,15
caution,3
pinta,1
want,44346
wanu,1
i_v,7
pinto,5
kaboomi,1
eatsa,2
dannor,1
indivis,4
getchoo,2
honelli,1
inderneath,1
importantest,1
getchou,2
playback,2
getchor,2
zum_zum,1
dee_vee_bop,2
yickey,1
uhder,1
grandad,1
mufasa,53
wholewheat,5
birdcag,2
saling,2
fahleeceeahno,1
sede,1
wrong,1825
lololo,1
endang,4
okiedoki,1
dadadadadumdadumda,1
prodig,2
micromet,1
du_du_du_du_du_di_du_du_du_dut_du,1
ginsberg,5
wiski,1
vicin,1
sylvain,2
magnegit,1
tulip,56
yunna,1
buzzi,8
gugah,3
romper,4
toorale,2
aglagla,3
grahmishmiar,1
fettuccin,1
hippopo,1
behi,2
roquefort,1
elani,1
abwuh,1
jordi,1
sunglo,1
fir,39
fis,3
aigʌ,1
fiv,1
fit,2415
unforeseen,1
fix,3286
roasti,1
wishi,5
fib,15
fanciest,2
fif,7
fig,21
fie,2
clinch,1
uoh,2
fin,96
easier,389
fil,1
dodedoded,1
foolin,34
aenine,1
slate,6
malous,1
mohra,1
lestervill,1
piggie_blank,1
velcro,24
interrupt,36
sixteen,167
betchyou,1
drydri,6
scholar,5
ummhm,360
broiler,3
arrog,2
lillian,10
eww,1
cwash,1
barton,1
