"a lot","lot",,,,,
"airplane","plane","air plane",,,,
"backyard","back yard","yard",,,,
"bathroom","bath room",,,,,
"bathtub","tub","bath tub",,,,
"beads","bead",,,,,
"bedroom","bed room",,,,,
"bicycle","bike",,,,,
"boots","boot",,,,,
"bubbles","bubble",,,,,
"buttocks","butt","bottom","fanny","tush",,
"carrots","carrot",,,,,
"cheerios","cheerio",,,,,
"church","mosque","synagogue","temple",,,
"daddy","dad","dada","papa","father",,
"did","did",,,,,
"doll","dollie",,,,,
"don't","do not",,,,,
"firetruck","fire truck",,,,,
"go potty","pee","potty",,,,
"gonna","going",,,,,
"gotta","got",,,,,
"grandma","grandmother","granny","gramma","grammy",,
"grandpa","grandfather","granddad",,,,
"I","i",,,,,
"jeans","jean",,,,,
"keys","key",,,,,
"kitty","kitten",,,,,
"mommy","mom","mother","mama","mamamamommy","moma","momma"
"motorcycle","motorbike",,,,,
"movie","film",,,,,
"noodles","noodle",,,,,
"pajamas","pjs","pajama",,,,
"pattycake","patty cake",,,,,
"peas","pea",,,,,
"peekaboo","peek-a-boo",,,,,
"pig","piggy","piggie",,,,
"police","cop","policeman","officer",,,
"potato chip","chip",,,,,
"potty","toilet",,,,,
"refrigerator","fridge","frige",,,,
"scissors","scissor",,,,,
"soda","coke",,,,,
"sofa","couch",,,,,
"stairs","stair",,,,,
"teacher","teaching_lady",,,,,
"teddybear","teddy","teddy bear",,,,
"telephone","phone",,,,,
"thank you","thanks",,,,,
"tissue","napkin",,,,,
"toothbrush","tooth brush",,,,,
"tricycle","trike",,,,,
"tummy","stomach","belly",,,,
"TV","tv","television",,,,
"underpants","underwear","under pants",,,,
"vaccuum","vaccuum cleaner","hoover",,,,
"yucky","yuck",,,,,
