"а-а-а","aaa","aa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ав","av","gav",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ам-ам/ням-ням","am","mmm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"бух/бах/бам","bux","buxbax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"га-га","ga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"жж","zh","zhzhzh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кар","kar","karrr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ква","kva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ко-ко","ko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ля-ля-ля","lja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ме","me","mme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"му","mu","muu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"тик-так","tik","tiktak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"топ-топ","toptop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"тук-тук","tuk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ту-ту/чух-чух","chu","chox",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"уу","u","uuu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"фу","fu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"хрр/хрю","xrju",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"шш","sh","psht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"бабочка","babochek","babochekto","babochka","babochki","babochku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"бегемот","begemot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"белка","belka","belochka","belochki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"волк","volk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"воробей","vorobej","vorobushka","vorobyshek","vorobyshki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ворона","vorona","vorony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"голубь","golubi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"гусь","gusi","gusja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ёж","ezh","ezhik","ezhika","ezhiki","ezhikom","ezhikov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"жираф","zhiraf","zhirafy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"жук","zhuka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
