item,probability,frequency
onkel,0.000182912939629,0.000185904523351
katt,0.000129084428455,0.000132090056065
ost,0.000329761562866,0.000332671252312
telefon,0.00022206886278,0.00022504231774
gi,8.50661923269e-05,8.80600373766e-05
øre,6.55200993516e-05,6.84911401818e-05
seng,0.000173124746153,0.000176120074753
gakk gakk,0.0167509759987,4.8922242987e-06
glad,1.69253276517e-05,1.95688971948e-05
under,0.0167509759987,0.00052836022426
smile,0.0167509759987,1.95688971948e-05
ta,0.00288540950023,0.00288641233623
vask,0.000481523848824,0.000242165102786
kaste,0.0167509759987,0.000288641233623
gulrot,0.000109516557793,0.00011252115887
strand,7.51171072901e-06,9.7844485974e-06
liten,0.0167509759987,0.000684911401818
din,0.00195028665981,0.00195199749518
tre,0.000452149888524,0.000454976859779
eple,0.0167509759987,0.000166335626156
ekorn,0.000129084428455,0.000132090056065
oldemor,1.69253276517e-05,1.95688971948e-05
strømpebukse,0.0167509759987,2.93533457922e-05
hvem,0.000236753294473,0.000239718990636
gå,0.00187684778322,0.0018786141307
farmor,3.11189293624e-06,4.8922242987e-06
håndkle,0.0167509759987,9.7844485974e-06
hår,0.000618604431391,0.000621312485935
nei,0.011644246914,0.0116386016066
ned,0.000829124742365,0.000415839065389
melk,0.000574542517517,0.000577282467247
måne,0.0167509759987,6.35989158831e-05
tå,0.000153549706231,0.000156551177558
fugl,7.5290913814e-05,7.82755887792e-05
meg,0.000491315213249,0.000494114654169
tannbørste,0.0167509759987,9.29522616753e-05
søppel,4.6001712201e-05,4.8922242987e-05
mer,0.00205310111793,0.00205473420545
i dag,0.0167509759987,9.7844485974e-06
regntøy,3.11189293624e-06,4.8922242987e-06
dytte,0.0167509759987,0.000190796747649
pingvin,1.21695167615e-05,1.46766728961e-05
tv,0.000231858437605,0.000234826766338
bok,0.000966208946227,0.000968660411143
forsiktig,0.0167509759987,5.87066915844e-05
smokk,0.000178018794173,0.000181012299052
bolle,0.0167509759987,0.000273964560727
hennes,0.0167509759987,0.000146766728961
vil,0.00510326941986,0.00510258994354
redd,0.00026122817213,0.00026418011213
bra,0.000785062122754,0.000787648112091
middag,0.000471732505655,0.000474545756974
hvordan,8.01780886982e-05,8.31678130779e-05
frekk,3.14064997217e-05,3.42455700909e-05
jente,0.0167509759987,0.000479437981273
saks,1.21695167615e-05,1.46766728961e-05
medisin,1.21695167615e-05,1.46766728961e-05
glass,0.000408089396973,0.000410946841091
få,0.00213633189294,0.00213790201853
baby,8.01780886982e-05,8.31678130779e-05
snø,0.000266123251461,0.000269072336428
fly,0.000178018794173,0.000181012299052
der,0.0128241689069,0.0128176276626
det,0.010415365527,0.0104106533076
den,0.0172892680271,0.017279336223
skilpadde,0.0167509759987,7.33833644805e-05
klokke,0.0167509759987,0.000332671252312
kost,4.11303894644e-05,4.40300186883e-05
eske,0.0167509759987,2.93533457922e-05
kjøre,0.0167509759987,0.00114967271019
sjiraff,0.000173124746153,0.000176120074753
rydde,0.0167509759987,0.000146766728961
pizza,0.0167509759987,1.95688971948e-05
lam,5.08771806598e-05,5.38144672857e-05
mat,0.000946625450168,0.000474545756974
dyr,0.000368925103103,0.000371809046701
ovn,4.6001712201e-05,4.8922242987e-05
morfar,0.0167509759987,3.42455700909e-05
si,0.00243987956606,0.00244121992505
egg,0.000364029614471,0.000366916822402
se,0.00107391835139,0.00107628934571
vindu,0.000207384895307,0.000210365644844
hånd,4.6001712201e-05,4.8922242987e-05
varm,0.000432567373932,0.000435407962584
legge,0.0167509759987,0.000704480299013
alle,0.0167509759987,0.00153126620549
badekar,2.65593916663e-05,2.93533457922e-05
bææ,2.17289160288e-05,2.44611214935e-05
løve,0.0167509759987,0.000156551177558
blå,0.0004178805638,0.000420731289688
hvor,0.000271018361134,0.000273964560727
fin,0.000985792453056,0.000988229308337
morgen,0.0167509759987,1.95688971948e-05
dag,0.00313020626593,0.00313102355117
noe,0.000114408046231,0.000117413383169
bein,8.50661923269e-05,8.80600373766e-05
t-skjorte,0.0167509759987,2.93533457922e-05
sove,0.0167509759987,0.000523467999961
smekke,0.0167509759987,0.00022504231774
såpe,0.0167509759987,2.93533457922e-05
gaffel,7.5290913814e-05,7.82755887792e-05
denne,0.0167509759987,0.000469653532675
skjønn,0.00034934322327,0.000352240149506
slem,3.14064997217e-05,3.42455700909e-05
fisk,0.000246543133734,0.000249503439234
hard,0.000246543133734,0.000249503439234
!!!!!,0.0167509759987,0.0
banan,0.000412984976207,0.000415839065389
motorsykkel,9.48446520269e-05,9.7844485974e-05
rev,2.65593916663e-05,2.93533457922e-05
mate,0.0167509759987,0.000474545756974
ren,1.21695167615e-05,1.46766728961e-05
stue,7.51171072901e-06,9.7844485974e-06
ri,3.11189293624e-06,4.8922242987e-06
stjerner,0.0167509759987,4.8922242987e-06
gammel,0.000148656288497,0.00015165895326
brrr (bil-lyd),0.0167509759987,1.46766728961e-05
kniv,2.65593916663e-05,2.93533457922e-05
skje,1.69253276517e-05,1.95688971948e-05
ingen,0.0167509759987,0.000317994579415
dør,0.000501106597704,0.000503899102766
svømme,0.0167509759987,2.93533457922e-05
menneske,0.0167509759987,4.8922242987e-06
bite,0.0167509759987,0.000308210130818
tørr,5.57558288381e-05,5.87066915844e-05
potte,0.0167509759987,3.42455700909e-05
ikke,0.0167509759987,0.00851247027974
jeg,0.00439825413389,0.00439810964453
tom,9.97348022004e-05,0.000102736710273
tog,0.000133977084211,0.000136982280364
mjau,7.51171072901e-06,9.7844485974e-06
