item,probability,frequency
плохой,0.442156923267,0.000339527131304
кран,0.26529415396,0.000216062719921
творог,0.0884313846534,3.08661028459e-05
нос,0.442156923267,0.000339527131304
краски,0.0884313846534,6.17322056917e-05
небо,0.176862769307,0.000185196617075
книга,1.41490215445,0.00302487807889
медведь,0.353725538613,0.00052472374838
крокодил,0.442156923267,0.000308661028459
пол,0.26529415396,0.00052472374838
подруга,0.0884313846534,1.54330514229e-05
шапка,0.442156923267,0.000555589851225
и,0.176862769307,0.0127785665782
сапоги,0.0884313846534,0.000123464411383
под,0.0884313846534,0.00010803135996
летать/лететь,1.3264707698,0.000709920365455
рисовать,0.884313846534,0.000709920365455
парк,0.176862769307,0.000154330514229
сюда,0.176862769307,0.00192913142787
шарик,0.353725538613,0.000154330514229
бросать,0.707451077227,0.000586455954071
настоящий,0.26529415396,0.000185196617075
штаны,0.26529415396,0.000740786468301
человек,0.26529415396,0.000246928822767
вкусный,0.353725538613,0.000154330514229
ломать,0.884313846534,0.000432125439842
друг,0.707451077227,0.000385826285573
корзина,0.442156923267,0.000308661028459
оттуда,0.0884313846534,3.08661028459e-05
соска,0.176862769307,0.000123464411383
палка,0.353725538613,0.000123464411383
плакать,0.79588246188,0.000771652571146
смотреть,2.12235323168,0.00848817828261
чистить,0.353725538613,0.000154330514229
огурец,0.26529415396,0.000154330514229
куртка,0.176862769307,0.000154330514229
кефир,0.0884313846534,3.08661028459e-05
идти/пойти,2.6529415396,0.00382739675289
живот,0.176862769307,9.25983085376e-05
грязно,0.0884313846534,3.08661028459e-05
голый,0.176862769307,6.17322056917e-05
открыть,1.14960800049,0.000771652571146
волосы,0.442156923267,0.000493857645534
зеленый,1.3264707698,0.00052472374838
нам,0.176862769307,0.000709920365455
много,0.53058830792,0.00151243903945
гараж,0.176862769307,0.000216062719921
любить,0.707451077227,0.00185196617075
грязный,0.53058830792,0.000802518673992
гвоздь,0.0884313846534,3.08661028459e-05
воробей,0.353725538613,0.000246928822767
несколько,0.0884313846534,3.08661028459e-05
на (возьми),0.176862769307,0.00512377307241
спасибо,0.176862769307,0.000154330514229
тик-так,0.176862769307,6.17322056917e-05
куда?,0.26529415396,0.00172850175937
у,0.0884313846534,0.00705290450028
ту-ту/чух-чух,0.176862769307,9.25983085376e-05
залезть,0.619019692574,0.000246928822767
чистый,0.707451077227,0.000432125439842
одевать,1.41490215445,0.000493857645534
я,0.0884313846534,0.0105253410704
таз,0.353725538613,0.000123464411383
обезьяна,0.972745231187,0.00191369837644
горка,0.26529415396,0.000123464411383
там,0.0884313846534,0.00398172726712
наш,0.353725538613,0.000493857645534
тигр,0.26529415396,9.25983085376e-05
подушка,0.0884313846534,3.08661028459e-05
четыре,0.176862769307,9.25983085376e-05
кукла,0.972745231187,0.000617322056917
сахар,0.176862769307,6.17322056917e-05
мясо,0.176862769307,9.25983085376e-05
мне,0.176862769307,0.00189312097455
кукуруза,0.26529415396,0.000154330514229
язык,0.176862769307,9.25983085376e-05
что,0.0884313846534,0.0226402864374
в (напр./в ведро),0.0884313846534,0.00608062226063
слон,0.353725538613,0.000462991542688
громкий,0.0884313846534,9.25983085376e-05
холодный,0.176862769307,0.000154330514229
тут,0.176862769307,0.00216062719921
одеть,1.41490215445,0.000493857645534
желтый,1.06117661584,0.000740786468301
далеко,0.176862769307,0.000308661028459
искать,0.53058830792,0.000401259336996
мама,1.41490215445,0.00435212050127
где,0.176862769307,0.00348786962158
кислый,0.0884313846534,3.08661028459e-05
бусы,0.26529415396,0.000216062719921
красный,1.14960800049,0.00101858139391
памперс,0.26529415396,0.000216062719921
строить,1.06117661584,0.000432125439842
тапки,0.26529415396,0.000123464411383
сильный,0.176862769307,6.17322056917e-05
плита,0.0884313846534,0.000154330514229
полдник,0.0884313846534,6.17322056917e-05
кровать,0.707451077227,0.00135810852522
вперед/впереди,0.176862769307,6.17322056917e-05
двор,0.0884313846534,3.08661028459e-05
снег,0.0884313846534,3.08661028459e-05
нельзя,0.0884313846534,0.00151243903945
вечером,0.0884313846534,3.08661028459e-05
лекарство/таблетка,0.353725538613,0.000169763565652
стоять,0.707451077227,0.00175936786221
куст,0.26529415396,0.000123464411383
санки,0.176862769307,6.17322056917e-05
груша,0.176862769307,9.25983085376e-05
прыгать,0.79588246188,0.00037039323415
пылесос,0.0884313846534,3.08661028459e-05
подметать,0.0884313846534,3.08661028459e-05
муха,0.26529415396,0.000308661028459
их,0.0884313846534,0.00123464411383
река,0.176862769307,9.25983085376e-05
большой,1.23803938515,0.0037039323415
паровоз,0.26529415396,0.000308661028459
люди,0.0884313846534,3.08661028459e-05
ботинки,0.53058830792,0.00111117970245
помидор,0.26529415396,0.000185196617075
молоток,0.176862769307,9.25983085376e-05
мяч,0.353725538613,0.000555589851225
по,0.0884313846534,0.00117291190814
мазать,0.972745231187,0.000462991542688
хлопать,0.0884313846534,0.000123464411383
говорить,1.68019630841,0.00287054756466
корова,0.353725538613,0.00037039323415
витамины,0.0884313846534,3.08661028459e-05
фрукт,0.0884313846534,0.000123464411383
когда?,0.176862769307,0.00141984073091
варежки/рукавицы,0.176862769307,6.17322056917e-05
колбаса,0.176862769307,6.17322056917e-05
цыпленок,0.176862769307,9.25983085376e-05
лестница,0.176862769307,6.17322056917e-05
ягода,0.0884313846534,0.000123464411383
ножницы,0.176862769307,0.000123464411383
падать,0.53058830792,0.000216062719921
резать,0.53058830792,0.000277794925613
скоро,0.26529415396,0.000308661028459
один,0.884313846534,0.00195999753071
варить,0.972745231187,0.0010803135996
лоб,0.176862769307,9.25983085376e-05
стучать/стучаться,0.442156923267,0.000339527131304
пряник,0.176862769307,6.17322056917e-05
маленький,1.41490215445,0.0037039323415
лекарство,0.26529415396,0.000154330514229
тряпка,0.26529415396,0.000123464411383
вытирать,0.707451077227,0.000308661028459
рот,0.176862769307,0.000555589851225
рано,0.0884313846534,6.17322056917e-05
дверь,0.176862769307,0.000277794925613
тук-тук,0.0884313846534,0.000154330514229
надо/нужно,0.442156923267,0.00490771035249
ребенок,0.619019692574,0.000401259336996
обед,0.353725538613,0.000586455954071
красить,0.176862769307,6.17322056917e-05
клей,0.26529415396,0.000401259336996
голубь,0.0884313846534,3.08661028459e-05
вниз/внизу,0.176862769307,6.17322056917e-05
смеяться,0.176862769307,0.000123464411383
взять,0.707451077227,0.00111117970245
вы,0.0884313846534,0.000277794925613
никак,0.0884313846534,3.08661028459e-05
какой,1.3264707698,0.00412062472992
кофе,0.0884313846534,9.25983085376e-05
девочка,0.619019692574,0.00250015433051
ложка,0.972745231187,0.000648188159763
ждать,0.619019692574,0.00089511698253
грибы,0.353725538613,0.000277794925613
его,0.26529415396,0.00268535094759
ведро,0.0884313846534,3.08661028459e-05
обнимать,0.353725538613,9.25983085376e-05
длинный,0.0884313846534,3.08661028459e-05
жираф,0.176862769307,9.25983085376e-05
кораблик,0.0884313846534,3.08661028459e-05
им,0.0884313846534,0.000185196617075
дети,0.53058830792,0.000709920365455
!!!!!,0.0884313846534,0.0
из,0.26529415396,0.0018828322736
палец,0.53058830792,0.000586455954071
вставать,0.53058830792,0.000555589851225
потом,0.0884313846534,0.00132724242237
рядом,0.176862769307,0.000216062719921
кошелек,0.0884313846534,3.08661028459e-05
два,0.442156923267,0.000941416136799
бутылочка,0.707451077227,0.000925983085376
печенье,0.619019692574,0.000617322056917
достать,0.53058830792,0.000277794925613
вчера,0.0884313846534,0.000586455954071
рыба,0.707451077227,0.00052472374838
улыбаться,0.26529415396,9.25983085376e-05
купать/купаться,1.06117661584,0.00101858139391
трава,0.442156923267,0.000308661028459
чисто,0.0884313846534,6.17322056917e-05
горшок,0.353725538613,0.00052472374838
вилка,0.26529415396,0.000216062719921
чуть-чуть,0.176862769307,0.000123464411383
апельсин,0.0884313846534,3.08661028459e-05
бумага,0.353725538613,0.000462991542688
коляска,0.53058830792,0.000740786468301
совсем,0.176862769307,0.000802518673992
рыбка,0.707451077227,0.00052472374838
масло,0.0884313846534,3.08661028459e-05
кушать,1.06117661584,0.0011420458053
сад/садик,0.176862769307,0.000123464411383
полотенце,0.176862769307,0.000123464411383
каша,0.442156923267,0.000432125439842
часы,0.0884313846534,0.000123464411383
больно,0.0884313846534,0.000617322056917
поросенок,0.619019692574,0.00037039323415
писáть,0.972745231187,0.000771652571146
мокрый,0.353725538613,0.000246928822767
ванна,0.442156923267,0.000339527131304
красивый,0.707451077227,0.000864250879684
а-а-а,0.176862769307,0.000154330514229
гости,0.176862769307,0.00010803135996
береза,0.176862769307,6.17322056917e-05
мороженое,0.176862769307,0.000123464411383
хороший,0.442156923267,0.000771652571146
ужин,0.0884313846534,3.08661028459e-05
к,0.26529415396,0.000617322056917
помогать,0.884313846534,0.000679054262609
собака,1.59176492376,0.00388912895858
сейчас,0.26529415396,0.00577196123217
гость,0.176862769307,0.00010803135996
причесать/причесаться,0.79588246188,0.00037039323415
машина,0.619019692574,0.000956849188221
грузовик,0.0884313846534,3.08661028459e-05
ночь,0.176862769307,0.000216062719921
соленый,0.0884313846534,3.08661028459e-05
сумка,0.176862769307,9.25983085376e-05
устать,0.176862769307,0.000123464411383
ква,0.0884313846534,3.08661028459e-05
кричать,0.353725538613,0.000308661028459
отсюда,0.0884313846534,1.54330514229e-05
суп,0.353725538613,0.000740786468301
ля-ля-ля,0.0884313846534,3.08661028459e-05
ключи,0.353725538613,0.000123464411383
брать,0.53058830792,0.000324094079881
снимать,1.3264707698,0.0010803135996
ёж,0.53058830792,0.000555589851225
киви,0.0884313846534,3.08661028459e-05
платок,0.176862769307,6.17322056917e-05
телевизор,0.176862769307,9.25983085376e-05
лежать,0.707451077227,0.00135810852522
хлеб,0.0884313846534,0.000185196617075
бассейн,0.0884313846534,6.17322056917e-05
лягушка,0.53058830792,0.00101858139391
магазин,0.176862769307,0.000185196617075
молоко,0.176862769307,0.000432125439842
три,0.353725538613,0.000555589851225
тихо/тише,0.176862769307,0.000246928822767
сухой,0.353725538613,0.000123464411383
обнять,0.353725538613,9.25983085376e-05
на (напр./на столе),0.176862769307,0.00512377307241
спина,0.0884313846534,9.25983085376e-05
тебе/ты,0.53058830792,0.0152427104554
