item,probability,frequency
inte,0.000280595262808,0.0115244482939
stranden,0.000280595262808,6.58539902507e-05
häst,0.00179876720946,0.00179810025554
röd,0.000335986735418,0.000336427993672
gård,3.94345665552e-05,4.00850375439e-05
hus,0.00030876571115,0.000309227432482
katt,0.00133600665554,0.0013356907153
ost,0.00015976757329,0.000160340150176
telefon,0.000132547289017,0.000133139588985
tåg,0.000241429678958,0.000241941833747
ge,0.000257189144932,0.000257689527068
radio,1.91671445923e-06,1.43160848371e-05
andra,0.000280595262808,0.000725825501242
lamm,0.000176959478148,0.00017751945198
senare,0.000280595262808,0.00195700879723
haka,0.000280595262808,4.58114714788e-05
fågel,0.000245727712782,0.000246236659198
kanin,0.000477822953486,0.00047815723356
le,2.10771572527e-06,2.29057357394e-05
henne,0.000280595262808,0.000734415152144
alla,0.000280595262808,0.0016520761902
skada,0.000280595262808,1.71793018045e-05
tv,3.0660801985e-07,5.72643393485e-06
där,0.0188048642767,0.0187912929572
träd,0.00014973900852,0.00015031889079
öga,8.52713387615e-05,8.58965090227e-05
natt,0.000111057908674,0.00011166546173
sjunga,0.000280595262808,0.000353607295477
huvud,2.84068966353e-06,3.14953866417e-05
under,0.000280595262808,0.000355038903961
blå,0.000264352545845,0.000264847569487
mjuk,0.000298000696529,2.14741272557e-05
sparka,0.000280595262808,0.000154613716241
vem,0.00307959695431,0.00307795823998
fin,0.000964938694243,0.000964904118022
leka,0.000280595262808,0.000999262721631
tröja,0.000280595262808,9.87809853761e-05
ta,0.00270136533485,0.00270001360028
hej då,0.000280595262808,2.0042518772e-05
bil,0.00246067249151,0.00245950337502
kasta,0.000280595262808,0.000131707980501
kaka,0.000280595262808,0.000269142394938
ägg,0.000131114653058,0.000131707980501
bä bä,0.000561190525615,7.58752496367e-05
åsna,0.000280595262808,5.72643393485e-06
kall,0.000484986408919,0.000485315275978
vov vov,0.000280595262808,6.01275563159e-05
overall,4.618558366e-07,8.58965090227e-06
dagis,0.0001296820184,0.000130276372018
törstig,0.000280595262808,2.57689527068e-05
