item,probability,frequency
alo,0.000121561583674,0.000135296637879
telefon,0.0413782217512,9.01977585857e-05
balık,0.00383081627435,0.00385595417954
çık,0.00144687634918,0.00146571357702
büyük,0.000974653422298,0.000992175344443
göz,0.00162678436747,0.00164610909419
kedi,0.00538268280506,0.00541186551514
yaprak,3.41754247212e-05,4.50988792928e-05
dışarıda,0.0413782217512,0.000484812952398
gör,0.00106459463525,0.00108237310303
dışarı,0.00190433756523,0.00179268045189
senin,0.0413782217512,0.0107335332717
şişe,0.0413782217512,4.50988792928e-05
üstünde/üzerinde,0.0827564435024,0.00162355965454
çarşı,7.73393771148e-05,9.01977585857e-05
diz,7.73393771148e-05,9.01977585857e-05
sana,6.83508494425e-05,0.00563735991161
ayı,3.09360256982e-05,0.00162355965454
karpuz,1.54680128491e-05,2.25494396464e-05
oda,0.000322930436922,0.000338241594696
yürü,0.0413782217512,2.25494396464e-05
abi,7.73393771148e-05,9.01977585857e-05
taş,0.000345373931269,0.000180395517171
ağla,5.55224237885e-05,6.76483189393e-05
biri,3.09360256982e-05,0.00854623762599
banyo,7.73393771148e-05,9.01977585857e-05
sus,5.55224237885e-05,6.76483189393e-05
evet,0.0042356495289,0.00426184409317
radyo,5.55224237885e-05,6.76483189393e-05
çay,0.000322930436922,0.000338241594696
kova,9.93858344446e-05,0.000112747198232
ver,0.00279625156081,0.0028186799558
süpürge,3.41754247212e-05,4.50988792928e-05
gemi/vapur,0.124134665254,0.0021872956457
çekmece,5.55224237885e-05,6.76483189393e-05
kağıt,0.000255644307092,0.000270593275757
burun,0.0413782217512,0.0034500642659
limon,0.0413782217512,2.25494396464e-05
teyze,0.00108708052223,0.00110492254267
kurbağa,0.0413782217512,6.76483189393e-05
ağaç,0.000322930436922,0.000338241594696
inek,0.000570003741951,0.000586285430807
yumurta,0.0413782217512,9.01977585857e-05
anahtar,5.55224237885e-05,6.76483189393e-05
zil,1.54680128491e-05,2.25494396464e-05
baba,0.00721181917623,0.00584030486842
ört,0.00014381736945,0.000157846077525
tavşan,0.0413782217512,0.000202944956818
diş,0.000255644307092,0.000270593275757
teşekkür/sağol,0.0413782217512,0.000202944956818
ninni,1.54680128491e-05,2.25494396464e-05
dön,3.41754247212e-05,4.50988792928e-05
yakala,0.0413782217512,6.76483189393e-05
dök,5.55224237885e-05,6.76483189393e-05
nerede,1.54680128491e-05,2.25494396464e-05
nine,3.09360256982e-05,0.000112747198232
döv,9.93858344446e-05,0.000112747198232
yemek,0.00212154949019,0.00214219676641
kuş,0.00371836286241,0.00374320698131
elbise,0.000466473202298,0.000405889913636
havhav,5.55224237885e-05,6.76483189393e-05
in,0.000749823762032,0.000766680947978
tak,0.000772304681338,0.000789230387625
salıncak,0.000210844221516,0.000225494396464
dikkat,5.55224237885e-05,6.76483189393e-05
şimdi,0.0413782217512,0.00518637111868
polis,0.000121561583674,0.000135296637879
sil,0.000637429411674,0.000653933749746
boş,0.00014381736945,0.000157846077525
kaşık,0.000435193516618,0.000450988792928
bugün,3.09360256982e-05,0.000992175344443
köpek,0.00430312186592,0.00432949241211
su,0.00239142819829,0.00241279004217
hasta,6.83508494425e-05,0.000180395517171
ateş,7.73393771148e-05,9.01977585857e-05
kulak,0.000570003741951,0.000586285430807
yıkan,0.0413782217512,1.12747198232e-05
koş,0.000659906694453,0.000676483189393
balon,0.0413782217512,0.000383340473989
gel,0.00781170820436,0.00784720499696
günaydın,0.0413782217512,2.25494396464e-05
küçük,0.000749823762032,0.000766680947978
ye,0.000659906694453,0.000338241594696
yine/gene,0.0413782217512,0.000248043836111
aferin,0.0413782217512,0.00272848219722
sabah,0.000637429411674,0.000653933749746
bana,0.0413782217512,0.00640404085958
biraz,0.00149185288964,0.00151081245631
dede,0.000188471820324,0.000202944956818
ördek,0.000255644307092,0.000270593275757
güneş,0.000210844221516,0.000225494396464
yanak,0.000121561583674,0.000135296637879
el,0.00110956661519,0.000563735991161
pijama,0.000111044847577,0.000135296637879
!!!!!,0.0413782217512,0.0
et,0.000772304681338,0.000789230387625
ev,0.00578751941977,0.00581775542878
soğuk,9.93858344446e-05,0.000112747198232
çiz,0.00054753097601,0.000563735991161
bez (çocuk bezi),0.0413782217512,4.50988792928e-05
terlik,7.73393771148e-05,9.01977585857e-05
hemen,0.0413782217512,0.000180395517171
taşı,0.0413782217512,0.000180395517171
çiçek,0.000322930436922,0.000338241594696
bisiklet,0.000121561583674,0.000135296637879
gir,0.000345373931269,0.000360791034343
önünde,0.0413782217512,0.000248043836111
yut,0.00014381736945,0.000157846077525
kamyon,0.0413782217512,0.000383340473989
pazar,3.41754247212e-05,4.50988792928e-05
kapat,0.000480122304611,0.000496087672221
anla,3.09360256982e-05,0.000112747198232
elma,7.73393771148e-05,9.01977585857e-05
ona,0.0413782217512,0.00832074322953
saç,0.00176171814196,0.00178140573207
toz,3.41754247212e-05,4.50988792928e-05
top,0.00322356967687,0.00324711930909
düş,0.00101962353189,0.00103727422374
koy,0.00205408041177,0.00207454844747
duvar,5.55224237885e-05,6.76483189393e-05
mama,0.000376943640648,0.0012627686202
meme,6.83508494425e-05,0.000135296637879
bebek,0.0041681772255,0.00419419577424
park,0.000435193516618,0.000450988792928
temiz,0.000511288614185,0.000563735991161
kürek,1.54680128491e-05,2.25494396464e-05
makarna,9.93858344446e-05,0.000112747198232
gıdıkla,1.54680128491e-05,2.25494396464e-05
sarıl,0.000839750589246,0.000856878706564
bardak,0.000188471820324,0.000202944956818
dolap,3.41754247212e-05,4.50988792928e-05
ben,0.00673213990427,0.00676483189393
tren,9.93858344446e-05,0.000112747198232
kırmızı,0.000111044847577,0.000676483189393
arkadaş,0.00115453937229,0.00117257086161
komik,1.54680128491e-05,2.25494396464e-05
ekmek,5.55224237885e-05,6.76483189393e-05
çiş,0.000345373931269,0.000360791034343
kutu,6.83508494425e-05,0.000405889913636
parmak,0.000345373931269,0.000360791034343
say,0.000525059685546,0.000541186551514
götür,0.000466473202298,0.000360791034343
koltuk,1.54680128491e-05,2.25494396464e-05
iste,0.0413782217512,0.000157846077525
abla,0.000780552102445,0.00112747198232
şurada,0.0413782217512,0.000383340473989
dayı,0.0413782217512,0.00448733848964
oyna,0.000457656689278,0.000473538232575
orada,0.0413782217512,0.00144316413737
uyku,5.55224237885e-05,6.76483189393e-05
benim,0.0413782217512,0.00363045978307
sıcak,0.000412733155098,0.000428439353282
salla,3.09360256982e-05,0.000146571357702
nasıl,0.0109154734872,0.0109590276682
anneanne/babaanne/büyükanne,0.0827564435024,0.00133041693914
otur,0.000322930436922,0.000338241594696
ağız,3.09360256982e-05,0.000473538232575
oyuncak,0.00146936457669,0.00148826301666
doktor,0.000188471820324,0.000202944956818
toprak,3.41754247212e-05,4.50988792928e-05
popo,3.41754247212e-05,4.50988792928e-05
hadi,0.00594495601596,0.0059756015063
ceket,3.41754247212e-05,4.50988792928e-05
kalem,0.0413782217512,0.00105982366338
kum,7.73393771148e-05,9.01977585857e-05
boncuk,0.000435193516618,0.000450988792928
nereye,0.0413782217512,0.00784720499696
şeker,0.000794786154106,0.000811779827271
giydir,5.55224237885e-05,6.76483189393e-05
karanlık,7.73393771148e-05,9.01977585857e-05
kaka,3.09360256982e-05,0.000202944956818
gez,5.55224237885e-05,6.76483189393e-05
içeride,0.0413782217512,4.50988792928e-05
çirkin,0.0413782217512,6.76483189393e-05
getir,0.000839750589246,0.000856878706564
şarkı,0.000367822751352,0.000383340473989
kır,5.55224237885e-05,6.76483189393e-05
çanta,0.000376943640648,0.000383340473989
bas,0.000525059685546,0.000541186551514
kız,0.0091836615612,0.00922272081539
merdiven,0.0413782217512,9.01977585857e-05
bal,5.55224237885e-05,6.76483189393e-05
bak,0.0129621620035,0.013011026676
yedir,0.0413782217512,0.000338241594696
sev,0.000166126145197,0.000180395517171
çatal,1.54680128491e-05,2.25494396464e-05
cici,0.0413782217512,0.00110492254267
ara,0.000210844221516,0.000225494396464
sen,0.0218461485948,0.0219180553363
iş,0.00295368410792,0.00297652603333
fırın,0.0413782217512,0.000135296637879
muz,3.41754247212e-05,4.50988792928e-05
acı (canı),0.0827564435024,0.000334483354755
uçak,0.000502590055854,0.000518637111868
zeytin,0.0413782217512,2.25494396464e-05
kurabiye,0.0413782217512,4.50988792928e-05
çorap,3.41754247212e-05,4.50988792928e-05
tut,0.00133443664066,0.00135296637879
geç,0.00101962353189,0.000518637111868
hiç,0.00261632942765,0.00263828443863
köprü,0.000502590055854,0.000518637111868
daha/bir daha,0.0413782217512,0.00198435068889
bacak,0.000233236601149,0.000248043836111
söyle,3.09360256982e-05,0.0037883058606
kocaman,0.0413782217512,0.00031569215505
vur,7.73393771148e-05,9.01977585857e-05
gömlek,1.54680128491e-05,2.25494396464e-05
burada,3.09360256982e-05,0.00335986650732
mutfak,5.55224237885e-05,6.76483189393e-05
niye,0.0413782217512,0.00755406228155
