item,frequency
forsigtig,0.000194216438888
mælk,0.000265769863742
tørstig,0.000153328767543
ost,2.55547945906e-05
telefon,7.15534248536e-05
andre,0.000485541097221
skib,0.000102219178362
lille,0.00237659589692
øre,8.17753426898e-05
morgenmad,4.5998630263e-05
seng,0.000301546576169
græs,0.000153328767543
ved,0.00431364932689
snemand,2.04438356724e-05
hurtig,0.000148217808625
dele,8.68863016079e-05
kaste,0.000449764384794
far,0.000766643837717
kigge,0.00150773288084
legeplads,1.02219178362e-05
væk,0.00100685890687
dig,0.00362878083186
hendes,0.000705312330699
gul,0.000485541097221
hælde,0.00010733013728
bygge,0.000439542466958
ride,9.1997260526e-05
sandkasse,6.64424659355e-05
hvem,0.00145151233274
ulv,6.13315070173e-05
gynge,0.000117552055117
dyr,0.000316879452923
ugle,0.000117552055117
gå,0.000884195892833
farmor,5.11095891811e-05
hver,4.08876713449e-05
spaghetti,5.11095891811e-06
folk,3.57767124268e-05
kalkun,1.02219178362e-05
nej,0.0109987835918
abe,0.000112441096198
hår,0.000357767124268
køre,0.00221304521154
sut,0.000255547945906
sur,0.000158439726461
måne,5.62205480992e-05
rutschebane,4.08876713449e-05
fugl,0.00081264246798
cykel,0.000102219178362
med,0.00680268632001
bi,5.11095891811e-06
men,0.0050802931646
fordi,0.00149240000409
tage,0.00320968220057
trøje,5.11095891811e-05
tallerken,2.55547945906e-05
putte,0.000833086303652
bange,0.000245326028069
kamera,9.1997260526e-05
sidst,0.000373100001022
stakkels,2.04438356724e-05
træ,9.1997260526e-05
kilde,5.11095891811e-05
så,0.0236790726676
bære,8.68863016079e-05
myre,3.57767124268e-05
bog,0.000669535618273
puslespil,0.000158439726461
røre,0.00018910547997
vil,0.00404787946314
hvordan,0.000633758905846
suppe,2.55547945906e-05
agurk,5.11095891811e-06
arbejde,6.13315070173e-05
vores,4.08876713449e-05
beskidt,6.64424659355e-05
bukser,0.000275991781578
saks,1.02219178362e-05
pude,7.15534248536e-05
godnat,5.62205480992e-05
glas,3.06657535087e-05
under,0.000321990411841
flag,6.64424659355e-05
altan,5.11095891811e-06
smile,1.02219178362e-05
baby,0.000465097261548
hjort,6.64424659355e-05
glad,0.000183994521052
kuglepen,4.5998630263e-05
egern,0.000362878083186
der,0.0238375123941
det,0.0549070316573
blæser,5.11095891811e-06
dem,0.00251970274663
den,0.0372946672255
vaskemaskine,1.53328767543e-05
male,0.000199327397806
langsom,1.02219178362e-05
skovl,7.66643837717e-05
småkager,5.11095891811e-05
pony,1.02219178362e-05
give,0.000700201371781
ryste,2.04438356724e-05
klokke,0.000168661644298
cornflakes,5.11095891811e-06
græde,0.000485541097221
kost,2.55547945906e-05
tak,0.00149751096301
badeværelse,3.06657535087e-05
pind,6.13315070173e-05
sig,0.00469186028683
hos,4.5998630263e-05
tissemand,5.11095891811e-06
gaffel,5.11095891811e-06
lam,7.66643837717e-05
sne,2.55547945906e-05
pige,0.000741089043126
lide,0.000342434247514
først,0.000669535618273
stor,0.00102730274254
aften,3.06657535087e-05
halskæde,5.11095891811e-06
ovn,3.57767124268e-05
må,0.00445164521768
klapvogn,4.5998630263e-05
morfar,6.64424659355e-05
vågen,5.11095891811e-06
mange,0.000781976714471
nøgler,6.13315070173e-05
se,0.0158235288105
klovn,0.000199327397806
fange,0.000255547945906
over,0.000695090412863
hånd,0.000429320549121
smide,0.000132884931871
varm,0.00016355068538
giraf,9.71082194441e-05
alle,0.000771754796635
badekar,0.000168661644298
glide,1.02219178362e-05
løve,0.000229993151315
vente,0.000572427398829
blå,0.000424209590203
