item,frequency
onkel,5.93124787624e-05
gans,0.000141240506981
krankenschwester,9.1031142465e-06
butterbrot,5.26273792376e-06
spüle,2.33267302567e-05
telefon,0.000229142453924
penis,1.42236160102e-07
schublade,6.25839104447e-05
soße,1.05254758475e-05
alt,0.000438940790074
rot,0.000978727017659
schlüssel,7.1402552371e-05
bauchnabel,7.11180800508e-06
schiff,0.000253322601141
auf,0.00569485137815
aus,0.00224903816353
fahrrad,0.000120616263766
zuhören,3.84037632274e-06
unterhose,4.87870029148e-05
über,0.000366400348422
ihnen,0.000535234670462
straße,0.000226013258401
eis,0.000270817648833
hemd,2.36112025769e-05
bild,0.000357297234175
strand,2.802052354e-05
gestern,0.00027963629076
die,0.0247118259837
nagel,2.61714534587e-05
wurst,6.67087590876e-05
haben,0.00580209744286
stift,0.000137969075299
gut,0.00347127348728
bleiben,0.000332974850798
laut,0.000267830689471
gucken,0.00731648583947
ente,0.000365120222981
windel,8.64795853418e-05
tee,0.000127585835611
deckel,0.000151481510508
zu,0.00359985497601
spaghetti,1.20900736086e-05
arbeiten,0.000156886484592
trinken,0.000650019251664
hauen,8.98932531842e-05
kuh,0.000440363151675
frühstück,9.97075482312e-05
neu,0.000426708480305
küssen,5.1773962277e-05
hase,0.000315622039265
medizin,4.35242649911e-05
kamm,3.3567733784e-05
staubsauger,1.94863539339e-05
spinne,5.10627814765e-05
nicht,0.0050394271524
schmeißen,5.7463408681e-05
sind,0.00365916745477
nacht,0.000145080883304
bonbon,7.2824913972e-05
buch,0.000583168256417
krank,0.00013981814538
eimer,0.000100418729032
verletzt,2.00552985743e-05
wie,0.00336402742256
voll,0.000268541870272
pony,1.49347968107e-05
gesicht,8.93243085438e-05
lesen,0.000137115658338
wir,0.0116403228704
schuh,0.000442212221756
luftballon,7.12603162109e-05
sauber,0.000145649827944
terasse,1.13788928081e-06
froh,2.56025088183e-05
suppe,5.1773962277e-05
bohnen,2.24733132961e-05
trocken,6.4432980526e-05
regen,3.82615270673e-05
wollen,0.00102936309066
schokolade,0.000124029931609
pinguin,2.71671065794e-05
schön,0.00543669274756
niedlich,1.28012544091e-05
zimmer,0.00014067156234
schwein,0.000206384668307
baby,0.000467814730574
affe,0.000144511938663
teller,0.000122607570008
anfassen,4.26708480305e-05
der,0.0170470037882
verstecken,7.59541094942e-05
stadt,9.67205888691e-05
groß,0.00198262983566
kamera,0.000103263452234
springen,4.72224051537e-05
löffel,0.000183057938051
schneeanzug,1.84907008132e-06
wann,0.000182773465731
tür,0.000509632161644
geben,0.000300829478615
tag,0.000282054305481
melone,8.5341696061e-06
fliege,0.000275226969797
mehr,0.00189060304007
anderer,0.00174637557373
arzt,7.09758438907e-05
schaufel,5.37652685184e-05
können,0.00122209308759
werfen,5.29118515578e-05
pfannkuchen,1.84907008132e-05
hier,0.00934363559323
pizza,7.18292608513e-05
hof,2.6598161939e-05
kleid,6.67087590876e-05
schlafanzug,1.92018816137e-05
grün,0.000633519857092
fußball,2.57447449784e-05
füttern,5.37652685184e-05
tier,0.000535519142782
halten,0.000851994599009
heiß,0.000388731425558
kaufen,0.000259012047545
tomate,4.11062502694e-05
sessel,2.87317043405e-05
so,0.0123048502104
schneiden,0.000118909429845
wind,4.42354457916e-05
schildkröte,8.09323750978e-05
apfel,0.0002520424757
denken,0.000295993449171
joghurt,5.44764493189e-05
zeh,1.83484646531e-05
tablett,1.64993945718e-05
gummibärchen,2.77360512198e-05
öffnen,9.95653120711e-06
nett,0.000120047319126
schneemann,3.91149440279e-05
hoch,0.000520015401331
alle,0.00306319794395
schütteln,1.18056012884e-05
lippen,8.9608780864e-06
böse,8.27814451791e-05
hören,0.000342931382005
tragen,7.58118733341e-05
pullover,4.49466265921e-05
kindergarten,0.000213923184793
messer,0.000101983326793
orange,0.000150912565868
teilen,0.000312208371423
esel,5.3196323878e-05
füße,0.00034933200921
morgen,0.00043438923295
müssen,0.00458839628872
auto,0.00159802325874
bein,0.000203113236625
giraffe,0.000160584624755
uhr,0.000170541155962
malen,0.0167433295864
das,0.0321913144627
saft,9.37336295069e-05
bank,4.59422797128e-05
wenn,0.0024951067205
pommes,2.5175800338e-05
zahnpasta,5.57565747598e-05
drücken,0.000186613842053
klatschen,2.19043686556e-05
fernseher,6.22994381245e-05
stock,2.70248704193e-05
kann,0.00550126796425
gras,5.604104708e-05
warten,0.00126291486554
nein,0.00313132906464
eule,0.000243792778414
schwester,2.67403980991e-05
zebra,5.54721024396e-05
schmutzig,3.95416525082e-05
honig,4.60845158729e-05
hart,4.52310989123e-05
kleckern,1.18056012884e-05
es,0.00332164104685
er,0.00217294181787
fisch,0.000619011768762
krokodil,0.000155606359151
reißen,1.56459776112e-05
reh,2.78782873799e-05
schmecken,5.73211725209e-05
bauernhof,0.00012559452937
salz,4.30975565108e-05
hallo,0.000862804547176
knie,1.32279628894e-05
kriegen,0.000684440402409
auch,0.0096945322002
schmetterling,6.81311206887e-05
klebrig,3.55590400254e-06
beißen,6.17304934841e-05
weich,0.000107957245517
runter,0.000633235384772
pusten,0.000100987673672
zwieback,1.23745459288e-05
frau,0.000414476170536
ist,0.00451187323458
pudding,3.47056230648e-05
gabel,3.84037632274e-05
fallen,0.000163144875637
mittag,9.61516442287e-05
puppenwagen,2.14776601753e-05
ihr,0.00151751759212
nach,0.00208575105173
pferd,0.000354594747133
ihm,0.000234405191847
für,0.00235742211752
ameise,2.11931878551e-05
trecker,0.000148494551146
aufheben,4.11062502694e-05
schlagen,2.40379110572e-05
mama,0.00179402468736
banane,8.70485299822e-05
passen,0.000914151800973
laufen,0.000205389015187
nehmen,0.000705206881784
fieß,8.5341696061e-07
schlecht,0.000257162977464
bär,0.00029457108757
park,8.84708915832e-05
braun,0.000120474027606
