item,frequency
passeggiare,8.83693717852e-05
vicino,0.00033519416884
bottone,3.04721971673e-05
ciao,0.000594207844762
sedersi,0.00121279344726
calzettoni,6.09443943346e-06
vuole,0.00117622681066
leccalecca,3.04721971673e-06
gi,3.3519416884e-05
versare,0.00014017210697
forte,0.000499744033544
tu,0.00166987640477
puoi,0.000207210940738
conoscere,0.000530216230711
loro,0.000511932912411
bimbi,0.00356829428829
nuvola,4.26610760342e-05
riso,2.13305380171e-05
miele,1.21888788669e-05
costruire,4.26610760342e-05
tuta,3.65666366008e-05
sono,0.00713049413715
tavolo,0.000551546768728
coccodrillo,7.31332732015e-05
patatine,3.96138563175e-05
forno,0.000268155335072
formica,7.00860534848e-05
gatto,0.000923307574169
biscotti,0.000191974842154
fratello,6.70388337681e-05
ecco,0.00326966675605
treno,0.000262060895639
cucciolo,0.000134077667536
bravo,0.00161502644987
ospedale,5.48499549011e-05
campana,7.31332732015e-05
calze,4.26610760342e-05
spaghetti,3.04721971673e-06
arancione,2.74249774506e-05
leggero,6.09443943346e-06
vigile,4.26610760342e-05
leggere,0.000548499549011
letto,0.000487555154677
mela,0.000225494259038
sugo,2.13305380171e-05
sciarpa,1.21888788669e-05
prato,7.31332732015e-05
stanco,0.000115794349236
nanna,0.0010025352868
cappello,0.000204163721021
pantofole,6.09443943346e-06
alto,4.5708295751e-05
gli,0.0057927646815
sederino,3.3519416884e-05
marrone,0.00017673874357
stella,6.09443943346e-05
molto,0.000100558250652
caramella,0.000204163721021
unghie,3.3519416884e-05
abbracciare,5.48499549011e-05
via,0.00280648935911
verdura,1.82833183004e-05
buttare,0.000575924526462
corto,3.04721971673e-05
pesciolino,7.31332732015e-05
marmellata,3.04721971673e-05
ape,6.39916140513e-05
tutto,0.00642049194315
che,0.0161746422564
cavallo,0.00116403793179
camera,5.48499549011e-05
giallo,0.000237683137905
zia,0.000319958070257
lanciare,1.82833183004e-05
capra,7.9227712635e-05
scopa,6.09443943346e-05
coperchio,3.96138563175e-05
ridere,0.00017673874357
gambe,0.000207210940738
pancia,0.000207210940738
lungo,0.000396138563175
bambola,0.000393091343458
quale,0.00103300748397
frigorifero,0.000185880402721
ma,0.00887350381512
bagnato,0.000542405109578
dormire,0.00081056044465
animale,0.000725238292582
collana,2.13305380171e-05
cercare,0.000761804929183
foca,0.000152360985837
cucinare,0.000225494259038
in,0.00444894078643
torre,4.87555154677e-05
melone,6.09443943346e-06
palla,0.000508885692694
camicia,1.21888788669e-05
biberon,0.00014931376612
buio,0.000118841568952
cielo,9.14165915019e-05
asciutto,1.82833183004e-05
lavare,0.000780088247483
sporco,0.000393091343458
musica,5.48499549011e-05
piangere,0.000935496453036
gallo,8.22749323517e-05
pizza,0.000262060895639
fare,0.00287352819288
caldo,0.000161502644987
trattore,0.000246824797055
sveglio,0.000216352599888
latte,0.000737427171449
uscire,3.3519416884e-05
tartaruga,0.00014931376612
acchiappare,2.74249774506e-05
lavorare,0.000277296994222
davanti,0.000131030447819
cubi,6.09443943346e-06
dove,0.00546671217181
pupazzi,3.3519416884e-05
asilo,0.000396138563175
a,0.0147546378684
arrabbiato,0.000219399819605
provare,0.000393091343458
addormentato,6.09443943346e-05
deve,0.00189537066381
nonno,0.00179785963287
su,0.00190755954267
dentro,0.00338241388557
si,0.0122985787767
si',1.52360985837e-05
se,0.00365361644036
lingua,8.53221520685e-05
bocca,0.00081056044465
piede,0.000767899368616
pane,0.000478413495527
soldato,4.87555154677e-05
uva,0.000152360985837
auguri,1.21888788669e-05
agnello,1.21888788669e-05
disubbidiente,6.09443943346e-06
le,0.0073407522976
piscina,6.70388337681e-05
vento,0.000103605470369
oggi,0.000508885692694
la,0.0244569854465
sopra,0.000786182686916
lo,0.0114331683772
sapone,0.00029862753224
lontano,6.09443943346e-05
baciare,8.53221520685e-05
chiesa,2.43777577338e-05
noi,0.000499744033544
martello,5.48499549011e-05
venire,0.000502791253261
vecchio,5.48499549011e-05
registratore,4.5708295751e-05
lento,9.14165915019e-06
giraffa,4.5708295751e-05
arancia,4.5708295751e-05
soldatini,2.13305380171e-05
pistola,5.18027351844e-05
scrivere,0.000380902464591
porta,6.09443943346e-06
luce,0.000600302284196
povero,0.000323005289973
olio,2.43777577338e-05
mandarino,1.52360985837e-05
trovare,0.0008197021038
camminare,0.000274249774506
ciliegie,2.43777577338e-05
zebra,1.21888788669e-05
dondolare,1.21888788669e-05
dentifricio,0.000112747129519
farfalla,5.18027351844e-05
blu,8.22749323517e-05
nuovo,0.000323005289973
buono,0.000786182686916
poco,0.000124936008386
volare,0.00079227712635
piatto,0.000521074571561
medicina,2.74249774506e-05
passeggino,0.000118841568952
stretto,1.21888788669e-05
orologio,4.5708295751e-05
pecora,0.00031691085054
rovesciare,0.000173691523854
rompere,0.000618585602496
dire,0.000551546768728
forchetta,9.14165915019e-05
coperta,7.9227712635e-05
gallina,0.000268155335072
tigre,9.44638112186e-05
guidare,0.000179785963287
cucchiaio,0.000231588698472
rana,2.43777577338e-05
pesante,3.65666366008e-05
correre,0.000222447039321
leccare,4.87555154677e-05
spinaci,6.09443943346e-06
trottola,1.21888788669e-05
raccontare,0.000874552058702
strappare,4.87555154677e-05
bosco,4.87555154677e-05
banana,0.000124936008386
salutare,3.04721971673e-05
poltrona,2.74249774506e-05
quando,0.00188318178494
sbrigarsi,1.82833183004e-05
chiave,1.52360985837e-05
albero,0.000667341117964
mattina,0.000127983228103
barbiere,0.000417469101192
cuscino,7.9227712635e-05
aereo,0.000100558250652
ballare,0.000121888788669
shampoo,8.83693717852e-05
gentile,1.52360985837e-05
cullare,2.43777577338e-05
costruzioni,3.65666366008e-05
spaventato,4.87555154677e-05
ancora,0.00112137685576
sera,0.000182833183004
spalla,3.65666366008e-05
negozio,3.96138563175e-05
elicottero,9.14165915019e-05
contento,0.00015845542527
piccolo,0.000630774481363
giardino,7.31332732015e-05
tetto,3.04721971673e-05
