item,frequency
onkel,0.000185904523351
rom,3.42455700909e-05
oss,0.000694695850415
katt,0.000132090056065
ost,0.000332671252312
telefon,0.00022504231774
andre,0.00064088138313
alt,0.000684911401818
gi,8.80600373766e-05
øre,6.84911401818e-05
seng,0.000176120074753
glad,1.95688971948e-05
under,0.00052836022426
melon,4.8922242987e-06
smile,1.95688971948e-05
te,0.00505855992486
ta,0.00288641233623
bråke,0.000381593495299
snømann,0.000176120074753
dele,0.000146766728961
kaste,0.000288641233623
dessert,2.93533457922e-05
stue,9.7844485974e-06
fat,0.000239718990636
gulrot,0.00011252115887
bøtte,7.82755887792e-05
strand,9.7844485974e-06
liten,0.000684911401818
din,0.00195199749518
tre,0.000454976859779
gul,0.000533252448558
eple,0.000166335626156
mygg,2.93533457922e-05
gjøre,0.00291576568202
ekorn,0.000132090056065
bygge,0.000758294766298
oldemor,1.95688971948e-05
sandkasse,6.35989158831e-05
ville,0.000371809046701
hvem,0.000239718990636
gå,0.0018786141307
farmor,4.8922242987e-06
håndkle,9.7844485974e-06
hver,0.000102736710273
folk,3.91377943896e-05
gress,0.000136982280364
dårlig,6.35989158831e-05
hår,0.000621312485935
nei,0.0116386016066
steiner,0.000141874504662
sur,2.93533457922e-05
måne,6.35989158831e-05
tå,0.000156551177558
fugl,7.82755887792e-05
med,0.00153615842979
meg,0.000494114654169
full,0.000102736710273
tannbørste,9.29522616753e-05
sint,0.000293533457922
men,0.00658493390605
druer,1.95688971948e-05
søppel,4.8922242987e-05
mer,0.00205473420545
hadde,0.0015165895326
regntøy,4.8922242987e-06
dytte,0.000190796747649
pingvin,1.46766728961e-05
kveld,0.000136982280364
tv,0.000234826766338
bok,0.000968660411143
forsiktig,5.87066915844e-05
bære,0.000508791327065
smokk,0.000181012299052
sjokolade,0.000342455700909
hennes,0.000146766728961
nøtter,2.93533457922e-05
ansikt,3.42455700909e-05
apekatt,5.38144672857e-05
redd,0.00026418011213
bra,0.000787648112091
middag,0.000474545756974
hvordan,8.31678130779e-05
frekk,3.42455700909e-05
suppe,8.80600373766e-05
agurk,0.000146766728961
matpakke,6.35989158831e-05
yoghurt,0.000220150093441
hoppe,0.000464761308376
saks,1.46766728961e-05
landet,5.38144672857e-05
medisin,1.46766728961e-05
glass,0.000410946841091
oransje,9.7844485974e-05
baby,8.31678130779e-05
snø,0.000269072336428
fly,0.000181012299052
prøve,0.000381593495299
der,0.0128176276626
veske,0.000117413383169
det,0.0104106533076
frukt,0.000117413383169
mennesker,4.8922242987e-06
dem,6.35989158831e-05
den,0.017279336223
male,0.000200581196247
skilpadde,7.33833644805e-05
så,0.0127246754009
deg,0.000538144672857
klokke,0.000332671252312
treffe,5.87066915844e-05
hit,0.000239718990636
eske,2.93533457922e-05
knekkebrød,5.38144672857e-05
tak,0.000288641233623
kjøre,0.00114967271019
hos,0.000381593495299
sjiraff,0.000176120074753
stille,0.000127197831766
holde,0.000680019177519
pizza,1.95688971948e-05
lam,5.38144672857e-05
motorsykkel,9.7844485974e-05
brett,0.000107628934571
svart,0.000362024598104
først,0.000929522616753
skje,1.95688971948e-05
knapper,0.000117413383169
ovn,4.8922242987e-05
man,0.000616420261636
må,0.0052493566725
stol,0.000229934542039
måtte,0.000459869084078
kjøtt,0.000239718990636
trehjulssykkel,5.38144672857e-05
morfar,3.42455700909e-05
si,0.00244121992505
sebra,2.44611214935e-05
mange,0.000577282467247
gjennom,0.000166335626156
egg,0.000366916822402
se,0.00107628934571
hake,3.42455700909e-05
vindu,0.000210365644844
brannmann,0.000273964560727
fange,7.33833644805e-05
over,0.000357132373805
hånd,4.8922242987e-05
varm,0.000435407962584
legge,0.000704480299013
alle,0.00153126620549
badekar,2.93533457922e-05
bææ,2.44611214935e-05
løve,0.000156551177558
vente,0.000440300186883
smake,0.000533252448558
blå,0.000420731289688
penn,5.38144672857e-05
esel,1.46766728961e-05
fin,0.000988229308337
morgen,1.95688971948e-05
dag,0.00313102355117
noe,0.000117413383169
bein,8.80600373766e-05
t-skjorte,2.93533457922e-05
saft,0.000185904523351
strømpebukse,2.93533457922e-05
smekke,0.00022504231774
ettermiddag,1.95688971948e-05
akebrett,5.87066915844e-05
såpe,2.93533457922e-05
gaffel,7.82755887792e-05
snill,0.000322886803714
