item,frequency
llover,4.04573185575e-05
limonad,0.000172115033185
rodilla,3.90858840301e-05
sandia,6.85717263686e-07
toalla,2.12572351743e-05
cargar,4.11430358212e-05
correr,0.000820803564633
fuego,0.000153600667066
besitos,0.000118629086618
padrino,4.11430358212e-06
leche,0.000416230379058
ver,0.00774311934155
bosque,6.92574436323e-05
suave,2.1942952438e-05
pelo,0.000457373414879
igual,0.000421030399903
decir,0.000768003335329
ti,0.00149417791757
melon,5.8971684677e-05
hermano,0.000579431087815
piernas,0.000153600667066
agua,0.000957261300106
chicle,5.07430775128e-05
acostar,6.03431192044e-05
vestido,0.00018034364035
traer,0.000588345412243
tutu,8.22860716424e-06
medicina,4.04573185575e-05
mirar,0.00932575478614
dia,0.000792689156821
querer,0.000832460758115
seco,7.33717472144e-05
largo,0.000194743702887
acabarse,0.000745374665627
oso,0.000340115762788
esos,0.000330515721097
bravo,7.40574644781e-05
burbujas,1.64572143285e-05
boca,0.000532802313884
vela,0.000172800750449
basura,6.30859882591e-05
cachete,2.05715179106e-06
nariz,0.000296229857913
ellas,4.66287739307e-05
asustar,0.000299658444231
nana,1.50857798011e-05
pajaro,0.00026605829831
ayudar,0.000367544453336
saltar,0.000205715179106
chancla,2.74286905475e-06
arreglar,0.000179657923086
playa,0.000218058089852
uvas,0.000171429315922
raton,0.000185143661195
pintar,0.00129600562837
cuchara,0.000183772226668
plastlin,6.85717263686e-07
les,0.000396344578411
jamon,0.000102857589553
alto,0.000331887155624
jalar,1.0971476219e-05
mermelad,4.52573394033e-05
colores,0.00194469415981
tu,0.00794677736886
escuchar,0.000211886634479
pollito,0.000221486676171
entrar,7.47431817418e-05
terminar,0.000298972726967
maceta,2.05715179106e-06
rancho,6.85717263686e-07
feo,0.000197486571942
pero,0.00690380141079
papas,8.02289198513e-05
jabon,6.7886009105e-05
cuarto,0.000101486155026
ellos,0.000217372372589
yoghurt,1.37143452737e-06
oreja,0.000146057777165
biciclet,7.88574853239e-05
saber,0.0028909839837
pensar,0.000120000521145
chichi,2.74286905475e-06
galleta,0.000117943369354
hola,0.000845489386125
me,0.00746471813249
arana,1.37143452737e-06
libro,0.000619202689109
cabeza,0.000402516033784
sacar,0.000481373519108
foca,4.52573394033e-05
nino,7.47431817418e-05
taza,9.25718305977e-05
tirar,0.000916118264285
cierre,0.000102857589553
perder,0.000211200917215
azul,0.000702174478015
sueter,1.37143452737e-06
cocinar,0.000264686863783
patinar,3.63430149754e-05
gordo,9.66861341798e-05
sillon,1.71429315922e-05
payaso,0.000344915783634
lluvia,1.98858006469e-05
lejos,9.3943265125e-05
calcetin,6.24002709955e-05
botas,0.000169372164131
gato,0.000726174582244
oficina,1.57714970648e-05
maestra,2.81144078111e-05
cual,0.00120823381862
mi,0.00353350105978
labios,4.66287739307e-05
arbol,0.000352458673535
vientair,4.66287739307e-05
hoy,0.000752917555528
mas,0.00555225268407
plato,0.000286629816221
okay,6.85717263686e-06
prender,7.54288990055e-06
cielo,0.000102171872289
taco,1.57714970648e-05
salsa,2.60572560201e-05
mesa,0.000449830524978
hombro,0.000571888197914
las,0.00486173539954
a,0.0323199117893
barba,6.65145745776e-05
tapar,0.000168000729603
su,0.000918175416076
si,0.0163564138907
manana,2.05715179106e-06
grande,0.00141189184593
romper,0.000528002293039
se,0.0130807425221
reloj,0.000128914845573
mojado,0.00010971476219
horno,1.64572143285e-05
columpio,9.25718305977e-05
papel,0.000151543515275
buho,5.21145120402e-05
hotcakes,6.85717263686e-07
clavo,4.04573185575e-05
aventar,4.11430358212e-06
cobija,1.37143452737e-06
alla,0.000197486571942
cerrar,0.000172115033185
rojo,0.000748117534682
lo,0.0100581008238
alli,0.000680231525577
pene,8.0914637115e-05
buscar,0.000792003439558
puerta,0.000273601188211
papitas,2.12572351743e-05
animal,0.000656917138612
yo,0.00755866139762
ya,0.00537533763004
nada,0.0016107498524
fiesta,0.000149486363484
conejo,0.000294858423385
lento,2.1942952438e-05
fuerte,0.000254401104828
dedo,0.000329144286569
gritar,0.000106971893135
lavadora,4.04573185575e-05
dientes,0.000167315012339
shhh,1.37143452737e-06
escalera,0.000144686342638
escuela,8.02289198513e-05
subir,0.000587659694979
doler,6.9943160896e-05
pobre,0.000162514991494
