item,frequency
alo,0.000135296637879
telefon,9.01977585857e-05
hiçbiri,6.76483189393e-05
mandalina,2.25494396464e-05
balık,0.00385595417954
ver,0.0028186799558
büyük,0.000992175344443
göl,2.25494396464e-05
göz,0.00164610909419
sinek,4.50988792928e-05
kedi,0.00541186551514
yaprak,4.50988792928e-05
tavşan,0.000202944956818
gör,0.00108237310303
dışarı,0.00130786749949
onun,0.0128080817192
pamuk,4.50988792928e-05
kemer,4.50988792928e-05
çilek,2.25494396464e-05
bazen,0.00178140573207
hastalan,9.01977585857e-05
trafik,0.000112747198232
senin,0.0107335332717
belki,0.000270593275757
horoz,0.000135296637879
çarşı,9.01977585857e-05
hoşgeldiniz,0.000135296637879
diz,9.01977585857e-05
sana,0.00563735991161
ayı,0.00162355965454
karın,4.50988792928e-05
tek,0.000112747198232
yüksek,0.000112747198232
gazoz,2.25494396464e-05
karpuz,2.25494396464e-05
anneanne,0.000834329266918
karga,0.000405889913636
oda,0.000338241594696
yürü,2.25494396464e-05
abi,9.01977585857e-05
beyaz,0.000135296637879
ağla,0.000518637111868
biri,0.00854623762599
banyo,9.01977585857e-05
çöp,9.01977585857e-05
bluz,2.25494396464e-05
radyo,6.76483189393e-05
çay,0.000338241594696
daha,0.00198435068889
kova,0.000112747198232
babaanne,0.000496087672221
yangın,2.25494396464e-05
süpürge,4.50988792928e-05
boz,6.76483189393e-05
mısır,4.50988792928e-05
önce,2.25494396464e-05
tamirci,2.25494396464e-05
kağıt,0.000270593275757
burun,0.0034500642659
limon,2.25494396464e-05
hızlı,0.000202944956818
kurbağa,6.76483189393e-05
ağaç,0.000338241594696
inek,0.000586285430807
yumurta,9.01977585857e-05
anahtar,6.76483189393e-05
böcek,9.01977585857e-05
baba,0.00584030486842
ört,0.000157846077525
katı,2.25494396464e-05
dışarıda,0.000969625904796
diş,0.000270593275757
maç,6.76483189393e-05
şişir,4.50988792928e-05
çalış,9.01977585857e-05
ninni,2.25494396464e-05
dön,4.50988792928e-05
dök,6.76483189393e-05
nerede,2.25494396464e-05
hayvan,0.00094707646515
evcilik,0.000112747198232
anlat,0.00394615193812
nine,0.000112747198232
döv,0.000112747198232
yemek,0.00214219676641
kuş,0.00374320698131
elbise,0.000405889913636
havhav,6.76483189393e-05
in,0.000766680947978
yut,0.000157846077525
eski,0.000202944956818
tam,6.76483189393e-05
tak,0.000789230387625
hastane,4.50988792928e-05
salıncak,0.000225494396464
işte,0.00297652603333
dikkat,6.76483189393e-05
gecelik,2.25494396464e-05
lütfen,0.000789230387625
şimdi,0.00518637111868
polis,0.000135296637879
başka,0.00703542516968
sil,0.000653933749746
fare,6.76483189393e-05
boş,0.000157846077525
hemen,0.000180395517171
kötü,0.000293142715404
bugün,0.000992175344443
masal,0.000608834870453
kadın,0.000135296637879
köpek,0.00432949241211
deve,6.76483189393e-05
yavru,0.000360791034343
hasta,0.000180395517171
ortada,0.000157846077525
kurt,0.00196180124924
ateş,9.01977585857e-05
kulak,0.000586285430807
yıkan,2.25494396464e-05
özle,2.25494396464e-05
kalorifer,2.25494396464e-05
koş,0.000676483189393
orman,0.000112747198232
kirpik,2.25494396464e-05
dün,0.000924527025503
bacak,0.000248043836111
poğaça,2.25494396464e-05
yarın,0.000428439353282
şaka,0.000180395517171
gel,0.00784720499696
fil,0.000360791034343
cadı,4.50988792928e-05
yorul,0.000180395517171
dal,4.50988792928e-05
perde,9.01977585857e-05
çekiç,0.000112747198232
aferin,0.00272848219722
hala,0.0006313843101
bana,0.00640404085958
aynı,2.25494396464e-05
cep,2.25494396464e-05
dede,0.00647168917852
ördek,0.000270593275757
toka,0.000135296637879
güneş,0.000225494396464
ters,0.000270593275757
yanak,0.000135296637879
en,0.000450988792928
böyle,0.00266083387828
pijama,0.000135296637879
dinle,0.000608834870453
adam,0.0006313843101
kana,2.25494396464e-05
oku,0.000112747198232
zebra,0.000135296637879
ez,2.25494396464e-05
et,0.000789230387625
ev,0.00581775542878
tekerlek,9.01977585857e-05
aşağıda,0.000338241594696
soğuk,0.000112747198232
çiz,0.000563735991161
patla,2.25494396464e-05
terlik,9.01977585857e-05
kaşık,0.000450988792928
bekle,0.000112747198232
helikopter,4.50988792928e-05
uzak,0.000157846077525
keçi,0.000293142715404
taşı,0.000360791034343
çevir,6.76483189393e-05
yavaş,0.000676483189393
fasulye,2.25494396464e-05
çiçek,0.000338241594696
bisiklet,0.000135296637879
gir,0.000360791034343
önünde,0.000248043836111
çünkü,0.000428439353282
sonra,0.00374320698131
kirlet,4.50988792928e-05
sessiz,2.25494396464e-05
onlar,0.00832074322953
kamyon,0.000383340473989
pazar,4.50988792928e-05
halı,0.000112747198232
kapat,0.000496087672221
anla,0.000112747198232
