item,mlu
bottone,8.0
ciao,3.97948717949
grande/grosso,7.59018759019
poco,7.56097560976
tu,8.41391941392
suo/a,8.78171566653
loro,10.1616766467
riso,10.1428571429
miele,16.75
lavare,8.87890625
tuta,6.83333333333
tavolo,7.34806629834
coccodrillo,5.18518518519
bau bau,7.25
formica,6.27586206897
gatto,6.53719008264
biscotti,7.39682539683
treno,6.26744186047
bravo,5.07924528302
calze,9.0
cugino/a,8.71764705882
maestro/a,8.71463614064
vigile,7.28571428571
fiore,7.42222222222
letto,9.13043478261
mela,4.93421052632
sugo,7.14285714286
sciarpa,6.0
lei,8.93558282209
qua qua,6.85404896422
stanco,6.71052631579
nanna,6.74358974359
cappello,6.05970149254
me/mi,8.43261455526
che/che cosa?,9.05100696405
quello/a,7.96631183469
alto,6.06666666667
gli,8.57814149947
cip cip,3.0
sederino,5.90909090909
stella,5.35
molto,8.18181818182
caramella,8.43421052632
abbracciare,5.88888888889
via,7.24321389794
buttare,8.03448275862
signore/a,8.72987585102
bum (cade),5.37209302326
pesciolino,6.58333333333
attento,5.97854077253
tutto,8.93023255814
cavallo,7.92931937173
camera,18.0
giallo,6.61538461538
zia,6.93333333333
zio,8.73684210526
capra,8.84615384615
scopa,3.95652173913
coperchio,5.15384615385
ridere,7.46551724138
gambe,9.52941176471
pancia,8.97402597403
bambola,7.25
frigorifero,8.04918032787
babysitter/tata,7.65934065934
dormire,6.98872180451
animale,8.3093220339
collana,4.28571428571
cassetto,14.25
sì,4.77120141343
fare la popò/pipì,5.97087378641
in,9.24313186813
forte,6.55487804878
palla,5.53333333333
biberon,7.22666666667
buio,7.12820512821
cielo,7.4
asciutto,3.0
sporco,7.68992248062
musica,8.72222222222
piangere,5.74183006536
gallo,4.55555555556
fare,8.21914893617
caldo,9.98113207547
latte,8.98717948718
uscire,5.90909090909
tartaruga,5.74
bottiglia,6.75
da,8.86594202899
asilo,7.98461538462
a,8.72729153735
arrabbiato,6.97222222222
chiave,4.6
giardino,8.45833333333
su,7.69230769231
dentro,8.53720508167
maglione,4.0
lingua,11.1785714286
bocca,8.01132075472
piede,8.5753968254
pane,6.62420382166
uva,10.96
chiudere,5.43846153846
agnello,4.0
disubbidiente,5.0
le,8.32138390996
vento,8.17647058824
oggi,8.82634730539
la,7.86025
sopra,9.12790697674
lo,7.56228327554
televisione/tv,8.70909090909
sapone,9.43
lontano,6.1
noi,10.3292682927
martello,8.33333333333
venire,9.60606060606
adesso/ora,8.05653021442
giraffa,7.06666666667
arancia,4.66666666667
mio/a,8.68526466381
scrivere,7.608
porta,9.13863928113
luce,6.67005076142
camminare,6.62765957447
dondolare,7.25
farfalla,3.58823529412
ippopotamo,5.75
nuovo,7.08571428571
buono,5.65891472868
nuvole,7.42857142857
volare,8.24230769231
piatto,6.55555555556
cadere,5.74860335196
orologio,7.21052631579
pecora,6.05769230769
rompere,6.52709359606
dire,8.50276243094
forchetta,5.16666666667
coperta,8.38235294118
gallina,8.17045454545
tigre,5.16129032258
cucchiaio,5.34210526316
rana,7.0
pesante,12.9166666667
correre,7.58904109589
leccare,6.5
trottola,5.5
banana,5.0487804878
salutare,13.7
albero,10.095890411
mattina,9.04761904762
barbiere,7.48905109489
aereo,5.24242424242
ballare,8.425
brum brum,3.30769230769
cullare,7.0
ancora,6.53551912568
negozio,11.0769230769
contento,10.1923076923
piccolo,8.64390243902
nonno,7.17457627119
uovo,7.16901408451
autobus,4.0
parlare,8.64189189189
giacca,4.0
scatola,8.14925373134
miao,5.6875
faccia,7.71365638767
zoo,9.1935483871
coniglio,8.61111111111
dopo/poi,8.29453262787
mangiare,7.55342902711
uccellino,6.91176470588
matita/penna,7.32432432432
bicchiere,6.05
lavatrice,14.0
toccare,9.09523809524
nessuno,8.18181818182
giocare,8.06167979003
camion,9.11764705882
carne,6.1
fazzoletto,3.85714285714
oca,3.83333333333
piano,5.675
telefono,8.11956521739
libro,7.92465753425
cercare,6.732
cattivo,7.17791411043
bavaglino,5.48275862069
di,8.67930153322
zitto/sch,5.77419354839
fermarsi,8.12745098039
sasso,5.90476190476
cubi,7.0
pieno,11.0909090909
leggere,6.51666666667
accendere,6.49230769231
doccia,7.75
malato,7.57251908397
vestito,9.32584269663
muh,5.0
carote,5.96153846154
cioccolata,6.86363636364
guanti,5.63636363636
paletta,6.05555555556
pinguino,3.0
ciuccio,8.06349206349
orecchio,6.45945945946
cantare,7.06730769231
prato,9.91666666667
yogurt,4.0
lui,10.39453125
prendere,8.21889952153
lupo,8.97727272727
montagna,8.36842105263
sole,8.54166666667
un/uno/una,7.97686130393
tuo/a,8.59594202899
elefante,5.63302752294
tirare,7.75971731449
zanzara,4.25
denti,9.35294117647
capelli,8.05154639175
con,9.43150684932
pianta,11.7368421053
secchiello,8.83333333333
vedere,8.18648755433
sentire,8.30099857347
mare,8.34353741497
carino,2.0
zucchero,7.91025641026
spingere,4.14285714286
spegnere,5.0
aprire,6.16842105263
casa,9.12
cracker,9.0
pollo,8.96551724138
pulito,6.43243243243
brutto,5.7106918239
cane,8.27304964539
soldi,7.125
voi,7.10714285714
pesca,8.50406504065
il,8.02446153846
io,8.41003184713
occhio,8.43373493976
felice,8.09090909091
finestra,9.81632653061
bello,6.14107883817
aspettare,7.14189189189
sedia,7.31155778894
finito,7.06944444444
baciare,6.32142857143
basta,5.94890510949
pioggia,11.6
