item,mlu
onkel,6.13513513514
katt,4.77777777778
ost,4.34285714286
telefon,6.07692307692
gi,9.625
øre,7.5
seng,7.48571428571
gakk gakk,1.0
glad,9.0
under,8.34
smile,9.5
ta,7.7936802974
vask,7.875
kaste,7.47169811321
gulrot,5.47727272727
strand,4.0
liten,8.34108527132
din,7.57493188011
tre,6.87719298246
eple,5.83333333333
ekorn,5.32
oldemor,8.08333333333
strømpebukse,10.6666666667
hvem,6.52083333333
gå,8.23442136499
farmor,1.0
håndkle,5.0
hår,7.01709401709
nei,3.90869354055
ned,10.3144963145
melk,5.90082644628
måne,6.0
tå,4.33333333333
fugl,4.58064516129
meg,6.94444444444
tannbørste,4.16666666667
søppel,4.375
mer,5.4927184466
i dag,8.0
regntøy,7.0
dytte,5.80555555556
pingvin,2.5
tv,7.0625
bok,7.41489361702
forsiktig,7.33333333333
smokk,7.61386138614
bolle,5.12727272727
hennes,6.66666666667
vil,5.82680036463
redd,8.24489795918
bra,6.30201342282
middag,7.33695652174
hvordan,7.64705882353
frekk,6.16666666667
jente,6.22340425532
saks,6.0
medisin,6.33333333333
glass,6.67901234568
få,7.38666666667
baby,12.7666666667
snø,6.84210526316
fly,6.34042553191
der,5.24767932489
det,7.39444214019
den,6.10018610422
skilpadde,4.5
klokke,5.71641791045
kost,8.88888888889
eske,8.5
kjøre,6.53896103896
sjiraff,5.15555555556
rydde,8.4
pizza,2.75
lam,5.45454545455
mat,7.15555555556
dyr,7.16666666667
ovn,7.66666666667
morfar,6.14285714286
si,7.272
egg,5.25352112676
se,8.10697674419
vindu,6.84615384615
hånd,8.85714285714
varm,6.51851851852
legge,10.0
alle,8.20136518771
badekar,5.66666666667
bææ,5.0
løve,4.51515151515
blå,4.44705882353
hvor,6.58181818182
fin,6.90952380952
morgen,12.5
dag,8.94416243655
noe,8.18518518519
bein,6.875
t-skjorte,9.25
sove,7.02739726027
smekke,7.09836065574
såpe,5.6
gaffel,6.4
denne,5.3023255814
skjønn,15.4347826087
slem,7.16666666667
fisk,5.06349206349
hard,7.65957446809
banan,5.68539325843
motorsykkel,7.0
rev,8.16666666667
mate,7.15555555556
ren,8.33333333333
stue,3.5
ri,1.0
stjerner,12.0
gammel,5.48484848485
brrr (bil-lyd),2.33333333333
kniv,7.8
skje,10.5
ingen,9.08620689655
dør,7.10416666667
svømme,4.28571428571
menneske,15.0
bite,11.4390243902
tørr,5.07692307692
potte,6.14285714286
ikke,5.55365686945
jeg,6.49285714286
tom,6.0
tog,4.65517241379
mjau,1.5
shorts,6.0
park,8.0
dyne,5.28571428571
hus,6.82200647249
frokost,7.0
trapp,6.95714285714
kinn,5.5
knapp,7.95454545455
spise,7.63873873874
lommebok,12.0
grei,7.33333333333
and,6.39473684211
appelsin,4.09090909091
vondt,8.52727272727
plaske,3.07692307692
juice,7.88888888889
øye,6.77272727273
sau,4.6
min,5.33170731707
bleie,6.2380952381
takk,4.0
lekegrind,5.0
dette,5.98675496689
kam,5.5
regn,8.38461538462
vise,7.31914893617
veps,7.75
falle,10.0
ballong,7.125
lukke,5.69387755102
sulten,7.64285714286
ku,5.21428571429
ingenting,4.45714285714
skitten,4.26315789474
radio,14.0
sykkel,5.6
inn,8.27966101695
buss,5.125
himmel,6.55555555556
komfyr,4.2
leke,6.43598615917
briller,8.33333333333
sparke,3.1
lue,3.71428571429
kake,5.40625
munn,7.57692307692
stor,7.21649484536
stol,6.70754716981
mormor,5.33333333333
danse,6.4
kopp,6.0
du,7.75178088922
penger,6.45454545455
vaske,7.875
bad,5.64233576642
blomst,6.53658536585
bak,7.75
klemme,5.85714285714
skrive,6.31578947368
hjem,8.16129032258
inne,8.27966101695
hammer,5.45
arm,8.35294117647
inni,6.596875
barn,7.4
hvorfor,5.6
mus,7.57894736842
finger,7.25
tegne,5.87037037037
garasje,5.78571428571
jobb,7.65909090909
ja,3.87507759156
mage,7.1375
reinsdyr,14.5
mann,5.82978723404
vent,7.97777777778
kjøkken,5.84782608696
samme,8.2
hva,6.83977900552
tallerken,6.94117647059
klosser,6.78787878788
hoppe,5.18823529412
mørkt,5.40909090909
farfar,3.0
butikk,6.93203883495
bukse,6.57627118644
pute,9.42857142857
støvler,4.5
noen,10.7571428571
voff voff,1.77777777778
hysj,4.16666666667
dame,6.27906976744
tiger,4.75
fest,12.3333333333
såpebobler,1.0
vann,6.52610441767
ugle,5.2
plante,9.1
au,3.16326530612
kylling,4.78571428571
dukke,7.0
is,6.5546875
bror,4.5
trøtt,5.67647058824
stoppe,6.33333333333
flaske,8.11111111111
spade,6.75
på,8.08825357365
elefant,4.10416666667
ball,4.17142857143
syk,6.37837837838
tørst,8.46666666667
skuff,5.5
dra,11.2857142857
hans,7.78977635783
nese,5.46875
dyrehage,3.5
hage,9.34285714286
blåse,6.62857142857
i,8.67772194305
kne,4.0
brød,7.41379310345
mamma,7.225
slå,7.93055555556
bestemor,6.28828828829
kald,7.4756097561
lese,7.11504424779
søt,7.18181818182
bjørn,6.42666666667
hest,4.92857142857
kile,4.14285714286
kanin,3.11111111111
tenner,6.44155844156
gutt,6.30952380952
elg,4.75
natt,6.64705882353
tørke,7.0
sko,6.0
kirke,6.69230769231
bil,5.86363636364
gris,5.64227642276
opp,7.94909688013
stein,6.63636363636
kjøleskap,7.83333333333
ansikt,6.6
sommerfugl,4.80952380952
nede,10.3144963145
barnevogn,3.0
tante,6.78813559322
lunsj,6.33333333333
ekkelt,7.28571428571
sofa,8.18181818182
flue,8.33333333333
rød,2.70833333333
hund,7.81578947368
teppe,6.0
bestefar,5.27142857143
synge,5.84027777778
bort,6.48414985591
bord,7.46808510638
fot,9.12162162162
våt,7.6
løpe,6.45454545455
skål,5.0
pen,5.0
tiss,6.55
lampe,3.83333333333
gråte,9.66666666667
gyngestol,5.0
pasta,4.93617021277
nøkler,9.33333333333
ha det,4.24352331606
votter,5.71428571429
støvsuger,6.52941176471
hente,7.67424242424
sol,7.89130434783
hjelpe,7.47317073171
brannbil,5.33333333333
smør,5.18134715026
myk,11.0
kjøtt,4.30487804878
nå,8.17721518987
genser,5.27777777778
skole,6.1
papir,5.74074074074
når,11.1723625557
hei,3.89411764706
hode,6.80612244898
ødelegge,5.60975609756
søster,4.75
frosk,4.1
børste,4.39285714286
fort,7.84507042254
kjeks,5.42857142857
ute,7.42857142857
ut,8.22047244094
sokker,5.75384615385
åpne,5.98529411765
jakke,5.33333333333
kaffe,5.65517241379
lys,5.91489361702
kjole,6.33333333333
drikke,6.90659340659
bilde,7.72631578947
av,9.14534883721
corn flakes,9.5
lastebil,5.23076923077
pappa,7.04482758621
rosiner,6.5
oldefar,7.0
ødelagt,5.05940594059
huske,7.98642533937
tunge,5.68421052632
