item,mlu
плохой,6.0
кран,5.85714285714
творог,3.0
нос,5.54545454545
краски,1.5
небо,7.33333333333
книга,6.14285714286
медведь,4.82352941176
крокодил,4.3
пол,7.82352941176
подруга,4.0
шапка,8.83333333333
и,8.80917874396
сапоги,3.5
под,5.57142857143
летать/лететь,6.08695652174
рисовать,5.60869565217
парк,12.8
сюда,6.30158730159
шарик,4.8
бросать,5.31578947368
настоящий,3.5
штаны,6.83333333333
человек,3.875
вкусный,5.8
ломать,7.28571428571
друг,5.30769230769
корзина,4.0
оттуда,12.5
соска,5.25
палка,4.75
плакать,4.32
смотреть,6.17818181818
чистить,7.2
огурец,4.6
куртка,7.6
кефир,4.0
идти/пойти,6.75806451613
живот,6.33333333333
грязно,2.0
голый,6.0
открыть,3.72
волосы,8.0625
зеленый,4.94117647059
нам,7.86956521739
много,8.22448979592
гараж,7.71428571429
любить,5.8
грязный,7.80769230769
гвоздь,6.0
воробей,5.625
несколько,11.0
на (возьми),6.51004016064
спасибо,3.9
тик-так,3.0
куда?,5.01785714286
у,7.2647702407
ту-ту/чух-чух,5.0
залезть,5.125
чистый,6.21428571429
одевать,6.40625
я,7.8504398827
таз,6.25
обезьяна,5.3064516129
горка,3.75
там,6.08527131783
наш,5.0
тигр,3.66666666667
подушка,12.0
четыре,4.0
кукла,5.5
сахар,4.0
мясо,4.0
мне,7.59349593496
кукуруза,9.4
язык,5.66666666667
что,5.0899795501
в (напр./в ведро),7.41624365482
слон,4.86666666667
громкий,2.0
холодный,5.4
тут,8.08571428571
одеть,6.40625
желтый,6.95833333333
далеко,5.0
искать,6.92307692308
мама,6.21276595745
где,4.58849557522
кислый,4.0
бусы,3.14285714286
красный,5.57575757576
памперс,5.42857142857
строить,5.92857142857
тапки,7.75
сильный,7.5
плита,9.0
полдник,4.5
кровать,6.54545454545
вперед/впереди,9.5
двор,6.0
снег,6.0
нельзя,6.75510204082
вечером,18.0
лекарство/таблетка,4.27272727273
стоять,7.19298245614
куст,5.75
санки,5.0
груша,11.6666666667
прыгать,4.16666666667
пылесос,1.0
подметать,13.0
муха,6.1
их,6.7
река,7.0
большой,7.1
паровоз,4.1
люди,12.0
ботинки,6.75
помидор,4.66666666667
молоток,2.33333333333
мяч,5.55555555556
по,8.26315789474
мазать,5.86666666667
хлопать,6.0
говорить,7.86021505376
корова,4.75
витамины,4.0
фрукт,6.25
когда?,8.49450549451
варежки/рукавицы,9.0
колбаса,10.0
цыпленок,2.33333333333
лестница,5.5
ягода,4.25
ножницы,4.25
падать,5.42857142857
резать,10.3333333333
скоро,4.6
один,7.6875
варить,7.42857142857
лоб,11.6666666667
стучать/стучаться,3.54545454545
пряник,1.0
маленький,6.16666666667
лекарство,4.0
тряпка,5.25
вытирать,5.7
рот,6.94444444444
рано,4.0
дверь,6.55555555556
тук-тук,2.4
надо/нужно,7.76729559748
ребенок,5.53846153846
обед,7.68421052632
красить,2.5
клей,5.23076923077
голубь,3.0
вниз/внизу,8.0
смеяться,4.5
взять,7.72222222222
вы,8.55555555556
никак,8.0
какой,5.18352059925
кофе,5.33333333333
девочка,5.69135802469
ложка,5.80952380952
ждать,6.31034482759
грибы,4.55555555556
его,6.19540229885
ведро,1.0
обнимать,8.16666666667
длинный,4.0
жираф,6.0
кораблик,3.0
им,8.83333333333
дети,4.95652173913
из,6.95081967213
палец,8.21052631579
вставать,4.83333333333
потом,8.25581395349
рядом,8.71428571429
кошелек,19.0
два,5.38709677419
бутылочка,5.73333333333
печенье,4.55
достать,5.33333333333
вчера,8.15789473684
рыба,5.29411764706
улыбаться,5.0
купать/купаться,4.78787878788
трава,8.1
чисто,6.0
горшок,8.0
вилка,6.57142857143
чуть-чуть,5.25
апельсин,6.0
бумага,6.53333333333
коляска,5.66666666667
совсем,7.34615384615
рыбка,5.29411764706
масло,10.0
кушать,5.0
сад/садик,14.5
полотенце,6.25
каша,5.85714285714
часы,3.75
больно,5.25
поросенок,5.25
писáть,5.2
мокрый,6.125
ванна,3.81818181818
красивый,5.78571428571
а-а-а,1.6
гости,5.14285714286
береза,11.0
мороженое,7.25
хороший,5.88
ужин,8.0
к,7.72093023256
помогать,5.95454545455
варенье,4.5
сейчас,6.27272727273
гость,5.14285714286
причесать/причесаться,5.41666666667
машина,3.77419354839
грузовик,3.0
ночь,5.42857142857
соленый,4.0
сумка,8.0
устать,7.0
ква,1.0
кричать,6.5
отсюда,4.0
суп,7.0
ля-ля-ля,5.0
ключи,4.75
брать,9.78571428571
снимать,7.28571428571
ёж,5.33333333333
киви,3.0
платок,4.0
телевизор,4.0
лежать,6.56818181818
