item,mlu
alo,2.33333333333
telefon,4.5
balık,3.7134502924
çık,3.95384615385
büyük,4.15909090909
göz,3.09589041096
kedi,4.02083333333
yaprak,3.0
dışarıda,3.86046511628
gör,4.04166666667
dışarı,3.9504950495
senin,4.31932773109
şişe,3.0
üstünde/üzerinde,4.51388888889
çarşı,4.75
diz,4.25
sana,5.148
ayı,3.79166666667
karpuz,5.0
oda,4.33333333333
yürü,3.0
abi,3.25
taş,3.3125
ağla,3.0
biri,5.06596306069
kum,3.75
sus,3.33333333333
evet,2.26984126984
radyo,4.66666666667
çay,3.86666666667
kova,3.4
ver,4.384
süpürge,4.0
gemi/vapur,4.35051546392
çekmece,2.33333333333
kağıt,4.58333333333
burun,4.03267973856
limon,2.0
havhav,3.0
kurbağa,1.33333333333
ağaç,2.8
inek,3.11538461538
yumurta,2.75
anahtar,1.33333333333
zil,7.0
baba,3.94980694981
ört,4.14285714286
tavşan,3.55555555556
diş,3.41666666667
teşekkür/sağol,3.22222222222
ninni,2.0
dön,6.5
yakala,2.33333333333
dök,3.33333333333
nerede,4.0
nine,4.4
döv,4.0
yemek,4.27368421053
kuş,3.40361445783
elbise,4.33333333333
teyze,5.14285714286
otobüs,4.31818181818
tak,3.8
salıncak,4.1
dikkat,4.33333333333
gez,4.0
polis,5.66666666667
sil,2.03448275862
boş,4.42857142857
kaşık,2.75
bugün,4.38636363636
köpek,3.80729166667
su,3.57009345794
hasta,5.375
ateş,3.25
kulak,2.76923076923
yıkan,5.0
koş,3.06666666667
bacak,4.54545454545
gel,3.92528735632
günaydın,2.0
küçük,5.05882352941
ye,4.33333333333
yine/gene,3.45454545455
aferin,2.00826446281
hala,5.53571428571
bana,4.94718309859
dede,3.22222222222
ördek,2.91666666667
güneş,3.8
yanak,1.83333333333
el,4.26
pijama,3.16666666667
et,4.34285714286
ev,4.46124031008
soğuk,5.4
çiz,3.12
bez (çocuk bezi),5.0
terlik,2.25
hemen,3.375
taşı,3.3125
çiçek,3.86666666667
bisiklet,3.83333333333
gir,4.0
önünde,6.18181818182
yut,2.85714285714
kamyon,3.35294117647
pazar,4.5
kapat,1.68181818182
anla,5.8
elma,2.5
ona,4.22222222222
saç,3.15189873418
toz,4.0
top,3.61805555556
düş,2.30434782609
koy,3.20652173913
duvar,6.33333333333
mama,2.82142857143
meme,3.83333333333
bebek,3.59139784946
park,4.4
temiz,3.4
kürek,2.0
var,4.54697286013
gıdıkla,1.0
sarıl,2.52631578947
bardak,3.88888888889
dolap,3.5
ben,4.94
tren,2.2
merdiven,4.25
arkadaş,3.90384615385
komik,7.0
ekmek,4.33333333333
çiş,4.0
kutu,4.27777777778
parmak,3.1875
say,2.83333333333
götür,3.375
koltuk,3.0
iste,4.28571428571
abla,4.16
şurada,4.35294117647
dayı,4.94974874372
oyna,4.19047619048
orada,4.578125
uyku,5.0
benim,4.21739130435
sıcak,2.47368421053
salla,3.14285714286
nasıl,3.50205761317
anneanne/babaanne/büyükanne,3.0
otur,3.26666666667
ağız,2.57142857143
oyuncak,4.16666666667
doktor,3.22222222222
toprak,3.5
popo,5.0
hadi,3.77358490566
ceket,2.5
kalem,3.85106382979
banyo,3.75
boncuk,4.05
nereye,3.00862068966
şeker,4.58333333333
giydir,4.33333333333
karanlık,3.25
kaka,3.44444444444
şimdi,4.77826086957
içeride,7.5
çirkin,3.66666666667
getir,3.89473684211
şarkı,3.70588235294
kır,5.33333333333
çanta,4.11764705882
bas,1.66666666667
kız,3.58924205379
kırmızı,3.26666666667
bal,2.0
bak,4.26689774697
yedir,4.33333333333
sev,3.875
çatal,4.0
cici,3.02040816327
ara,5.0
sen,4.65432098765
iş,3.52272727273
fırın,3.66666666667
muz,2.0
acı (canı),3.84090909091
uçak,3.17391304348
zeytin,5.0
kurabiye,3.0
çorap,2.5
tut,2.68333333333
geç,4.17391304348
hiç,4.16239316239
köprü,4.26086956522
daha/bir daha,4.36363636364
balon,3.23529411765
söyle,4.66071428571
kocaman,3.64285714286
vur,3.25
gömlek,4.0
burada,4.15436241611
mutfak,4.0
niye,3.05373134328
deniz,4.75985663082
iç,4.1628959276
ayak,4.03448275862
balkon,2.66666666667
ay/aydede,3.0
yaz,3.86046511628
yat,3.85714285714
şu,4.83720930233
yap,3.99047619048
akşam,4.74358974359
pantolon,4.76923076923
dur,4.41379310345
acık,4.5
hepsi,4.375
kokla,1.5
kazak,3.7
sabun,3.83333333333
iyi,4.5
bin,3.75
yaramaz,4.0
ip,3.0
çıkar,2.9
it,3.07407407407
in,3.85294117647
yıldız,1.5
tatlı,2.58823529412
lamba/işık,4.75
simit,2.0
gül,3.75
müzik,4.75
kucak,3.44444444444
arı,4.35714285714
tavuk,3.14285714286
elle,4.07407407407
kim,3.36315789474
kardeş,4.28
sabah,4.96551724138
