"iconicity","babiness","uni_lemma","lexical_class"
2.81818,5.6875,"baa baa","other"
3,8.45455,"choo choo","other"
3.73333,2.91667,"cockadoodledoo","other"
2,3.25,"grrr","other"
3.5,1.81818,"meow","other"
3.88235,4.07692,"moo","other"
3.46154,5.25,"ouch","other"
4.07692,2.5,"quack quack","other"
4.36364,7.08333,"uh oh","other"
3.54545,5.5,"vroom","other"
3.26667,2.7,"woof woof","other"
2.84615,4.33333,"yum yum","other"
-0.933333,4.88889,"animal","nouns"
-0.25,4.8,"bear","nouns"
1.54545,1.8,"bee","nouns"
0.727273,2.375,"bird","nouns"
1.9,3.07692,"bug","nouns"
0.4,2.8,"bunny","nouns"
NA,NA,"butterfly","nouns"
0.538462,2,"cat","nouns"
NA,NA,"chicken (animal)","nouns"
1.45455,2.2,"cow","nouns"
-0.444444,2.07143,"deer","nouns"
1.27273,3.1,"dog","nouns"
0.842105,1,"donkey","nouns"
0.3,4.1,"duck","nouns"
2.14286,2.81818,"elephant","nouns"
NA,NA,"fish (animal)","nouns"
2.18182,2.90909,"frog","nouns"
-1.19048,4.5,"giraffe","nouns"
0.230769,3.41667,"goose","nouns"
-0.363636,2,"horse","nouns"
0,4.1,"kitty","nouns"
0.416667,5,"lamb","nouns"
-0.352941,2.25,"lion","nouns"
0.285714,2.23077,"monkey","nouns"
0,1.81818,"mouse","nouns"
0.0909091,2.41667,"owl","nouns"
-1.58333,1.3,"penguin","nouns"
0.5,1.41667,"pig","nouns"
-0.0714286,3,"pony","nouns"
0.666667,4.25,"puppy","nouns"
1,3.4,"sheep","nouns"
0.363636,1.5,"squirrel","nouns"
0.909091,8.26667,"teddybear","nouns"
0.7,2,"tiger","nouns"
0.0666667,2.63636,"turkey","nouns"
0,2.08333,"turtle","nouns"
NA,NA,"airplane","nouns"
NA,NA,"bicycle","nouns"
-0.928571,2.28571,"bus","nouns"
0.466667,2.08333,"car","nouns"
0.6,3.18182,"firetruck","nouns"
NA,NA,"motorcycle","nouns"
0.785714,8.53846,"stroller","nouns"
-0.0909091,3.54545,"train","nouns"
NA,NA,"truck","nouns"
0.75,6,"ball","nouns"
1.71429,6.54545,"balloon","nouns"
2.42857,4.47368,"block","nouns"
0.0909091,4.7,"book","nouns"
2.5,5.92857,"bubbles","nouns"
-0.428571,7.13333,"doll","nouns"
0.6875,2.54545,"pen","nouns"
0.909091,8.26667,"toy (object)","nouns"
0.0833333,3.5,"apple","nouns"
1,3.08333,"banana","nouns"
0.333333,2.1,"bread","nouns"
0.545455,2.4,"butter","nouns"
0.461538,4.16667,"cake","nouns"
1.11765,4.5,"candy","nouns"
0.5,6.07692,"carrots","nouns"
0.214286,6.31579,"cereal","nouns"
1.91667,6.66667,"cheerios","nouns"
-0.363636,1.91667,"cheese","nouns"
NA,NA,"chicken (food)","nouns"
1.3,2.28571,"coffee","nouns"
0.454545,4.72727,"cookie","nouns"
0.583333,4.66667,"cracker","nouns"
NA,NA,"drink (beverage)","nouns"
1.81818,3.63636,"egg","nouns"
NA,NA,"fish (food)","nouns"
1.07143,5.88889,"food","nouns"
NA,NA,"ice cream","nouns"
0.615385,6.75,"juice","nouns"
0.2,2.41667,"meat","nouns"
0.733333,9.125,"milk","nouns"
1.71429,2.07692,"noodles","nouns"
NA,NA,"orange (food)","nouns"
0.454545,6,"peas","nouns"
0.7,1.90909,"pizza","nouns"
0,2.4,"raisin","nouns"
1.06667,4,"spaghetti","nouns"
0.545455,2.53333,"toast","nouns"
NA,NA,"water (beverage)","nouns"
NA,NA,"beads","nouns"
0.0833333,9.75,"bib","nouns"
0.4,3,"boots","nouns"
0.5,3.8,"button","nouns"
-0.8,2.36364,"coat","nouns"
-0.272727,6.91667,"diaper","nouns"
NA,NA,"dress","nouns"
1.46154,4.06667,"hat","nouns"
0.5,4,"jacket","nouns"
0,1.08333,"jeans","nouns"
1.45455,2.63636,"necklace","nouns"
-0.588235,6.4,"pajamas","nouns"
-0.153846,3.42857,"pants","nouns"
-0.375,5,"shirt","nouns"
-0.3125,4.15385,"shoe","nouns"
0.5625,3.6,"shorts","nouns"
0.0909091,4.6,"sock","nouns"
0.4,2.90909,"sweater","nouns"
2.92308,2.7,"zipper","nouns"
0.2,4.3,"arm","nouns"
NA,NA,"belly button","nouns"
