"lexical_class","uni_lemma","valence","arousal","dominance"
"function_words","(possessive)",NA,NA,NA
"function_words","a",NA,NA,NA
"function_words","a little",5.76,3.43,4.53
"function_words","a lot",5.64,4.33,5.61
"other","a lot",NA,NA,NA
"function_words","about",NA,NA,NA
"function_words","above",NA,NA,NA
"other","after",NA,NA,NA
"adverbs","again",NA,NA,NA
"function_words","again",NA,NA,NA
"other","again",NA,NA,NA
"nouns","airplane",5.25,5.62,4.12
"nouns","album",6.19,5.63,5.86
"function_words","all",NA,NA,NA
"other","all",NA,NA,NA
"adjectives","all gone",6.5,2.57,7.17
"function_words","all gone",NA,NA,NA
"other","all gone",6.5,2.57,7.17
"nouns","alligator",4.23,5.36,4.1
"function_words","along",NA,NA,NA
"function_words","already",NA,NA,NA
"function_words","also",NA,NA,NA
"function_words","am",NA,NA,NA
"nouns","ambulance",3.71,5.33,3.29
"function_words","and",NA,NA,NA
"adjectives","angry",2.53,6.2,4.11
"other","angry",2.53,6.2,4.11
"nouns","animal",7.06,4.3,5.72
"nouns","ankle",5.4,3.11,5.58
"function_words","another",NA,NA,NA
"nouns","ant",3.9,3.27,5.3
"function_words","any",NA,NA,NA
"other","any",NA,NA,NA
"nouns","apple",6.62,3.52,6.44
"nouns","applesauce",6.9,2.78,6.39
"function_words","are",NA,NA,NA
"nouns","arm",5.44,3.44,6.02
"nouns","armchair",5.67,2.75,5.79
"function_words","around",NA,NA,NA
"function_words","as",NA,NA,NA
"adjectives","asleep",6.5,2,4.33
"function_words","at",NA,NA,NA
"other","aunt",6.56,2.71,4.28
"adjectives","awake",6.76,5.5,6.68
"function_words","away",NA,NA,NA
"other","awoo",NA,NA,NA
"other","baa baa",6.3,3.32,5.72
"other","baby",6.67,4.97,4.94
"other","baby food",NA,NA,NA
"other","babysitter",6.55,3.48,5.68
"other","babysitter's name",NA,NA,NA
"function_words","back",4.76,2.59,5.22
"nouns","back",4.76,2.59,5.22
"function_words","backward",NA,NA,NA
"nouns","backyard",6.1,3.88,6.79
"adjectives","bad",3.24,4.86,3.56
"adverbs","badly",3.24,4.86,3.56
"other","badness",3.55,4.38,4.08
"nouns","bag",5.05,3.43,5.62
"nouns","balcony",6.11,4,5.09
