language,form,measure,lexical_category,mean,ci_lower,ci_upper,instrument
NA,WG,produces,Function Words,-0.180018521275252,-0.186558202850197,-0.174999861293369,British Sign Language WG
NA,WG,produces,Nouns,0.0799283429906539,0.0736460897745944,0.0885140526691746,British Sign Language WG
NA,WG,produces,Predicates,-0.0436536340376841,-0.0517937769341478,-0.0340114475252176,British Sign Language WG
NA,WG,understands,Function Words,-0.176807199895067,-0.182902278281808,-0.169553050873112,British Sign Language WG
NA,WG,understands,Nouns,0.0651732291837467,0.0610189839887649,0.0706724329284648,British Sign Language WG
NA,WG,understands,Predicates,-0.0213763733609882,-0.0271077846459223,-0.0159435229016099,British Sign Language WG
Cantonese,WS,produces,Function Words,-0.121628853907582,-0.126078426997109,-0.117096767190108,Cantonese WS
Cantonese,WS,produces,Nouns,0.00863626846274623,0.00746459941147362,0.0100914228062882,Cantonese WS
Cantonese,WS,produces,Predicates,0.040326740261542,0.0373757141605345,0.0427048051677831,Cantonese WS
Croatian,WG,produces,Function Words,-0.115173780443779,-0.151447088084064,-0.0810120565399259,Croatian WG
Croatian,WG,produces,Nouns,0.0432924554094601,0.0243324189030563,0.0519723644275771,Croatian WG
Croatian,WG,produces,Predicates,-0.0591063447577282,-0.0857653797425787,-0.0326256803563218,Croatian WG
Croatian,WG,understands,Function Words,-0.108546673765186,-0.126765241279133,-0.0794626398460336,Croatian WG
Croatian,WG,understands,Nouns,0.0185318228549609,0.011911234506352,0.0256557432733654,Croatian WG
Croatian,WG,understands,Predicates,0.00064598403584511,-0.0133382356445693,0.0127045545791498,Croatian WG
Croatian,WS,produces,Function Words,-0.141183902163723,-0.150531301417512,-0.129156823798869,Croatian WS
Croatian,WS,produces,Nouns,0.066956337946369,0.0620942179856168,0.0738708842719706,Croatian WS
Croatian,WS,produces,Predicates,-0.00850080835518439,-0.0158817980877303,-0.00574806092866895,Croatian WS
Danish,WS,produces,Function Words,-0.158838471802885,-0.160402073776703,-0.157343104885788,Danish WS
Danish,WS,produces,Nouns,0.0756991327134917,0.0744633869970511,0.0764070802540535,Danish WS
Danish,WS,produces,Predicates,-0.0209639175686209,-0.0221895342567631,-0.0197826098503013,Danish WS
English,WG,produces,Function Words,-0.12093708401734,-0.138297293305707,-0.107762077555361,English WG
English,WG,produces,Nouns,0.0551553104912788,0.0507077131627404,0.0613504773980944,English WG
English,WG,produces,Predicates,-0.0845374981263909,-0.0969569817752965,-0.0769412583449329,English WG
English,WG,understands,Function Words,-0.11158999986779,-0.116121191047278,-0.106564164699455,English WG
English,WG,understands,Nouns,0.0168186293858023,0.0154083790046087,0.0184091529729145,English WG
English,WG,understands,Predicates,0.0047781883930495,0.0023100720642616,0.0067877712600555,English WG
English,WS,produces,Function Words,-0.182338676879882,-0.183635965541414,-0.181205301476674,English WS
English,WS,produces,Nouns,0.0733117833282761,0.0720821337969599,0.0746632919627239,English WS
English,WS,produces,Predicates,-0.0250569947076893,-0.0264137819950826,-0.0238152260188462,English WS
German,WS,produces,Function Words,-0.171698620677485,-0.174106955310392,-0.168801610896509,German WS
German,WS,produces,Nouns,0.0906972432844199,0.0897058338310983,0.0926782549887551,German WS
German,WS,produces,Predicates,-0.0545936698306609,-0.0559981420320511,-0.0521615589291556,German WS
Hebrew,WG,produces,Function Words,-0.0908968193561389,-0.105664022792945,-0.0787192548312793,Hebrew WG
Hebrew,WG,produces,Nouns,0.0480259767721933,0.0379883407755296,0.0589706351497803,Hebrew WG
