"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"body_parts","arm","ruka","arm","","braccio","arm","рука","brazos","arm",""
"body_parts","belly button","pupak","belly button","פופיק","ombelico","navle","пупок","ombligo","navel",""
"body_parts","breast","","","ציצי","seno","","","chichi","","meme"
"body_parts","butt","guza","","","sederino","","","","stjärt","popo"
"body_parts","cheek","obrazi","cheek","לחי","","kinn","щека","cachete","kind","yanak"
"body_parts","chin","","","","","","","","haka",""
"body_parts","ear","uho","ear","אוזן","orecchio","øre","ушки","orejas","öra","kulak"
"body_parts","eye","oko","eye","עיין","occhio","øye","глазки","ojos","öga","göz"
"body_parts","face","lice","face","פנים","faccia","ansikt","лицо","cara","ansikte",""
"body_parts","feet","","","","piede","","","","",""
"body_parts","finger","palac","finger","אצבעות","dito","finger","палец","dedos","finger","parmak"
"body_parts","foot","","foot","","","fot","","pies","fot","ayak"
"body_parts","forehead","čelo","","מצח","","","","","",""
"body_parts","hair","kosa","hair","שערות","capelli","hår","волосы","pelo","hår","saç"
"body_parts","hand","","hand","ידיים","mano","hånd","","manos1","hand","el"
"body_parts","head","glava","head","ראש","testa","hode","голова","cabeza","huvud","baş/kafa"
"body_parts","knee","koljeno","knee","ברך","","kne","","rodilla","knä","diz"
"body_parts","leg","noga","leg","רגליים","gambe","bein","нога","piernas","ben","bacak"
"body_parts","moustache","","","","","","","bigote","",""
"body_parts","mouth","usta","mouth","פה ","bocca","munn","рот","boca","mun","ağız"
"body_parts","nails","nokti","","ציפורניים","","","","","",""
"body_parts","neck","","","","","","шея","","",""
"body_parts","nose","nos","nose","אף","naso","nese","нос","nariz","näsa","burun"
"body_parts","owie","","owie/boo boo","","","","","","",""
"body_parts","penis","","","","organo genitale masch","tiss","","","",""
"body_parts","thumb","","","אגודל","","","","","",""
"body_parts","toe","prst","toe","","","tå","","","tå",""
"body_parts","tongue","jezik","tongue","לשון","lingua","tunge","язык","lengua","tunga","dil"
"body_parts","tooth","zub","tooth","שיניים","denti","tenner","зубы","dientes","tand","diş"
"body_parts","tummy","trbuh","tummy","בטן","pancia","mage","живот","panza","mage","göbek"
"body_parts","vagina","","","","organo genitale femm","","","","",""
