"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"places","beach","","","","","strand","","","",""
"places","church","","","","","kirke","","","",""
"places","garden","","","","","hage","","","",""
"places","grocery","","","","","","","","","bakkal"
"places","home","","","","","hjem","","","","ev"
"places","house","","","","","hus","","","",""
"places","market","","","","","","","","","çarşı, market, pazar"
"places","outing","","","","","","","","","atta"
"places","outside","","","","","","","","","dışarı"
"places","park","","","","","park","","","","park"
"places","party","","","","","fest","","","",""
"places","pool","","","","","svømmehall","","","",""
"places","school","","","","","skole","","","","okul"
"places","sea","","","","","","","","","deniz"
"places","store","","","","","butikk","","","","dükkan"
"places","village","","","","","","","","","köy"
"places","work (place)","","","","","jobb","","","","iş"
"places","zoo","","","","","dyrehage","","","",""
