"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"toys","ball","lopta","ball","כדור","palla","ball","мяч","pelota","boll","top"
"toys","balloon","balon","balloon","בלון","","ballong","","globo","ballong","balon"
"toys","beads","","","חרוזים","","","","","",""
"toys","block","kocka","block","קוביה","cubi","klosser","кубики","","kloss",""
"toys","book","knjiga","book","ספר","favola/storia","bok","книга","libro","bok","kitap"
"toys","bubbles","","bubbles","בועות","","såpebobler","","","såpbubblor",""
"toys","bucket","","","","secchiello","","ведро","","","kova"
"toys","clown","","","ליצן","","","","","",""
"toys","crayon","","","","","","","","","boya"
"toys","doll","lutka","doll","בובה","bambola","dukke","кукла","muneca","docka","bebek"
"toys","drum","","","","","","","tambor","",""
"toys","pen","olovka","pen","עט","","(farge)blyant","карандаш/ручка","lapiz","penna","kalem"
"toys","rattle","","","רעשן","","","","","",""
"toys","shovel","lopatica","","","","","лопатка/совок","","",""
"toys","spade","","","","paletta","","","","",""
"toys","teddybear","","","","","","","osito","",""
"toys","top","","","סביבון","trottola","","","","",""
"toys","tower","","","מגדל","","","","","",""
"toys","toy (object)","igračka","toy (object)","צעצוע","giocattolo","leke","игрушка","juguete","leksak","oyuncak"
