"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"vehicles","airplane","avion","airplane","מטוס","aereo","fly","самолет","avion","flygplan","uçak"
"vehicles","ambulance","","","אמבולנס","","","","","",""
"vehicles","bicycle","bicikl","bicycle","אופניים","bicicletta","sykkel","велосипед","bicicle","cykel","bisiklet"
"vehicles","boat","","","","barca","","","","",""
"vehicles","bus","autobus","bus","אוטובוס","autobus","buss","автобус","","buss","otobüs"
"vehicles","car","auto","car","אוטו","automobile","bil","машина","carro","bil","araba"
"vehicles","firetruck","","firetruck","","","brannbil","","camibom","brandbil",""
"vehicles","jeep","","","ג'יפ","","","","","",""
"vehicles","locomotive","","","קטר","","","паровоз","","",""
"vehicles","motorcycle","motor","motorcycle","אופנוע","motocicletta","motorsykkel","","moto","motorcykel",""
"vehicles","ship","brod","","","","","","barco","","gemi/vapur"
"vehicles","stroller","","stroller","עגלה","passeggino","barnevogn","коляска","carreol","barnvagn",""
"vehicles","tractor","","","טרקטור","","","трактор","","traktor",""
"vehicles","train","vlak","train","רכבת","treno","tog","поезд","tren","tåg","tren"
"vehicles","tram","tramvaj","","","","","","","",""
"vehicles","truck","kamion","truck","משאית","camion","lastebil","грузовик","camion","lastbil","kamyon"
