"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"animals","animal","životinja","animal","חיה ","animale","dyr","","animal","djur",""
"animals","ant","","","","formica","","","hormiga","",""
"animals","bear","medo","bear","","orso","bjørn","медведь","oso","björn","ayı"
"animals","bee","pčela","bee","דבורה","","veps","","abeja","bi","arı"
"animals","bird","ptica","bird","ציפור","uccellino","fugl","птичка","pajaro","fågel","kuş"
"animals","bug","buba","bug","ג'וק","","","жук","","skalbagge","böcek"
"animals","bunny","zeko","bunny","שפן","coniglio","kanin","заяц","conejo","kanin","tavşan"
"animals","butterfly","leptir","butterfly","פרפר","farfalla","sommerfugl","бабочка","maripos","","kelebek"
"animals","calf","tele","","","","","","","",""
"animals","cat","mačka","cat","חתול","gatto","katt","кошка","gato","katt","kedi"
"animals","chick","","","אפרוח","pulcino","","","pollito","",""
"animals","chicken (animal)","pile","chicken (animal)","","","kylling","курочка","","kyckling","tavuk"
"animals","cow","krava","cow","פרה","mucca","ku","корова","vaca","ko","inek"
"animals","crocodile","","","","coccodrillo","","","","",""
"animals","crow","","","","","","ворона","","",""
"animals","deer","lane","deer","אייל","","reinsdyr","","venado","",""
"animals","dog","pas","dog","כלב","cane","hund","собака","perro","hund","köpek"
"animals","donkey","magarac","donkey","חמור","asino","","","burro","åsna","eşek"
"animals","duck","patka","duck","ברווז","papera","and","утка","pato","anka","ördek"
"animals","elephant","slon","elephant","פיל ","elefante","elefant","слон","elefant","elefant",""
"animals","elk","","","","","elg","","","",""
"animals","fawn","","","","cerbiatto","","","","",""
"animals","fish (animal)","riba","fish (animal)","דג","pesciolino","fisk","рыбка","pescado","fisk","balık"
"animals","fly","","","זבוב","mosca","flue","муха","mosca","",""
"animals","fox","lisica","","","","rev","лиса","","",""
"animals","frog","žaba","frog","צפרדע","rana","frosk","лягушка","rana","groda","kurbağa"
"animals","giraffe","","giraffe","ג'ירפה","giraffa","sjiraff","жираф","jirafa","giraff",""
"animals","goat","koza","","","capra","","коза","cabra","",""
"animals","goose","guska","goose","","oca","gås","гусь","","gås",""
"animals","hedgehog","","","קיפוד ","","","ёж","","",""
"animals","hen","koka","","","gallina","","","gallina","",""
"animals","hippopotamus","","","","ippopotamo","","","hippotm","",""
"animals","horse","konj","horse","סוס","cavallo","hest","лошадь/конь","caballo","häst","at"
"animals","kangaroo","","","","","","кенгуру","","",""
"animals","kid (goat)","jare","","","","","","","",""
"animals","kitty","","kitty","","","kattunge","","","kisse",""
"animals","ladybug","","","חיפושית","","","","","",""
"animals","lamb","","lamb","טלה ","agnello","lam","","borrego","lamm","kuzu"
"animals","lion","lav","lion","אריה","leone","løve","лев","leon","lejon",""
"animals","monkey","majmun","monkey","קוף","scimmia","ape(katt)","обезьяна","mono","apa","maymun"
"animals","mosquito","","","","zanzara","","","","",""
"animals","mouse","miš","mouse","עכבר","topo","mus","мышка","raton","mus",""
"animals","owl","sova","owl","ינשוף","","ugle","сова","buho","uggla",""
"animals","parrot","","","תוכי","","","","","",""
"animals","peacock","","","טווס","","","","","",""
"animals","penguin","","penguin","פינגווין","pinguino","pingvin","","pinguin","pingvin",""
"animals","pig","prase","pig","חזיר","maiale","gris","поросенок/свинка","puerco","gris",""
"animals","pony","","pony","","","","","","ponny",""
"animals","puppy","","puppy","גור","","valp","","","valp",""
"animals","rooster","pijetao",""," תרנגול","gallo","","петух","","",""
"animals","sheep","ovca","sheep","כבשה","pecora","sau","баран/овечка","","får",""
"animals","snake","","","נחש","","","змея","","",""
"animals","sparrow","vrabac","","","","","","","",""
"animals","spider","","","","","","","arana","",""
"animals","squirrel","vjeverica","squirrel","סנאי","","ekorn","белка","ardilla","ekorre",""
"animals","teddybear","","teddybear","דובי","","(leke)bamse","","","nalle",""
"animals","tiger","tigar","tiger","נמר","tigre","tiger","тигр","tigre","tiger",""
"animals","turkey","purica","turkey","תרנגול הודו","","","","guajolo","",""
"animals","turtle","","turtle","צב ","tartaruga","skilpadde","черепаха","tortuga","sköldpadda",""
"animals","wolf","vuk","","זאב","lupo","","волк","lobo","",""
"animals","worm","","","","","(meite)mark","","","",""
