"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"body_parts","ankle","","","ankle","","","","","","","",""
"body_parts","arm","ruka","arm","arm","","braccio","arm","рука","рука","brazos","arm",""
"body_parts","back","","","","","","","","спина","","",""
"body_parts","belly button","pupak","belly button","belly button","פופיק","","navle","пупок","пупок","ombligo","navel",""
"body_parts","bellybutton","","","","","ombelico","","","","","",""
"body_parts","breast","","","","ציצי","seno","","","","chichi","","meme"
"body_parts","butt","guza","","","","","","","","","stjärt","popo"
"body_parts","buttocks","","","","","sederino","","","","","",""
"body_parts","buttocks/bottom*","","","buttocks/bottom*","","","","","","","",""
"body_parts","cheek","obrazi","cheek","cheek","לחי","","kinn","щека","щека","cachete","kind","yanak"
"body_parts","chin","","","chin","","","","","","","haka",""
"body_parts","ear","uho","ear","ear","אוזן","orecchio","øre","ушки","ушки","orejas","öra","kulak"
"body_parts","eye","oko","eye","eye","עיין","occhio","øye","глазки","глазки","ojos","öga","göz"
"body_parts","eyebrows","","","","","","","","брови","","",""
"body_parts","eyelashes","","","","","","","","ресницы","","",""
"body_parts","face","lice","face","face","פנים","faccia","ansikt","лицо","лицо","cara","ansikte",""
"body_parts","feet","","","","","piede","","","","","",""
"body_parts","finger","palac","finger","finger","אצבעות","dito","finger","палец","палец","dedos","finger","parmak"
"body_parts","foot","","foot","foot","","","fot","","","pies","fot","ayak"
"body_parts","forehead","čelo","","","מצח","","","","лоб","","",""
"body_parts","hair","kosa","hair","hair","שערות","capelli","hår","волосы","волосы","pelo","hår","saç"
"body_parts","hand","","hand","hand","ידיים","mano","hånd","","","manos1","hand","el"
"body_parts","head","glava","head","head","ראש","testa","hode","голова","голова","cabeza","huvud","baş/kafa"
"body_parts","knee","koljeno","knee","knee","ברך","","kne","","колено","rodilla","knä","diz"
"body_parts","leg","noga","leg","leg","רגליים","gambe","bein","нога","нога","piernas","ben","bacak"
"body_parts","lips","","","lips","","","","","губы","","",""
"body_parts","moustache","","","","","","","","","bigote","",""
"body_parts","mouth","usta","mouth","mouth","פה ","bocca","munn","рот","рот","boca","mun","ağız"
"body_parts","nails","nokti","","","ציפורניים","","","","ногти","","",""
"body_parts","neck","","","","","","","шея","шея","","",""
"body_parts","nose","nos","nose","nose","אף","naso","nese","нос","нос","nariz","näsa","burun"
"body_parts","owie","","owie/boo boo","","","","","","","","",""
"body_parts","owie/boo boo","","","owie/boo boo","","","","","","","",""
"body_parts","palm","","","","","","","","ладонь","","",""
"body_parts","penis","","","","","organo genitale masch","tiss","","","","",""
"body_parts","penis*","","","penis*","","","","","","","",""
"body_parts","shoulder","","","shoulder","","","","","плечи","","",""
"body_parts","thumb","","","","אגודל","","","","","","",""
"body_parts","toe","prst","toe","toe","","","tå","","","","tå",""
"body_parts","tongue","jezik","tongue","tongue","לשון","lingua","tunge","язык","язык","lengua","tunga","dil"
"body_parts","tooth","zub","tooth","tooth","שיניים","denti","tenner","зубы","зубы","dientes","tand","diş"
"body_parts","tummy","trbuh","tummy","tummy","בטן","pancia","mage","живот","живот","panza","mage","göbek"
"body_parts","vagina","","","","","organo genitale femm","","","","","",""
"body_parts","vagina*","","","vagina*","","","","","","","",""
