"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"food_drink","apple","jabuka","apple","apple","תפוח","mela","eple","яблоко","яблоко","manzana","äpple","elma"
"food_drink","applesauce","","","applesauce","","","","","","","",""
"food_drink","banana","banana","banana","banana","בננה","banana","banan","банан","банан","platano","banan","muz"
"food_drink","beans","","","beans","","","","","фасоль","frijole","",""
"food_drink","beet","","","","","","","","свекла","","",""
"food_drink","berry","","","","","","","ягода","ягода","","",""
"food_drink","bib","","","","","bavaglino","","","","","",""
"food_drink","biscuit","","","","","","","","","","skorpa",""
"food_drink","blueberry","","","","","","","","черника","","",""
"food_drink","bread","kruh","bread","bread","לחם","pane","brød","хлеб","хлеб","pan","bröd","ekmek"
"food_drink","bun","","","","לחמניה","","","булка","булка","","",""
"food_drink","butter","","butter","butter","מרגרינה","","smør","масло","масло","","smör",""
"food_drink","cabbage","","","","","","","капуста","капуста","","",""
"food_drink","cacao","kakao","","","","","","","","","",""
"food_drink","cake","kolač","cake","cake","עוגה","torta","kake","","пирог, торт","pastel","","kek, pasta"
"food_drink","candy","bombon","candy","candy","ממתק","caramella","sukkertøy","конфета","конфета","dulce","godis","şeker"
"food_drink","carrots","mrkva","carrots","carrots","גזר","carote","gulrot","морковка","морковка","","morot","havuç"
"food_drink","cereal","kašica","cereal","cereal","דייסה","","frokostblanding","каша","каша","cereal","flingor",""
"food_drink","cheerios","čokolino","cheerios","cheerios","במבה","","corn flakes","","","","",""
"food_drink","cheese","sir","cheese","cheese","גבינה","formaggio","ost","сыр","сыр","queso","ost","peynir"
"food_drink","chicken","","","","","pollo","","","","","",""
"food_drink","chicken (food)","piletina","chicken (food)","chicken (food)","עוף","","kylling","","курица","pollo","kyckling",""
"food_drink","chilli","","","","","","","","","chile","",""
"food_drink","chips","","","","","","","","чипсы","","",""
"food_drink","chocolate","čokolada","","chocolate","שוקו","cioccolata","","","шоколад","","","çikolata"
"food_drink","clementine","","","","קלמנטינה","","","","","","",""
"food_drink","coffee","čaj","coffee","coffee","קפה","","kaffe","","кофе","cafe","kaffe","çay"
"food_drink","coke","","","coke","","","","","","","",""
"food_drink","compote","","","","","","","компот","компот","","",""
"food_drink","cookie","keks","cookie","cookie","","biscotti","bolle","печенье","печенье, пряник","galleta","kaka","kurabiye"
"food_drink","corn","","","corn","","","","","кукуруза","","",""
"food_drink","cottage cheese","","","","","","","творог","творог","","",""
"food_drink","cracker","","cracker","cracker","קרקר","cracker","kjeks","","","","kex","bisküvi"
"food_drink","cucumber","","","","מלפפון","","","огурец","огурец","","",""
"food_drink","cutlet","","","","","","","","котлета","","",""
"food_drink","donut","","","donut","","","","","","","",""
"food_drink","drink (beverage)","","drink (beverage)","drink (beverage)","","","drikke","","","","",""
"food_drink","egg","jaje","egg","egg","חביתה","uovo","egg","яйцо","яйцо","huevo","ägg","yumurta"
"food_drink","fish (food)","riba","fish (food)","fish (food)","דג","","fisk","рыба","рыба","","fisk","balık"
"food_drink","food","hrana","food","food","אוכל","","mat","","еда","comida","mat","yemek"
"food_drink","french fries","","","french fries","","","","","","","",""
"food_drink","fruit","","","","","","","","фрукт","","","meyve"
"food_drink","grapes","","","grapes","","uva","","","виноград","uvas","",""
"food_drink","green beans","","","green beans","","","","","","","",""
"food_drink","gum","","","gum","","","","","","","",""
"food_drink","ham","","","","","","","","","jamon","",""
"food_drink","hamburger","","","hamburger","","","","","","","",""
"food_drink","honey","","","","דבש","miele","","","мед","","","bal"
"food_drink","hot dog","","","","נקניק","","","сосиска","сосиска","salchch","",""
"food_drink","ice","","","ice","","","","","","","",""
"food_drink","ice cream","sladoled","ice cream","ice cream","ארטיק","","is","","мороженое","helado","glass","dondurma"
"food_drink","icecream","","","","","gelato","","","","","",""
"food_drink","jam","","","","ריבה","","","","варенье","","","reçel"
"food_drink","jello","","","jello","","","","","","","",""
"food_drink","jelly","","","jelly","","","","","","","",""
"food_drink","juice","sok","juice","juice","מיץ","","juice","сок","сок","jugo","juice",""
"food_drink","kefir","","","","","","","кефир","кефир","","",""
"food_drink","kiwi","","","","","","","","киви","","",""
"food_drink","lemon","","","","","","","","","","","limon"
"food_drink","lollipop","","","lollipop","","","","","чупа-чупс","paleta","",""
"food_drink","meat","meso","meat","meat","בשר","carne","kjøtt","мясо","мясо","carne","kött","et"
"food_drink","meat balls","","","","","polpette","","","","","",""
"food_drink","meatball","","","","קציצה","","","","","","köttbullar","köfte"
"food_drink","melon","","","melon","","","","","","","",""
"food_drink","milk","mlijeko","milk","milk","חלב","latte","melk","молоко","молоко","leche","mjölk","süt"
"food_drink","muffin","","","muffin","","","","","","","",""
"food_drink","mushrooms","","","","","","","","грибы","","",""
