"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"helping_verbs","am","","","am","","","","","","","",""
"helping_verbs","are","","","are","","","","","","","",""
"helping_verbs","be","","","be","","","","","","","",""
"helping_verbs","can (auxiliary)","","","can (auxiliary)","","","","","","","",""
"helping_verbs","could","","","could","","","","","","","",""
"helping_verbs","did/did ya","","","did/did ya","","","","","","","",""
"helping_verbs","do","","","do","","","","","","","",""
"helping_verbs","does","","","does","","","","","","","",""
"helping_verbs","don't","","","don't","","","","","","","",""
"helping_verbs","gonna/going to","","","gonna/going to","","","","","","","",""
"helping_verbs","gotta/got to","","","gotta/got to","","","","","","","",""
"helping_verbs","hafta/have to","","","hafta/have to","","","","","","","",""
"helping_verbs","is","","","is","","","","","","","",""
"helping_verbs","lemme/let me","","","lemme/let me","","","","","","","",""
"helping_verbs","need/need to","","","need/need to","","","","","","","",""
"helping_verbs","try/try to","","","try/try to","","","","","","","",""
"helping_verbs","wanna/want to","","","wanna/want to","","","","","","","",""
"helping_verbs","was","","","was","","","","","","","",""
"helping_verbs","were","","","were","","","","","","","",""
"helping_verbs","will","","","will","","","","","","","",""
"helping_verbs","would","","","would","","","","","","","",""
