"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"locations","about","","","about","","","","","","","",""
"locations","above","","","above","","sopra","","","","","",""
"locations","around","","","around","","","","","","","",""
"locations","at","","","at","","a","","","","","",""
"locations","away","","away","away","","lontano","bort","","","","bort",""
"locations","back","iza","back","back","מאחורי","","bak","","","atras","bakom","arkasında"
"locations","backward","","","","","","","","назад","","",""
"locations","behind","","","behind","","","","","","","",""
"locations","beside","","","beside","","","","","рядом","","",""
"locations","between","","","","בין","","","","","","",""
"locations","by","","","by","","da","","","","","av",""
"locations","down","dolje","down","down","למטה","giù","ned","вниз/внизу","вниз/внизу","abajo","ner",""
"locations","down (stairs)","","","","","","nede","","","","",""
"locations","far","","","","רחוק","","","","далеко","","",""
"locations","for","","","for","","per","","","","para","",""
"locations","forward","","","","","","","","вперед/впереди","","",""
"locations","from here","","","","","","","","отсюда","","",""
"locations","from there","","","","","","","","оттуда","","",""
"locations","front","","","","","","","","","","","önünde"
"locations","here","tu","","here","","","","вот, здесь, тут","вот, здесь, тут","aqui","","burada"
"locations","high","","","","","","","","высоко","","",""
"locations","home","","","","","","","домой","домой","","",""
"locations","in","u","in","inside/in","","in","i","","","en","i","içinde"
"locations","in front","ispred","","","","","","","","","",""
"locations","inside","unutra","inside","","בפנים","","inn, inne, inni","","","adentro","inuti","içeride"
"locations","inside/into","","","","","dentro","","","","","",""
"locations","into","","","into","","","","","","","",""
"locations","low","","","","","","","","низко","","",""
"locations","near","","","","","","","","близко/ближе","","",""
"locations","next to","","","next to","","","","","","","",""
"locations","of","","","of","","di","","","","de","",""
"locations","off","","off","off","","","av","","","","",""
"locations","on","na","on","on","על ","","på","","","encima","på","üstünde/üzerinde"
"locations","on top of","","","on top of","","","","","наверх/наверху","","",""
"locations","out","van(i)","out","out","","","ut, ute","","","afuera","ut","dışarıda"
"locations","over","","","over","","","","","","","",""
"locations","there","tamo","there","there","שם","","der","там, туда","вон, там","ahi, allaall","där","orada, şurada"
"locations","to","","","to","","","","","","","",""
"locations","to here","","","","","","","","сюда","","",""
"locations","to there","","","","","","","","туда","","",""
"locations","under","ispod","under","under","מתחת","sotto","under","","","","under","altında"
"locations","up","gore","up","up","למעלה","su","opp","вверх/вверху/наверх/наверху","вверх/вверху","arriba","upp",""
"locations","up (stairs)","","","","","","oppe","","","","",""
"locations","with","","","with","","con","","","","","",""
