"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"outside","backyard","dvorište","","","","","","","",""
"outside","barn","","","רפת","","","","","",""
"outside","beach","plaža","beach","חול","","","","playa","stranden",""
"outside","bridge","","","","","","","","","köprü"
"outside","bus station","","","תחנת אוטובוס","","","","","",""
"outside","church","crkva","church*","בית כנסת","","","церковь","iglstmp","kyrkan",""
"outside","cloud","","","","","","","nube","",""
"outside","clouds","","","","nuvole","","","","",""
"outside","country","","","","campagna","","","","",""
"outside","dust","","","","","","","","","toz"
"outside","earth","","","","terra","","","","",""
"outside","elevator","","","","ascensore","","","","",""
"outside","faucet","","","ברז","","","","","",""
"outside","field","livada","","","","","","campo","landet",""
"outside","fir","","","","","","елка","","",""
"outside","fire","","","","","","","","","ateş"
"outside","flower","cvijeće","flower","פרח","fiore","blomst","цветы","flor","","çiçek"
"outside","frost","","","","","","мороз","","",""
"outside","garage","","","","garage","","","","",""
"outside","garden","vrt","garden","גן","giardino","","","jardin","trädgård","bahçe"
"outside","grass","","","","","","трава","","",""
"outside","ground","","","אדמה","","","","","","toprak"
"outside","home","dom","home","","casa","","","","hemma",""
"outside","house","kuća","house","בית, מעון","","","дом","casa","hus",""
"outside","kindergarten","","","","asilo","","","","dagis",""
"outside","lawn","","","","prato","","","","",""
"outside","leaf","","","","","","","","","yaprak"
"outside","moon","mjesec","moon","ירח","luna","måne","луна","luna","måne","ay/aydede"
"outside","mud","","","","","","грязь","","","çamur"
"outside","outside","van(i)","outside","","","ute","","","ute",""
"outside","park","park","park","","","","парк","parque","",""
"outside","party","proslava","party","מסיבה","","","","fiesta","kalas",""
"outside","plant","","","","","","","planta","",""
"outside","playground","","","","parco giochi","","","","lekpark",""
"outside","pool","bazen","pool","בריכה","","","","albrpis","bassa","havuz"
"outside","puddle","","","","","","лужа","","",""
"outside","rain","kiša","rain","גשם","pioggia","regn","дождь","lluvia","regn","yağmur"
"outside","road","","","כביש","","","улица","","","yol"
"outside","rock","kamen","rock","אבן","montagna","stein","камень","piedra","sten","taş"
"outside","rocking chair","","","נדנדה","","","","","",""
"outside","roof","","","","","","","techo","",""
"outside","sand","","","","","","песок","","","kum"
"outside","school","škola","school","","","","","escuela","skola",""
"outside","sea","","","ים","mare","","","","",""
"outside","shovel","lopata","shovel","את","","spade","","","spade",""
"outside","sky","nebo","sky","שמיים","cielo","himmel","небо","cielo","himmel",""
"outside","slide (object)","","slide (object)","מגלשה","scivolo","sklie","горка","resbald","rutschbana","kaydırak"
"outside","snow","snijeg","snow","","neve","snø","снег","nieve","snö",""
"outside","star","zvijezda","star","כוכב","stella","stjerner","звезда","estrell","stjärna","yıldız"
"outside","stick","","","","","","палка","","",""
"outside","stone","","","","sasso","","","","",""
"outside","store","trgovina","store","חנות, סופר","negozio","","магазин","tienmer","affär",""
"outside","street","","","","strada","","","calle","","sokak"
"outside","sun","sunce","sun","שמש","sole","sol","солнце","sol","sol","güneş"
"outside","swing (object)","ljuljačka","swing (object)","","altalena","huske","качели","columpi","gunga","salıncak"
"outside","tree","drvo","tree","עץ","albero","tre","дерево","arbol","träd","ağaç"
"outside","wall","","","","","","","","","duvar"
"outside","water (not beverage)","voda","water (not beverage)","","","vann","","","vatten",""
"outside","wind","","","","vento","","ветер","","",""
"outside","work (place)","posao","work (place)","עבודה","","","работа","","arbetet",""
"outside","yard","","backyard","גינה, חצר","","","двор","","gård",""
"outside","zoo","zoološki (vrt)","zoo","גן חיות","zoo","","зоопарк","zoologi","",""
