"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"pronouns","he","","","he","","lui","","","он","el1","",""
"pronouns","her","njezin","her","her","הינה","","hennes","она","ей","ella","henne",""
"pronouns","hers","","","hers","","","","","ее, ее","","",""
"pronouns","him","","","him","","","","","ему","lo","",""
"pronouns","himself/herself","","","","","","","сам/сама","","","",""
"pronouns","his","njegov","his","his","הוא","","hans","он","его, его","su","hans","onun"
"pronouns","his/hers","","","","","suo/a","","","","","",""
"pronouns","i","ja","i","i","אני","io","jeg","я","я","yo","jag","ben"
"pronouns","it","to","it","it","","","det","","","le","det","ona"
"pronouns","me","meni","me","me","אותי","","meg","мне/меня","меня, мне","me","","bana"
"pronouns","me/myself","","","","","me/mi","","","","","",""
"pronouns","mine","","mine","mine","שלי","","","","","mia, mias, mio, mios","min",""
"pronouns","mine/my","","","","","mio/a","","","","","",""
"pronouns","my","moj","my","my","","","min","мой/моя","","","mig","benim"
"pronouns","myself","","","myself","","","","","сам/сама","","",""
"pronouns","our","","","our","","","","наш","","","",""
"pronouns","ours","","","","","","","","наш","","",""
"pronouns","same","","","","","","","","такой/такой же/такая","","",""
"pronouns","self","","","","","","","","","se","",""
"pronouns","she","","","she","","lei","","","она","","",""
"pronouns","someone","","","","","","","","","","","biri"
"pronouns","that","ono","that","that","","quello/a","","","тот/та/те","aquel, aquela, esa, ese, eso","den, den där","o, şu"
"pronouns","the","","","","","","den","","","","",""
"pronouns","their","","","their","","","","","","","",""
"pronouns","theirs","","","","","","","","их, их","","",""
"pronouns","them","","","them","","","","","им","les","",""
"pronouns","these","","","these","","","","","","estas, estos","",""
"pronouns","they","","","they","","","","","они","ellas, ellos","",""
"pronouns","they/their/them","","","","","loro","","","","","",""
"pronouns","this","ovo","this","this","זה","questo/a","denne, dette","это/этот/эти","","esta, este, esto","den här","bu"
"pronouns","those","","","those","","","","","","esas, esos","",""
"pronouns","to you","","","","","","","","","","","sana"
"pronouns","us","","","us","","","","мы","нас, нам","","",""
"pronouns","we","","","we","","","","","мы","","",""
"pronouns","we/us","","","","","noi","","","","","",""
"pronouns","you","tebi, ti","you","you","אתה","tu, voi","du","тебе/ты","ты, тебя, тебе","te, tu","du/din","sen"
"pronouns","you (plural)","","","","","","","","вы, вас, вам","","",""
"pronouns","your","tvoj","your","your","שלך","tuo/a","din","твой","","tuya, tuyas, tuyo, tuyos","","senin"
"pronouns","yours","","","","","","","","твой, ваш","","",""
"pronouns","yourself","","","yourself","","","","","","","",""
