"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"sounds","awoo","","","","","","уу","","",""
"sounds","baa baa","ga-ga","baa baa","מה מה","beh beh","bææ","бе, ме","beemee","bä bä","mee"
"sounds","bang","","","","","","","pum","",""
"sounds","beep beep","","","","","","биби","","",""
"sounds","bzzz","","","בזז","","","жж","","",""
"sounds","caw","","","","","","кар","","",""
"sounds","choo choo","ku-ku, tu-tu","choo choo","ציק ציק צאק","tuttù","tøff-tøff","ту-ту/чух-чух","tutu","tuff tuff",""
"sounds","click","","","","","","чик","","",""
"sounds","clop clop","","","","clop clop","","","","",""
"sounds","cluck","","","","","","ко-ко","","",""
"sounds","cockadoodledoo","kukuriku","cockadoodledoo","קוקוריקו","coccodè","kykeliky","кукареку","qiqiriq","kuckeliku",""
"sounds","croak","","","","","","ква","","",""
"sounds","don't","","","","","","","","","cıss"
"sounds","drip drop","","","","","","кап-кап","","",""
"sounds","gobble gobble","","","","","","бл-бл","","",""
"sounds","grr","","","","grr","","","","",""
"sounds","grrr","grr","grrr","","","grr","ррр","","grrr",""
"sounds","hee haw","","","אי אה","","","иа","","",""
"sounds","hello","","","","","","алё","","",""
"sounds","honk honk","","","","","","га-га","pipi","",""
"sounds","hop","","","","","","прыг","","",""
"sounds","knock knock","","","","","","тук-тук","","",""
"sounds","lah lah","","","","","","ля-ля-ля","","",""
"sounds","meow","mijau","meow","מיאו","miao","mjau","мяу","miau","mjau","pisi-pisi"
"sounds","moo","muu","moo"," מו","muh","møø","му","muu","mu","möö"
"sounds","neigh","","","","","","иго-го/цока-ющий звук","","",""
"sounds","oh","","","אוי ","","","","","",""
"sounds","oink","","","","","","хрр/хрю","","",""
"sounds","opa","","","הופה","","","","","",""
"sounds","ouch","jao","ouch","","","au","","ay","","uf"
"sounds","peekaboo","","","","","","","","","cee"
"sounds","peep peep","","","ציף ציף","","","","","",""
"sounds","quack quack","kva-kva","quack quack","געגע","qua qua","gakk gakk","кря","cuacua","kvack kvack",""
"sounds","ring ring","","","","","","динь-динь","","",""
"sounds","shh","","","ששש","","","тсс","","",""
"sounds","squeak","","","","","","пи-пи","","",""
"sounds","sss","","","","","","шш","","",""
"sounds","stomp stomp","","","","","","топ-топ","","",""
"sounds","thump","","","","","","бух/бах/бам","","",""
"sounds","tick tock","","","","","","тик-так","","",""
"sounds","tweet tweet","","","","cip cip","","","piopio","",""
"sounds","uh oh","","uh oh","","ih oh","","","","",""
"sounds","up","","","","","","","","","hop/hoppa"
"sounds","vroom","brr-brr","vroom","וון וון","brum brum","brrr (bil-lyd)","брр/ввв и т.п.","","brrr","düt"
"sounds","weee","","","","","","а-а-а","","",""
"sounds","woof woof","vau-vau","woof woof","הב הב","","voff voff","ав","guagua","vov vov","havhav"
"sounds","yucky","","","","","","фу","","",""
"sounds","yum yum","njam-njam","yum yum","הם ","","nam - nam","ам-ам/ням-ням","am","nam nam","ham"
