"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"toys","album","","","","","","","","альбом","","",""
"toys","ball","lopta","ball","ball","כדור","palla","ball","мяч","мяч","pelota","boll","top"
"toys","balloon","balon","balloon","balloon","בלון","","ballong","","шарик","globo","ballong","balon"
"toys","bat","","","bat","","","","","","","",""
"toys","beads","","","","חרוזים","","","","","","",""
"toys","block","kocka","block","block","קוביה","cubi","klosser","кубики","кубики","","kloss",""
"toys","book","knjiga","book","book","ספר","","bok","книга","книга","libro","bok","kitap"
"toys","book/story","","","","","favola/storia","","","","","",""
"toys","brush","","","","","","","","кисточка","","",""
"toys","bubbles","","bubbles","bubbles","בועות","","såpebobler","","","","såpbubblor",""
"toys","bucket","","","","","secchiello","","ведро","ведро","","","kova"
"toys","chalk","","","chalk","","","","","","","",""
"toys","clown","","","","ליצן","","","","","","",""
"toys","crayon","","","crayon","","","","","","","","boya"
"toys","doll","lutka","doll","doll","בובה","bambola","dukke","кукла","кукла","muneca","docka","bebek"
"toys","drum","","","","","","","","","tambor","",""
"toys","game","","","game","","","","","","","",""
"toys","glue","","","glue","","","","","клей","","",""
"toys","marker","","","","","","","","фломастер","","",""
"toys","mold","","","","","","","","формочка","","",""
"toys","paint","","","","","","","","краски","","",""
"toys","pen","olovka","pen","pen","עט","","(farge)blyant","карандаш/ручка","ручка","lapiz","penna","kalem"
"toys","pencil","","","pencil","","","","","карандаш","","",""
"toys","picture","","","","","","","","фотографии","","",""
"toys","play dough","","","play dough","","","","","пластилин","","",""
"toys","present","","","present","","","","","","","",""
"toys","puzzle","","","puzzle","","","","","мозаика/пазл","","",""
"toys","rake","","","","","","","","грабли","","",""
"toys","rattle","","","","רעשן","","","","","","",""
"toys","shovel","lopatica","","","","","","лопатка/совок","лопатка","","",""
"toys","song","","","","","","","","песенка","","",""
"toys","spade","","","","","paletta","","","совок","","",""
"toys","spinning top","","","","","trottola","","","","","",""
"toys","story","","","story","","","","","сказка","","",""
"toys","teddybear","","","","","","","","","osito","",""
"toys","top","","","","סביבון","","","","юла","","",""
"toys","tower","","","","מגדל","","","","","","",""
"toys","toy","","","","","giocattolo","","","игрушка","","",""
"toys","toy (object)","igračka","toy (object)","toy","צעצוע","","leke","игрушка","","juguete","leksak","oyuncak"
