"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"vehicles","airplane","avion","airplane","airplane","מטוס","aereo","fly","самолет","самолет","avion","flygplan","uçak"
"vehicles","ambulance","","","","אמבולנס","","","","","","",""
"vehicles","bicycle","bicikl","bicycle","bicycle","אופניים","bicicletta","sykkel","велосипед","велосипед","bicicle","cykel","bisiklet"
"vehicles","boat","","","boat","","barca","","","","","",""
"vehicles","bus","autobus","bus","bus","אוטובוס","autobus","buss","автобус","автобус","","buss","otobüs"
"vehicles","car","auto","car","car","אוטו","automobile","bil","машина","машина","carro","bil","araba"
"vehicles","firetruck","","firetruck","firetruck","","","brannbil","","пожарная машина","camibom","brandbil",""
"vehicles","helicopter","","","helicopter","","","","","вертолет","","",""
"vehicles","jeep","","","","ג'יפ","","","","","","",""
"vehicles","motorcycle","motor","motorcycle","motorcycle","אופנוע","motocicletta","motorsykkel","","","moto","motorcykel",""
"vehicles","ship","brod","","","","","","","кораблик","barco","","gemi/vapur"
"vehicles","sled","","","sled","","","","","санки","","",""
"vehicles","stroller","","stroller","stroller","עגלה","passeggino","barnevogn","коляска","коляска","carreol","barnvagn",""
"vehicles","tractor","","","tractor","טרקטור","","","трактор","трактор","","traktor",""
"vehicles","train","vlak","train","train","קטר , רכבת","treno","tog","паровоз, поезд","паровоз, поезд","tren","tåg","tren"
"vehicles","tram","tramvaj","","","","","","","","","",""
"vehicles","tricycle","","","tricycle","","","","","","","",""
"vehicles","truck","kamion","truck","truck","משאית","camion","lastebil","грузовик","грузовик","camion","lastbil","kamyon"
