"lexical_category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"other","a lot","","","","","tanto","","","","","",""
"other","after","","","after","אח'כ","dopo/poi","","потом","","despues","",""
"other","all","","","","","tutto","","","","","",""
"other","all gone","","","","אין","","","","","","","yok"
"other","angry","","","","כועס","","","","","","",""
"other","any","","","","","niente, un po'","","","","","",""
"other","aunt","teta","aunt","aunt","","zia","tante","тетя","тетя","tia","faster, moster","hala, teyze"
"other","awoo","","","","","","","уу","уу","","",""
"other","baa baa","ga-ga","baa baa","baa baa","מה מה","beh beh","bææ","бе, ме","бе, ме","beemee","bä bä","mee"
"other","baby","beba","baby","baby","תינוק","","baby","малыш","малыш","bebe","baby","bebek"
"other","babysitter","","babysitter","babysitter","","babysitter/tata","","няня","няня","nana","barnvakt",""
"other","babysitter's name","ime osobe koja čuva dijete","babysitter's name","babysitter's name","","","","","имя воспитательницы/няни","","barnvaktens namn",""
"other","bang","","","","","","","","","pum","",""
"other","barber","","","","","barbiere","","","","","",""
"other","bath","kupanje","bath","bath","לעשות אמבטיה","fare il bagno","bade","","","","bada",""
"other","bathhouse","","","","","","","","баня","","",""
"other","bathroom","","","","","","","","","","","banyo"
"other","beach","","","beach","","","strand","","","","",""
"other","beep beep","","","","","","","биби","биби","","",""
"other","before","","","before","","","","","","","",""
"other","bless you","","","","","","","","","salud","",""
"other","boogeyman","","","","","","","","","","","öcü"
"other","boy","dječak","boy","boy","ילד","","gutt","мальчик","мальчик","nino","pojke",""
"other","boy/girl","","","","","ragazzo/a","","","","","",""
"other","bravo","","","","","","","","","","","aferin"
"other","breakfast","doručak","breakfast","breakfast","","","frokost","","завтрак","","frukost",""
"other","brother","brat","brother","brother","","fratello","bror","брат/имя брата","брат","hermano","bror","abi"
"other","brother's name","","","","","","","","имя брата","","",""
"other","bye","pa-pa","bye","bye","ביי","","ha det","пока","пока, до свидания","adiosby","hej då","bay-bay, güle-güle, hoşçakal"
"other","bzzz","","","","בזז","","","жж","жж","","",""
"other","call (on phone)","","","call (on phone)","","","","","","","",""
"other","camping","","","camping","","","","","","","",""
"other","can","","","","","","","","можно","","",""
"other","can (auxiliary)","","","","אפשר","","","можно","","","",""
"other","caw","","","","","","","кар","кар","","",""
"other","child","dijete","child","child","","bimbo/a","barn","дети","ребенок, дети","","barn","çocuk"
"other","child's own name","svoje ime","child's own name","child's own name","","il suo nome","barnets navn","имя ребенка","имя ребенка","nomnin","barnets eget namn","kendi ismi"
"other","children","djeca","","","","","","","","","",""
"other","choo choo","ku-ku, tu-tu","choo choo","choo choo","ציק ציק צאק","tuttù","tøff-tøff","ту-ту/чух-чух","ту-ту/чух-чух","tutu","tuff tuff",""
"other","church","","","","","","kirke","","церковь","","",""
"other","church*","","","church*","","","","","","","",""
"other","circus","","","circus","","","","","","","",""
"other","city","","","","","","","","город","","",""
"other","clap","","","","מחא כפיים","","","","","","","alkış"
"other","click","","","","","","","чик","чик","","",""
"other","clown","","","clown","","","","","клоун","","","palyaço"
"other","cluck","","","","","","","ко-ко","ко-ко","","",""
"other","cockadoodledoo","kukuriku","cockadoodledoo","cockadoodledoo","קוקוריקו","coccodè","kykeliky","кукареку","кукареку","qiqiriq","kuckeliku",""
"other","come on","","","","","","","","","","","hadi"
"other","country","","","country","","","","","","","",""
"other","country house","","","","","","","","дача","","",""
"other","cousin","","","","","cugino/a","","","","","",""
"other","cowboy","","","cowboy","","","","","","","",""
"other","croak","","","","","","","ква","ква","","",""
"other","cut it out","","","","","basta","","","","","",""
"other","daddy","tata","daddy*","","אבא","papà","pappa","папа","папа","papa","pappa","baba"
"other","daddy*","","","daddy*","","","","","","","",""
"other","daughter","","","","","","","","дочка","","",""
"other","day","dan","day","day","","","dag","днем","день, днем","dia","dag",""
"other","dinner","večera","dinner","dinner","","","middag","","ужин","","middag",""
"other","doctor","doktor","","doctor","","dottore","","доктор/врач","доктор/врач","","","doktor"
"other","don't","nemoj","don't","","די","","ikke","брысь/кыш, нельзя","нельзя","","","hayır, cıss"
"other","downtown","","","downtown","","","","","","","",""
"other","drip drop","","","","","","","кап-кап","кап-кап","","",""
"other","early","","","","","","","рано","рано","tempran","",""
"other","eat","","","","ללכת לאכול","","","","","","",""
"other","evening","","","","","","","","вечер, вечером","","","akşam"
"other","family","","","","","","","","","familia","",""
"other","farm","","","farm","","","","","","","",""
"other","father's name","","","","","","","имя папы","имя мамы","","",""
"other","fireman","","","fireman","","","","","","","",""
"other","food","","","","","","","","","","","mama"
"other","friend","","","friend","חבר","","","","друг, подруга","","","arkadaş"
"other","friends' names","","","","","","","","имена знакомых детей","","",""
"other","garage","","","","","","","","гараж","","",""
"other","garden","","","","","","hage","","сад/садик","","",""
"other","gas station","","","gas station","","","","","","","",""
"other","girl","djevojčice","girl","girl","","","jente","девочка","девочка","nina","flicka","kız"
"other","give me five!","","","give me five!","","","","","","","",""
"other","go","","","","","via","","","","","",""
"other","go potty","","","go potty","","","","","","","",""
"other","goal","","","","","","","","","","","gol"
"other","gobble gobble","","","","","","","бл-бл","бл-бл","","",""
"other","godfather","kum/kuma","","","","","","","","padrino","",""
"other","godmother","","","","","","","","","madrina","",""
"other","gonna get you!","","","gonna get you!","","","","","","","",""
"other","good boy/girl","","","","","bravo","","","","","",""
"other","good morning","","","","בוקר טוב","","","","доброе утро","buendia","","günaydın"
"other","good night","laku noć","night night","night night","לילה טוב","","god natt","","спокойной ночи","buennoc","god natt","iyi geceler"
"other","grandma","baka","grandma*","","סבתא","nonna","bestemor, farmor, mormor","бабушка","бабушка","abuela","farmor, mormor","anneanne/babaanne/büyükanne, nine"
"other","grandma*","","","grandma*","","","","","","","",""
"other","grandpa","djed","grandpa*","","סבא","nonno","bestefar, farfar, morfar","дедушка","дедушка","abuelo","farfar, morfar","dede"
"other","grandpa*","","","grandpa*","","","","","","","",""
"other","great grandma","","","","","","oldemor","","","","",""
"other","great grandpa","","","","","","oldefar","","","","",""
"other","grocery","","","","","","","","","","","bakkal"
"other","grr","","","","","grr","","","","","",""
"other","grrr","grr","grrr","grrr","","","grr","ррр","ррр","","grrr",""
"other","guest","","","","","","","","гость","","",""
"other","hairdresser","","","","","parrucchiere","","","","","",""
"other","hands up","","","","","","","","","manos2","",""
"other","have","","","","יש לי","","","","","","",""
"other","have hands","","","","","","","","","tengman","",""
"other","hee haw","","","","אי אה","","","иа","иа","","",""
"other","hello","dobar dan","hello","hello","","","","алё","алё, здравствуй/те","","","alo"
"other","here (take)","","","","","","","на (возьми)","","","",""
"other","hi","bog/bok!","hi","hi","היי","ciao","hei","привет","привет","hola","hej",""
"other","hide and seek","","","","","","","тю-тю","","","","saklambaç"
"other","home","","","home","","","hjem","","","","","ev"
"other","honk honk","","","","","","","га-га","га-га","pipi","",""
"other","hop","","","","","","","прыг","прыг","","",""
"other","house","","","house","","","hus","","дом","","",""
"other","kindergarten","","","","","","","","детский сад","","",""
"other","kiss","","","","","","","","","besitos","",""
"other","knock knock","","","","","","","тук-тук","тук-тук","","",""
"other","lady","","lady","lady","","","dame","","","","tant",""
"other","lah lah","","","","","","","ля-ля-ля","ля-ля-ля","","",""
"other","lake","","","","","","","","озеро","","",""
"other","late","","","","","tardi","","поздно/позже","поздно","","",""
"other","later","poslije","later","later","","","senere","","потом","","senare",""
"other","let","","","","","","","","пусть/пускай","","",""
"other","like this","","","","","","","вот так!","","","",""
"other","little/few","","","","","poco","","","","","",""
"other","look at me","","","","","","","","","ojitos","",""
"other","lullaby","","","","","","","","","","","ninni"
"other","lunch","ručak","lunch","lunch","צהריים","","lunsj","","обед, полдник","","lunch",""
"other","mailman","","","mailman","","","","","","","",""
"other","man","striček","man","man","","","mann","","","senor","man","adam"
"other","market","","","","","","","","","","","çarşı, market, pazar"
"other","meow","mijau","meow","meow","מיאו","miao","mjau","мяу","мяу","miau","mjau","pisi-pisi"
"other","moment","","","","רגע","","","","","","",""
"other","mommy","mama","mommy*","","אמא","mamma","mamma","мама","мама","mama","mamma","anne"
"other","mommy*","","","mommy*","","","","","","","",""
"other","moo","muu","moo","moo"," מו","muh","møø","му","му","muu","mu","möö"
"other","more","","","","עוד","ancora","","","","","",""
"other","morning","jutro","morning","morning","בוקר","mattina","morgen","утром","утро, утром","","morgon","sabah"
"other","mother's name","","","","","","","имя мамы","имя папы","","",""
"other","movie","","","movie","","","","","","","",""
"other","much","","","","","di più, molto","","","","","",""
"other","music","","","","","","","","","","","müzik"
"other","names of friends","","","","","","","имена знакомых детей","","","",""
"other","nap","spavanje","nap","nap","ללכת לישון","nanna","sovetid","","","hacerme","sova middag",""
"other","need","","","","","","","надо/нужно","","","",""
"other","neigh","","","","","","","иго-го/цока-ющий звук","иго-го/цока-ющий звук","","",""
"other","neighbor","","","","שכן","","","","","","",""
"other","night","noć","night","night","לילה","notte","natt","ночью","ночь, ночью","noche","natt","gece"
"other","nightnight/good morning","","","","","buonanotte/buongiorno","","","","","",""
"other","no","ne","no","no","לא","no","nei","не буду, не хочу, нет","не буду, не хочу, нет","no","nej",""
"other","no more","","","","","non c'èpiù/più","","","","","",""
"other","none","","","","","nessuno","","","","","",""
"other","not","","","","","","","","","","inte",""
"other","now","sad(a)","now","now","עכשיו","adesso/ora","nå","сейчас","сейчас","ahorita","nu","hemen, şimdi"
"other","nurse","","","nurse","","","","","","","",""
"other","oh","","","","אוי ","","","","","","",""
"other","oink","","","","","","","хрр/хрю","хрр/хрю","","",""
"other","ok","","","","","","","","","","","tamam"
"other","one two three","","","","","un due tre","","","","unodstr","",""
"other","opa","","","","הופה","","","","","","",""
"other","ouch","jao","ouch","ouch","","","au","","","ay","","uf"
"other","outing","","","","","","","","гости","","","atta"
"other","outside","","","outside","","","","","","","","dışarı"
"other","owie","","","","כואב לי","","","","","","",""
"other","park","","","park","","","park","","парк","","","park"
"other","party","","","party","","","fest","","","","",""
"other","pattycake","ringe-raja","pattycake","pattycake","","","klappe kake","","","tortlit","baka kaka",""
"other","peekaboo","ku-ku","peekaboo","peekaboo","לשחק בקוקו","cuccù-settete","borte! (lek hvor ansikt gjemmes og plutselig vises)","ку-ку","","","tittut","cee"
"other","peep peep","","","","ציף ציף","","","","","","",""
"other","people","ljudi","people","people","","persone","","люди","люди","","människor",""
"other","person","","person","person","איש","","menneske","человек","человек","persona","person",""
"other","pet's name","","","pet's name","","","","клички домашних животных","клички домаш-них животных","","",""
"other","picnic","","","picnic","","","","","","","",""
"other","playground","","","playground","","","","","площадка (детская)","","",""
"other","playgroup","","","","","","","","группа","","",""
"other","please","molim","please","please","בבקשה","","vær så snill","","пожалуйста","porfavo","varsågod",""
"other","police","","","police","","","","","","","",""
"other","policeman","","","","","","","","","","","polis"
"other","pool","","","","","","svømmehall","","бассейн","","",""
"other","potty","","","","","","","","","","","çiş, kaka"
"other","present","","","","","","","","","","","var"
"other","pretend","","","","לעשות כאילו","","","","","","",""
"other","quack quack","kva-kva","quack quack","quack quack","געגע","qua qua","gakk gakk","кря","кря","cuacua","kvack kvack",""
"other","ring ring","","","","","","","динь-динь","динь-динь","","",""
"other","river","","","","","","","","река","","",""
"other","row row your boat","","","","","","","","","acerrin","",""
"other","sabbath","","","","שבת","","","","","","",""
"other","sandbox","","","","","","","","песочница","","",""
"other","school","","","school","","","skole","","","","","okul"
"other","sea","","","","","","","","","","","deniz"
"other","shame","","","","","","","","","","","ayıp"
"other","shh","psst-tiho","shh/shush/hush","","ששש","","hysj","тсс","тсс","shhh","sch /hysch",""
"other","shh/shush/hush","","","shh/shush/hush","","zitto/sch","","","","","",""
"other","shopping","","","shopping","","","","","","","",""
"other","should","","","","צריך","","","","","","",""
"other","sibling","","","","","","","","","","","kardeş"
"other","sing","","","","","","","","","","","şarkı"
"other","sir/lady","","","","","signore/a","","","","","",""
"other","sister","sestra","sister","sister","","sorella","søster","сестра/имя сестры","сестра","hermana","syster","abla"
"other","sister's name","","","","","","","","имя сестры","","",""
"other","sleep","","","","","","","","","","","uyku"
"other","slide (object)","","","","","","","","горка","","",""
"other","snack","","","snack","","","","","","","",""
"other","so big!","","","so big!","","","","","","","",""
"other","somersault","","","","","","","","","","","takla"
"other","son","","","","","","","","сын","","",""
"other","soon","","","","","","","","скоро","","",""
"other","squeak","","","","","","","пи-пи","пи-пи","","",""
"other","sss","","","","","","","шш","шш","","",""
"other","stomp stomp","","","","","","","топ-топ","топ-топ","","",""
"other","store","","","store","","","butikk","","магазин","","","dükkan"
"other","street","","","","","","","","улица","","",""
"other","surprise","","","","","","","","","","","sürpriz"
"other","swing (object)","","","","","","","","качели","","",""
"other","take in (arms)","","","","","","","","","","","kucak"
"other","teacher","","teacher","teacher","גננת","maestro/a","","","воспитательница","maestra","lärare",""
"other","ten fingers","","","","עשר אצבעות","","","","","","",""
"other","thank you","hvala","thank you","thank you","","","takk","спасибо","cпасибо","gracias","tack","teşekkür/sağol"
"other","thankyou","","","","","grazie/prego","","","","","",""
"other","this little piggy","","","this little piggy","","","","","","","",""
"other","thump","","","","","","","бух/бах/бам","бух/бах/бам","","",""
"other","tick tock","","","","","","","тик-так","тик-так","","",""
"other","tickle","","","","","","","","","cosqlit","",""
"other","time","","","time","פעם","","","","","","",""
"other","to poop/go potty","","","","","fare la popò/pipì","","","","","",""
"other","to slap","","","","","dare le tottò","","","","","",""
"other","today","danas","today","today","היום","oggi","i dag","","сегодня","hoy","idag","bugün"
"other","tomorrow","sutra","tomorrow","tomorrow","מחר","domani","i morgen","завтра","завтра","manana","imorgon",""
"other","tonight","večeras","tonight","tonight","","","i kveld","","","","ikväll",""
"other","traffic officer","","","","","vigile","","","","","",""
"other","turn around","","","turn around","","","","","","","",""
"other","tweet tweet","","","","","cip cip","","","","piopio","",""
"other","uh oh","","uh oh","uh oh","","ih oh","","ай-я-яй","","","",""
"other","uncle","stric, ujak","uncle","uncle","דוד","zio","onkel","дядя","дядя","tio","farbror, morbror","amca, dayı"
"other","up","","","","","","","","","","","hop/hoppa"
"other","village","","","","","","","","","","","köy"
"other","vroom","brr-brr","vroom","vroom","וון וון","brum brum","brrr (bil-lyd)","брр/ввв и т.п.","брр/ввв и т.п.","","brrr","düt"
"other","wait","čekaj!","wait","","","","vent","","","","vänta",""
"other","walk","","","","ללכת לטייל","","","","","","",""
"other","wanna","hoću","wanna/want to","","אני רוצה","","vil","","","","vill /vill ha",""
"other","watch out","","","","","","","","","","","dikkat"
"other","weee","","","","","","","а-а-а","а-а-а","","",""
"other","who's there","","","","","","","кто там?","кто там?","","",""
"other","woman","","","","","","","","","senora","",""
"other","woods","","","woods","","","","","лес","","",""
"other","woof woof","vau-vau","woof woof","woof woof","הב הב","","voff voff","ав","ав","guagua","vov vov","havhav"
"other","work (place)","","","work (place)","","","jobb","","работа","","","iş"
"other","yard","","","yard","","","","","двор","","",""
"other","yes","da","yes","yes","כן","sì","ja","да","да","si","ja","evet"
"other","yesterday","","","yesterday","אתמול","ieri","","вчера","вчера","ayer","",""
"other","yucky","","","","","","","фу","фу","","",""
"other","yum yum","njam-njam","yum yum","yum yum","הם ","","nam - nam","ам-ам/ням-ням","ам-ам/ням-ням","am","nam nam","ham"
"other","zoo","","","zoo","","","dyrehage","","зоопарк","","",""
