"lexical_class","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"other","a lot","","","","tanto","","","","",""
"other","after","","","אח'כ","dopo/poi","","потом","despues","",""
"other","all","","","","tutto","","","","",""
"other","all gone","","","אין","","","","","","yok"
"other","angry","","","כועס","","","","","",""
"other","any","","","","niente, un po'","","","","",""
"other","aunt","teta","aunt","","zia","tante","тетя","tia","faster, moster","hala, teyze"
"other","awoo","","","","","","уу","","",""
"other","baa baa","ga-ga","baa baa","מה מה","beh beh","bææ","бе, ме","beemee","bä bä","mee"
"other","baby","beba","baby","תינוק","","baby","малыш","bebe","baby","bebek"
"other","babysitter","","babysitter","","babysitter/tata","","няня","nana","barnvakt",""
"other","babysitter's name","ime osobe koja čuva dijete","babysitter's name","","","","","","barnvaktens namn",""
"other","badness","","","","bua","","","","",""
"other","bang","","","","","","","pum","",""
"other","barber","","","","barbiere","","","","",""
"other","bath","kupanje","bath","לעשות אמבטיה","fare il bagno","bade","","","bada",""
"other","bathroom","","","","","","","","","banyo"
"other","beach","","","","","strand","","","",""
"other","beep beep","","","","","","биби","","",""
"other","bless you","","","","","","","salud","",""
"other","boogeyman","","","","","","","","","öcü"
"other","boom","","","","bum (cade)","","","","",""
"other","boy","dječak","boy","ילד","ragazzo/a","gutt","мальчик","nino","pojke",""
"other","bravo","","","","","","","","","aferin"
"other","breakfast","doručak","breakfast","","","frokost","","","frukost",""
"other","brother","brat","brother","","fratello","bror","брат/имя брата","hermano","bror","abi"
"other","bye","pa-pa","bye","ביי","","ha det","пока","adiosby","hej då","bay-bay, güle-güle, hoşçakal"
"other","bzzz","","","בזז","","","жж","","",""
"other","can (auxiliary)","","","אפשר","","","можно","","",""
"other","caw","","","","","","кар","","",""
"other","child","dijete","child","","bimbo/a","barn","дети","","barn","çocuk"
"other","child's own name","svoje ime","child's own name","","il suo nome","barnets navn","имя ребенка","nomnin","barnets eget namn","kendi ismi"
"other","children","djeca","","","","","","","",""
"other","choo choo","ku-ku, tu-tu","choo choo","ציק ציק צאק","tuttù","tøff-tøff","ту-ту/чух-чух","tutu","tuff tuff",""
"other","church","","","","","kirke","","","",""
"other","clap","","","מחא כפיים","","","","","","alkış"
"other","click","","","","","","чик","","",""
"other","clop clop","","","","clop clop","","","","",""
"other","clown","","","","","","","","","palyaço"
"other","cluck","","","","","","ко-ко","","",""
"other","cockadoodledoo","kukuriku","cockadoodledoo","קוקוריקו","coccodè","kykeliky","кукареку","qiqiriq","kuckeliku",""
"other","come on","","","","","","","","","hadi"
"other","cousin","","","","cugino/a","","","","",""
"other","croak","","","","","","ква","","",""
