"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","animals","alligator",,,"alligator",,,,"крокодил",,,
"nouns","animals","animal","životinja","animal","animal","חיה ","dyr",,"звери","animal","djur",
"nouns","animals","ant",,,"ant",,,,,"hormiga",,
"nouns","animals","bear","medo","bear","bear",,"bjørn","медведь","медведь","oso","björn","ayı"
"nouns","animals","bee","pčela","bee","bee","דבורה","veps",,,"abeja","bi","arı"
"nouns","animals","bird","ptica","bird","bird","ציפור","fugl","птичка","птичка","pajaro","fågel","kuş"
"nouns","animals","bug","buba","bug","bug","ג'וק",,"жук","жук",,"skalbagge","böcek"
"nouns","animals","bunny","zeko","bunny","bunny","שפן","kanin","заяц","заяц","conejo","kanin","tavşan"
"nouns","animals","butterfly","leptir","butterfly","butterfly","פרפר","sommerfugl","бабочка","бабочка","maripos",,"kelebek"
"nouns","animals","calf","tele",,,,,,,,,
"nouns","animals","cat","mačka","cat","cat","חתול","katt","кошка","кошка","gato","katt","kedi"
"nouns","animals","chick",,,,"אפרוח",,,"цыпленок","pollito",,
"nouns","animals","chicken (animal)","pile","chicken (animal)","chicken (animal)",,"kylling","курочка","курица",,"kyckling","tavuk"
"nouns","animals","cow","krava","cow","cow","פרה","ku","корова","корова","vaca","ko","inek"
"nouns","animals","crow",,,,,,"ворона","ворона",,,
"nouns","animals","deer","lane","deer","deer","אייל","reinsdyr",,,"venado",,
"nouns","animals","dog","pas","dog","dog","כלב","hund","собака","собака","perro","hund","köpek"
"nouns","animals","donkey","magarac","donkey","donkey","חמור",,,"ослик","burro","åsna","eşek"
"nouns","animals","duck","patka","duck","duck","ברווז","and","утка","утка","pato","anka","ördek"
"nouns","animals","elephant","slon","elephant","elephant","פיל ","elefant","слон","слон","elefant","elefant",
"nouns","animals","elk",,,,,"elg",,,,,
"nouns","animals","fish (animal)","riba","fish (animal)","fish (animal)","דג","fisk","рыбка","рыбка","pescado","fisk","balık"
"nouns","animals","fly",,,,"זבוב","flue","муха","муха","mosca",,
"nouns","animals","fox","lisica",,,,"rev","лиса","лиса",,,
"nouns","animals","frog","žaba","frog","frog","צפרדע","frosk","лягушка","лягушка","rana","groda","kurbağa"
"nouns","animals","giraffe",,"giraffe","giraffe","ג'ירפה","sjiraff","жираф","жираф","jirafa","giraff",
"nouns","animals","goat","koza",,,,,"коза","коза","cabra",,
"nouns","animals","goose","guska","goose","goose",,"gås","гусь","гусь",,"gås",
"nouns","animals","hedgehog",,,,"קיפוד ",,"ёж","ёж",,,
"nouns","animals","hen","koka",,"hen",,,,,"gallina",,
"nouns","animals","hippopotamus",,,,,,,"бегемот","hippotm",,
"nouns","animals","horse","konj","horse","horse","סוס","hest","лошадь/конь","лошадь","caballo","häst","at"
"nouns","animals","kangaroo",,,,,,"кенгуру",,,,
"nouns","animals","kid (goat)","jare",,,,,,,,,
"nouns","animals","kitty",,"kitty","kitty",,"kattunge",,,,"kisse",
"nouns","animals","ladybug",,,,"חיפושית",,,,,,
"nouns","animals","lamb",,"lamb","lamb","טלה ","lam",,,"borrego","lamm","kuzu"
"nouns","animals","lion","lav","lion","lion","אריה","løve","лев","лев","leon","lejon",
"nouns","animals","monkey","majmun","monkey","monkey","קוף","ape(katt)","обезьяна","обезьяна","mono","apa","maymun"
"nouns","animals","moose",,,"moose",,,,,,,
"nouns","animals","mosquito",,,,,,,"комар",,,
"nouns","animals","mouse","miš","mouse","mouse","עכבר","mus","мышка","мышка","raton","mus",
"nouns","animals","owl","sova","owl","owl","ינשוף","ugle","сова","сова","buho","uggla",
"nouns","animals","parrot",,,,"תוכי",,,,,,
"nouns","animals","peacock",,,,"טווס",,,,,,
"nouns","animals","penguin",,"penguin","penguin","פינגווין","pingvin",,,"pinguin","pingvin",
"nouns","animals","pig","prase","pig","pig","חזיר","gris","поросенок/свинка","свинка","puerco","gris",
"nouns","animals","pigeon",,,,,,,"голубь",,,
"nouns","animals","piglet",,,,,,,"поросенок",,,
"nouns","animals","pony",,"pony","pony",,,,,,"ponny",
"nouns","animals","puppy",,"puppy","puppy","גור","valp",,,,"valp",
"nouns","animals","rooster","pijetao",,"rooster"," תרנגול",,"петух","петух",,,
"nouns","animals","sheep","ovca","sheep","sheep","כבשה","sau","баран/овечка","баран, овечка",,"får",
"nouns","animals","snake",,,,"נחש",,"змея","змея",,,
"nouns","animals","sparrow","vrabac",,,,,,"воробей",,,
"nouns","animals","spider",,,,,,,,"arana",,
"nouns","animals","squirrel","vjeverica","squirrel","squirrel","סנאי","ekorn","белка","белка","ardilla","ekorre",
"nouns","animals","stallion",,,,,,,"конь",,,
"nouns","animals","teddybear",,"teddybear","teddybear","דובי","(leke)bamse",,,,"nalle",
"nouns","animals","tiger","tigar","tiger","tiger","נמר","tiger","тигр","тигр","tigre","tiger",
"nouns","animals","turkey","purica","turkey","turkey","תרנגול הודו",,,,"guajolo",,
"nouns","animals","turtle",,"turtle","turtle","צב ","skilpadde","черепаха","черепаха","tortuga","sköldpadda",
"nouns","animals","wolf","vuk",,"wolf","זאב",,"волк","волк","lobo",,
"nouns","animals","worm",,,,,"(meite)mark",,,,,
"nouns","animals","zebra",,,"zebra",,,,,,,
