"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","body_parts","ankle",,,"ankle",,,,,,,
"nouns","body_parts","arm","ruka","arm","arm",,"arm","рука","рука","brazos","arm",
"nouns","body_parts","back",,,,,,,"спина",,,
"nouns","body_parts","belly button","pupak","belly button","belly button","פופיק","navle","пупок","пупок","ombligo","navel",
"nouns","body_parts","breast",,,,"ציצי",,,,"chichi",,"meme"
"nouns","body_parts","butt","guza",,,,,,,,"stjärt","popo"
"nouns","body_parts","buttocks/bottom*",,,"buttocks/bottom*",,,,,,,
"nouns","body_parts","cheek","obrazi","cheek","cheek","לחי","kinn","щека","щека","cachete","kind","yanak"
"nouns","body_parts","chin",,,"chin",,,,,,"haka",
"nouns","body_parts","ear","uho","ear","ear","אוזן","øre","ушки","ушки","orejas","öra","kulak"
"nouns","body_parts","eye","oko","eye","eye","עיין","øye","глазки","глазки","ojos","öga","göz"
"nouns","body_parts","eyebrows",,,,,,,"брови",,,
"nouns","body_parts","eyelashes",,,,,,,"ресницы",,,
"nouns","body_parts","face","lice","face","face","פנים","ansikt","лицо","лицо","cara","ansikte",
"nouns","body_parts","finger","palac","finger","finger","אצבעות","finger","палец","палец","dedos","finger","parmak"
"nouns","body_parts","foot",,"foot","foot",,"fot",,,"pies","fot","ayak"
"nouns","body_parts","forehead","čelo",,,"מצח",,,"лоб",,,
"nouns","body_parts","hair","kosa","hair","hair","שערות","hår","волосы","волосы","pelo","hår","saç"
"nouns","body_parts","hand",,"hand","hand","ידיים","hånd",,,"manos1","hand","el"
"nouns","body_parts","head","glava","head","head","ראש","hode","голова","голова","cabeza","huvud","baş/kafa"
"nouns","body_parts","knee","koljeno","knee","knee","ברך","kne",,"колено","rodilla","knä","diz"
"nouns","body_parts","leg","noga","leg","leg","רגליים","bein","нога","нога","piernas","ben","bacak"
"nouns","body_parts","lips",,,"lips",,,,"губы",,,
"nouns","body_parts","moustache",,,,,,,,"bigote",,
"nouns","body_parts","mouth","usta","mouth","mouth","פה ","munn","рот","рот","boca","mun","ağız"
"nouns","body_parts","nails","nokti",,,"ציפורניים",,,"ногти",,,
"nouns","body_parts","neck",,,,,,"шея","шея",,,
"nouns","body_parts","nose","nos","nose","nose","אף","nese","нос","нос","nariz","näsa","burun"
"nouns","body_parts","owie",,"owie/boo boo",,,,,,,,
"nouns","body_parts","owie/boo boo",,,"owie/boo boo",,,,,,,
"nouns","body_parts","palm",,,,,,,"ладонь",,,
"nouns","body_parts","penis",,,,,"tiss",,,,,
"nouns","body_parts","penis*",,,"penis*",,,,,,,
"nouns","body_parts","shoulder",,,"shoulder",,,,"плечи",,,
"nouns","body_parts","thumb",,,,"אגודל",,,,,,
"nouns","body_parts","toe","prst","toe","toe",,"tå",,,,"tå",
"nouns","body_parts","tongue","jezik","tongue","tongue","לשון","tunge","язык","язык","lengua","tunga","dil"
"nouns","body_parts","tooth","zub","tooth","tooth","שיניים","tenner","зубы","зубы","dientes","tand","diş"
"nouns","body_parts","tummy","trbuh","tummy","tummy","בטן","mage","живот","живот","panza","mage","göbek"
"nouns","body_parts","vagina*",,,"vagina*",,,,,,,
