"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"function_words","connecting_words","also",,,,,,,"тоже",,,
"function_words","connecting_words","and",,,"and",,,,"и",,,
"function_words","connecting_words","as",,,,,,,"как",,,
"function_words","connecting_words","because",,,"because",,,,"потому что",,,
"function_words","connecting_words","but",,,"but",,,,"а, но",,,
"function_words","connecting_words","if",,,"if",,,,"если",,,
"function_words","connecting_words","in order to",,,,,,,"чтобы",,,
"function_words","connecting_words","or",,,,,,,"или",,,
"function_words","connecting_words","or else",,,,,,,"а то",,,
"function_words","connecting_words","so",,,"so",,,,,,,
"function_words","connecting_words","that",,,,,,,"что",,,
"function_words","connecting_words","then",,,"then",,,,,,,
"function_words","connecting_words","when (conjunction)",,,,,,,"когда",,,
"function_words","connecting_words","where (conjunction)",,,,,,,"где",,,
"function_words","connecting_words","which (conjunction)",,,,,,,"какой, который",,,
