"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"predicates","descriptive_words (adjectives)","bad",,,,,,"плохой","плохой",,,
"predicates","descriptive_words (adjectives)","big",,,,,,"большой","большой",,,
"predicates","descriptive_words (adjectives)","bitter",,,,,,,"горький",,,
"predicates","descriptive_words (adjectives)","black",,,,,,"черный","черный",,,
"predicates","descriptive_words (adjectives)","blue",,,,,,"синий","синий",,,
"predicates","descriptive_words (adjectives)","broken",,,,,,,"сломанный",,,
"predicates","descriptive_words (adjectives)","brown",,,,,,,"коричневый",,,
"predicates","descriptive_words (adjectives)","clean (description)",,,,,,"чистый","чистый",,,
"predicates","descriptive_words (adjectives)","cold",,,,,,"холодный","холодный",,,
"predicates","descriptive_words (adjectives)","dirty",,,,,,"грязный","грязный",,,
"predicates","descriptive_words (adjectives)","dry",,,,,,,"сухой",,,
"predicates","descriptive_words (adjectives)","empty",,,,,,,"пустой",,,
"predicates","descriptive_words (adjectives)","fast",,,,,,,"быстрый",,,
"predicates","descriptive_words (adjectives)","fat",,,,,,,"толстый",,,
"predicates","descriptive_words (adjectives)","full",,,,,,,"полный",,,
"predicates","descriptive_words (adjectives)","good",,,,,,"хороший","хороший",,,
"predicates","descriptive_words (adjectives)","green",,,,,,"зеленый","зеленый",,,
"predicates","descriptive_words (adjectives)","happy",,,,,,,"веселый",,,
"predicates","descriptive_words (adjectives)","heavy",,,,,,"тяжелый","тяжелый",,,
"predicates","descriptive_words (adjectives)","high",,,,,,,"высокий",,,
"predicates","descriptive_words (adjectives)","hot",,,,,,"горячий","горячий",,,
"predicates","descriptive_words (adjectives)","hungry",,,,,,"голодный","голодный",,,
"predicates","descriptive_words (adjectives)","little (description)",,,,,,"маленький","маленький",,,
"predicates","descriptive_words (adjectives)","long",,,,,,,"длинный",,,
"predicates","descriptive_words (adjectives)","loud",,,,,,"громкий","громкий",,,
"predicates","descriptive_words (adjectives)","naked",,,,,,"голый","голый",,,
"predicates","descriptive_words (adjectives)","naughty",,,,,,,"непослушный",,,
"predicates","descriptive_words (adjectives)","new",,,,,,,"новый",,,
"predicates","descriptive_words (adjectives)","nice",,,,,,,"добрый",,,
"predicates","descriptive_words (adjectives)","old",,,,,,,"старый",,,
"predicates","descriptive_words (adjectives)","orange (description)",,,,,,"оранжевый","оранжевый",,,
"predicates","descriptive_words (adjectives)","pretty",,,,,,"красивый","красивый",,,
"predicates","descriptive_words (adjectives)","quiet",,,,,,,"тихий",,,
"predicates","descriptive_words (adjectives)","real",,,,,,,"настоящий",,,
"predicates","descriptive_words (adjectives)","red",,,,,,"красный","красный",,,
"predicates","descriptive_words (adjectives)","salty",,,,,,,"соленый",,,
"predicates","descriptive_words (adjectives)","scared",,,,,,"страшный","страшный",,,
"predicates","descriptive_words (adjectives)","short",,,,,,,"короткий",,,
"predicates","descriptive_words (adjectives)","sick",,,,,,,"больной",,,
"predicates","descriptive_words (adjectives)","similar",,,,,,,"похожий",,,
"predicates","descriptive_words (adjectives)","slow",,,,,,,"медленный",,,
"predicates","descriptive_words (adjectives)","smart",,,,,,,"умный",,,
"predicates","descriptive_words (adjectives)","soft",,,,,,,"мягкий",,,
"predicates","descriptive_words (adjectives)","sour",,,,,,,"кислый",,,
"predicates","descriptive_words (adjectives)","strong",,,,,,,"сильный",,,
"predicates","descriptive_words (adjectives)","sweet",,,,,,"сладкий","сладкий",,,
"predicates","descriptive_words (adjectives)","tasty",,,,,,"вкусный","вкусный",,,
"predicates","descriptive_words (adjectives)","toy (description)",,,,,,"игрушечный","игрушечный",,,
"predicates","descriptive_words (adjectives)","warm",,,,,,"теплый","теплый",,,
"predicates","descriptive_words (adjectives)","wet",,,,,,"мокрый","мокрый",,,
"predicates","descriptive_words (adjectives)","white",,,,,,"белый","белый",,,
"predicates","descriptive_words (adjectives)","yellow",,,,,,"желтый","желтый",,,
