"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","food_drink","apple","jabuka","apple","apple","תפוח","eple","яблоко","яблоко","manzana","äpple","elma"
"nouns","food_drink","applesauce",,,"applesauce",,,,,,,
"nouns","food_drink","banana","banana","banana","banana","בננה","banan","банан","банан","platano","banan","muz"
"nouns","food_drink","beans",,,"beans",,,,"фасоль","frijole",,
"nouns","food_drink","beet",,,,,,,"свекла",,,
"nouns","food_drink","berry",,,,,,"ягода","ягода",,,
"nouns","food_drink","biscuit",,,,,,,,,"skorpa",
"nouns","food_drink","blueberry",,,,,,,"черника",,,
"nouns","food_drink","bread","kruh","bread","bread","לחם","brød","хлеб","хлеб","pan","bröd","ekmek"
"nouns","food_drink","bun",,,,"לחמניה",,"булка","булка",,,
"nouns","food_drink","butter",,"butter","butter","מרגרינה","smør","масло","масло",,"smör",
"nouns","food_drink","cabbage",,,,,,"капуста","капуста",,,
"nouns","food_drink","cacao","kakao",,,,,,,,,
"nouns","food_drink","cake","kolač","cake","cake","עוגה","kake",,"пирог, торт","pastel",,"kek, pasta"
"nouns","food_drink","candy","bombon","candy","candy","ממתק","sukkertøy","конфета","конфета","dulce","godis","şeker"
"nouns","food_drink","carrots","mrkva","carrots","carrots","גזר","gulrot","морковка","морковка",,"morot","havuç"
"nouns","food_drink","cereal","kašica","cereal","cereal","דייסה","frokostblanding","каша","каша","cereal","flingor",
"nouns","food_drink","cheerios","čokolino","cheerios","cheerios","במבה","corn flakes",,,,,
"nouns","food_drink","cheese","sir","cheese","cheese","גבינה","ost","сыр","сыр","queso","ost","peynir"
"nouns","food_drink","chicken (food)","piletina","chicken (food)","chicken (food)","עוף","kylling",,"курица","pollo","kyckling",
"nouns","food_drink","chilli",,,,,,,,"chile",,
"nouns","food_drink","chips",,,,,,,"чипсы",,,
"nouns","food_drink","chocolate","čokolada",,"chocolate","שוקו",,,"шоколад",,,"çikolata"
"nouns","food_drink","clementine",,,,"קלמנטינה",,,,,,
"nouns","food_drink","coffee","čaj","coffee","coffee","קפה","kaffe",,"кофе","cafe","kaffe","çay"
"nouns","food_drink","coke",,,"coke",,,,,,,
"nouns","food_drink","compote",,,,,,"компот","компот",,,
"nouns","food_drink","cookie","keks","cookie","cookie",,"bolle","печенье","печенье, пряник","galleta","kaka","kurabiye"
"nouns","food_drink","corn",,,"corn",,,,"кукуруза",,,
"nouns","food_drink","cottage cheese",,,,,,"творог","творог",,,
"nouns","food_drink","cracker",,"cracker","cracker","קרקר","kjeks",,,,"kex","bisküvi"
"nouns","food_drink","cucumber",,,,"מלפפון",,"огурец","огурец",,,
"nouns","food_drink","cutlet",,,,,,,"котлета",,,
"nouns","food_drink","donut",,,"donut",,,,,,,
"nouns","food_drink","drink (beverage)",,"drink (beverage)","drink (beverage)",,"drikke",,,,,
"nouns","food_drink","egg","jaje","egg","egg","חביתה","egg","яйцо","яйцо","huevo","ägg","yumurta"
"nouns","food_drink","fish (food)","riba","fish (food)","fish (food)","דג","fisk","рыба","рыба",,"fisk","balık"
"nouns","food_drink","food","hrana","food","food","אוכל","mat",,"еда","comida","mat","yemek"
"nouns","food_drink","french fries",,,"french fries",,,,,,,
"nouns","food_drink","fruit",,,,,,,"фрукт",,,"meyve"
"nouns","food_drink","grapes",,,"grapes",,,,"виноград","uvas",,
"nouns","food_drink","green beans",,,"green beans",,,,,,,
"nouns","food_drink","gum",,,"gum",,,,,,,
"nouns","food_drink","ham",,,,,,,,"jamon",,
"nouns","food_drink","hamburger",,,"hamburger",,,,,,,
"nouns","food_drink","honey",,,,"דבש",,,"мед",,,"bal"
"nouns","food_drink","hot dog",,,,"נקניק",,"сосиска","сосиска","salchch",,
"nouns","food_drink","ice",,,"ice",,,,,,,
"nouns","food_drink","ice cream","sladoled","ice cream","ice cream","ארטיק","is",,"мороженое","helado","glass","dondurma"
"nouns","food_drink","jam",,,,"ריבה",,,"варенье",,,"reçel"
"nouns","food_drink","jello",,,"jello",,,,,,,
"nouns","food_drink","jelly",,,"jelly",,,,,,,
"nouns","food_drink","juice","sok","juice","juice","מיץ","juice","сок","сок","jugo","juice",
"nouns","food_drink","kefir",,,,,,"кефир","кефир",,,
"nouns","food_drink","kiwi",,,,,,,"киви",,,
"nouns","food_drink","lemon",,,,,,,,,,"limon"
"nouns","food_drink","lollipop",,,"lollipop",,,,"чупа-чупс","paleta",,
"nouns","food_drink","meat","meso","meat","meat","בשר","kjøtt","мясо","мясо","carne","kött","et"
"nouns","food_drink","meatball",,,,"קציצה",,,,,"köttbullar","köfte"
"nouns","food_drink","melon",,,"melon",,,,,,,
"nouns","food_drink","milk","mlijeko","milk","milk","חלב","melk","молоко","молоко","leche","mjölk","süt"
"nouns","food_drink","muffin",,,"muffin",,,,,,,
"nouns","food_drink","mushrooms",,,,,,,"грибы",,,
"nouns","food_drink","noodles","juha","noodles","noodles","פתיתים","pasta","макароны","макароны","sopa",,"çorba"
"nouns","food_drink","nuts",,,"nuts",,,,,,,
"nouns","food_drink","olive",,,,,,,,,,"zeytin"
"nouns","food_drink","onion",,,,,,,"лук",,,
"nouns","food_drink","orange (food)","naranča","orange (food)","orange (food)","תפוז","appelsin","апельсин","апельсин","naranja","apelsin","portakal"
"nouns","food_drink","pancake",,,"pancake",,,,"блины, оладьи",,"pannkaka",
"nouns","food_drink","pastry",,,,,,,,,,"börek"
"nouns","food_drink","peach",,,,"אפרסק",,,,,,"şeftali"
"nouns","food_drink","peanut",,,,,,,,,,"fıstık"
"nouns","food_drink","peanut butter",,,"peanut butter",,,,,,,
"nouns","food_drink","pear",,,,"אגס",,"груша","груша",,,"armut"
"nouns","food_drink","peas","grašak","peas","peas","אפונה",,,"горох",,"ärtor",
"nouns","food_drink","pepper",,,,"פילפל",,,,,,
"nouns","food_drink","pickle",,,"pickle",,,,,,,
"nouns","food_drink","pita",,,,"פיתה",,,,,,
"nouns","food_drink","pizza",,"pizza","pizza","פיצה ","pizza",,,,"pizza",
"nouns","food_drink","plum",,,,,,,"слива",,,
"nouns","food_drink","popcorn",,,"popcorn",,,,,,,
"nouns","food_drink","popsicle",,,"popsicle",,,,,,,
"nouns","food_drink","porridge",,,,,,,,"atole",,
"nouns","food_drink","potato","krumpir",,"potato",,,"картошка","картошка",,,"patates"
"nouns","food_drink","potato chip",,,"potato chip",,,,,,,
"nouns","food_drink","pretzel",,,"pretzel",,,,,,,"simit"
"nouns","food_drink","pudding",,,"pudding",,,,,,,"muhallebi"
"nouns","food_drink","pumpkin",,,"pumpkin",,,,"тыква",,,
"nouns","food_drink","quesadilla",,,,,,,,"quesdil",,
