"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"function_words","helping_verbs","am",,,"am",,,,,,,
"function_words","helping_verbs","are",,,"are",,,,,,,
"function_words","helping_verbs","be",,,"be",,,,,,,
"function_words","helping_verbs","can (auxiliary)",,,"can (auxiliary)",,,,,,,
"function_words","helping_verbs","could",,,"could",,,,,,,
"function_words","helping_verbs","did/did ya",,,"did/did ya",,,,,,,
"function_words","helping_verbs","do",,,"do",,,,,,,
"function_words","helping_verbs","does",,,"does",,,,,,,
"function_words","helping_verbs","don't",,,"don't",,,,,,,
"function_words","helping_verbs","gonna/going to",,,"gonna/going to",,,,,,,
"function_words","helping_verbs","gotta/got to",,,"gotta/got to",,,,,,,
"function_words","helping_verbs","hafta/have to",,,"hafta/have to",,,,,,,
"function_words","helping_verbs","is",,,"is",,,,,,,
"function_words","helping_verbs","lemme/let me",,,"lemme/let me",,,,,,,
"function_words","helping_verbs","need/need to",,,"need/need to",,,,,,,
"function_words","helping_verbs","try/try to",,,"try/try to",,,,,,,
"function_words","helping_verbs","wanna/want to",,,"wanna/want to",,,,,,,
"function_words","helping_verbs","was",,,"was",,,,,,,
"function_words","helping_verbs","were",,,"were",,,,,,,
"function_words","helping_verbs","will",,,"will",,,,,,,
"function_words","helping_verbs","would",,,"would",,,,,,,
