"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"function_words","locations","about",,,"about",,,,,,,
"function_words","locations","above",,,"above",,,,,,,
"function_words","locations","around",,,"around",,,,,,,
"function_words","locations","at",,,"at",,,,,,,
"function_words","locations","away",,"away","away",,"bort",,,,"bort",
"function_words","locations","back","iza","back","back","מאחורי","bak",,,"atras","bakom","arkasında"
"function_words","locations","backward",,,,,,,"назад",,,
"function_words","locations","behind",,,"behind",,,,,,,
"function_words","locations","beside",,,"beside",,,,"рядом",,,
"function_words","locations","between",,,,"בין",,,,,,
"function_words","locations","by",,,"by",,,,,,"av",
"function_words","locations","down","dolje","down","down","למטה","ned","вниз/внизу","вниз/внизу","abajo","ner",
"function_words","locations","down (stairs)",,,,,"nede",,,,,
"function_words","locations","far",,,,"רחוק",,,"далеко",,,
"function_words","locations","for",,,"for",,,,,"para",,
"function_words","locations","forward",,,,,,,"вперед/впереди",,,
"function_words","locations","from here",,,,,,,"отсюда",,,
"function_words","locations","from there",,,,,,,"оттуда",,,
"function_words","locations","front",,,,,,,,,,"önünde"
"function_words","locations","here","tu",,"here",,,"вот, здесь, тут","вот, здесь, тут","aqui",,"burada"
"function_words","locations","high",,,,,,,"высоко",,,
"function_words","locations","home",,,,,,"домой","домой",,,
"function_words","locations","in","u","in","inside/in",,"i",,,"en","i","içinde"
"function_words","locations","in front","ispred",,,,,,,,,
"function_words","locations","inside","unutra","inside",,"בפנים","inn, inne, inni",,,"adentro","inuti","içeride"
"function_words","locations","into",,,"into",,,,,,,
"function_words","locations","low",,,,,,,"низко",,,
"function_words","locations","near",,,,,,,"близко/ближе",,,
"function_words","locations","next to",,,"next to",,,,,,,
"function_words","locations","of",,,"of",,,,,"de",,
"function_words","locations","off",,"off","off",,"av",,,,,
"function_words","locations","on","na","on","on","על ","på",,,"encima","på","üstünde/üzerinde"
"function_words","locations","on top of",,,"on top of",,,,"наверх/наверху",,,
"function_words","locations","out","van(i)","out","out",,"ut, ute",,,"afuera","ut","dışarıda"
"function_words","locations","over",,,"over",,,,,,,
"function_words","locations","there","tamo","there","there","שם","der","там, туда","вон, там","ahi, allaall","där","orada, şurada"
"function_words","locations","to",,,"to",,,,,,,
"function_words","locations","to here",,,,,,,"сюда",,,
"function_words","locations","to there",,,,,,,"туда",,,
"function_words","locations","under","ispod","under","under","מתחת","under",,,,"under","altında"
"function_words","locations","up","gore","up","up","למעלה","opp","вверх/вверху/наверх/наверху","вверх/вверху","arriba","upp",
"function_words","locations","up (stairs)",,,,,"oppe",,,,,
"function_words","locations","with",,,"with",,,,,,,
