"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"function_words","pronouns","he",,,"he",,,,"он","el1",,
"function_words","pronouns","her","njezin","her","her","הינה","hennes","она","ей","ella","henne",
"function_words","pronouns","hers",,,"hers",,,,"ее, ее",,,
"function_words","pronouns","him",,,"him",,,,"ему","lo",,
"function_words","pronouns","himself/herself",,,,,,"сам/сама",,,,
"function_words","pronouns","his","njegov","his","his","הוא","hans","он","его, его","su","hans","onun"
"function_words","pronouns","i","ja","i","i","אני","jeg","я","я","yo","jag","ben"
"function_words","pronouns","it","to","it","it",,"det",,,"le","det","ona"
"function_words","pronouns","me","meni","me","me","אותי","meg","мне/меня","меня, мне","me",,"bana"
"function_words","pronouns","mine",,"mine","mine","שלי",,,,"mia, mias, mio, mios","min",
"function_words","pronouns","my","moj","my","my",,"min","мой/моя",,,"mig","benim"
"function_words","pronouns","myself",,,"myself",,,,"сам/сама",,,
"function_words","pronouns","our",,,"our",,,"наш",,,,
"function_words","pronouns","ours",,,,,,,"наш",,,
"function_words","pronouns","same",,,,,,,"такой/такой же/такая",,,
"function_words","pronouns","self",,,,,,,,"se",,
"function_words","pronouns","she",,,"she",,,,"она",,,
"function_words","pronouns","someone",,,,,,,,,,"biri"
"function_words","pronouns","that","ono","that","that",,,,"тот/та/те","aquel, aquela, esa, ese, eso","den, den där","o, şu"
"function_words","pronouns","the",,,,,"den",,,,,
"function_words","pronouns","their",,,"their",,,,,,,
"function_words","pronouns","theirs",,,,,,,"их, их",,,
"function_words","pronouns","them",,,"them",,,,"им","les",,
"function_words","pronouns","these",,,"these",,,,,"estas, estos",,
"function_words","pronouns","they",,,"they",,,,"они","ellas, ellos",,
"function_words","pronouns","this","ovo","this","this","זה","denne, dette","это/этот/эти",,"esta, este, esto","den här","bu"
"function_words","pronouns","those",,,"those",,,,,"esas, esos",,
"function_words","pronouns","to you",,,,,,,,,,"sana"
"function_words","pronouns","us",,,"us",,,"мы","нас, нам",,,
"function_words","pronouns","we",,,"we",,,,"мы",,,
"function_words","pronouns","you","tebi, ti","you","you","אתה","du","тебе/ты","ты, тебя, тебе","te, tu","du/din","sen"
"function_words","pronouns","you (plural)",,,,,,,"вы, вас, вам",,,
"function_words","pronouns","your","tvoj","your","your","שלך","din","твой",,"tuya, tuyas, tuyo, tuyos",,"senin"
"function_words","pronouns","yours",,,,,,,"твой, ваш",,,
"function_words","pronouns","yourself",,,"yourself",,,,,,,
